#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-02-08,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4973

#LOCATION
Latitude,Longitude,Height
-54.5,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2000-02-08,23:26:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
253.3,4,318.4,0.964,307,0,0,Dobson,6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3,,
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.012,25.89,const_ib2,pump,,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
997,1.15,8,8.8,270,,,,,
927,1.31,1,16,282,,,,,
850,1.33,-4,19,266,,,,,
700,1.21,-14,16,267,,,,,
603,1.11,-23,21,272,,,,,
532,1.49,-30,19,287,,,,,
500,1.53,-33,23,260,,,,,
448,1.83,-37,23,271,,,,,
429,2.02,-39,21,271,,,,,
393,3.47,-42,26,267,,,,,
360,6.09,-42,29,272,,,,,
315,7.15,-41,34,272,,,,,
300,7.12,-41,34,269,,,,,
288,6.79,-41,33,270
276,7.18,-41,34,269
253,6.59,-41,32,267
231,6.69,-42,35,273
221,6.96,-43,34,271
212,6.51,-44,34,271
202,5.72,-44,34,270
200,5.51,-44,34,270
193,4.88,-45,36,270
185,4.94,-46,36,267
177,5.5,-46,34,273
169,5.37,-46,36,267
150,5.75,-47,33,271
141,5.62,-46,30,265
129,6.07,-47,27,280
112,4.96,-49,27.4,265
107,5.15,-50,26,269
100,7.86,-49,26,270
98,8.49,-49,25,266
89.4,9.21,-48,20,266
85.4,8.16,-48,20,281
78,9.22,-49,22,264
74.5,9.25,-49,16,263
70,10.1,-48,14,267
65,11.4,-49,11,304
62.1,11.6,-49,16,289
56.7,13.7,-48,13,250
54.1,13.6,-47,8,264
50,14.1,-47,10,275
43.1,14.5,-47,7,283
41.2,14.2,-48,7,250
39.4,14.4,-48,4,268
37.7,14.1,-47,4,248
34.4,14.2,-45,4,305
31.4,11.7,-45,3,308
30,12,-45,5,305
28.7,12.4,-44,3,223
22,10.1,-44,3,108
20,10.8,-43,4,115
19.2,11,-42,4,101
18.4,10.5,-42,6,81
15.4,10.1,-39,3,95
14.8,9.7,-38,5,122
14.1,9.51,-37,6,71
