
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2003-05-13,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A11019

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2003-05-13,23:40:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
269.9,4,283.1,-1.003,284,2,4,Dobson,012

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.026,26.75,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1010,2.6,6,13.9,303
1000,2.7,5
974,2.9,4
904,2.9,0
850,2.6,0
808,2.3,-1
749,2.2,-4
700,2.3,-7
594,2.1,-13
500,1.8,-23
466,1.7,-27
428,1.5,-32
393,1.8,-37
360,1.7,-42
300,1.4,-52
274,1.1,-56
225,1.1,-66
200,1.9,-68
185,2.8,-67
159,5.2,-61
150,5.5,-59
145,6.1,-58
138,6.5,-58
132,5.5,-58
126,6.7,-57
120,8,-56
114,8.8,-56
109,9.5,-56
104,7.8,-55
100,7.3,-55
94.6,6.8,-55
90.2,6.7,-56
86.1,7.1,-56
74.7,9.8,-56
71.3,9.9,-56
70,9.8,-56
64.8,10.4,-56
59,10.8,-58
56.2,10.3,-58
53.6,10.4,-58
50,11.7,-57
48.8,12.2,-57
46.5,11.9,-58
42.3,12.3,-58
40.3,12.4,-58
36.6,13.9,-57
35,14.1,-56
33.3,14.1,-56
30,14.1,-57
27.6,13.5,-59
26.3,13.4,-59
25.1,12.9,-58
22.8,12,-58
20,11.3,-59
17.1,10.3,-58
14.8,8.9,-56
14.2,8.2,-56
11.2,6.8,-57
10.2,6,-58
10,5.8,-58
8.4,4.5,-57
7,3.7,-55
6,3.1,-53
5.8,2.8,-54
5,2.4,-54
4,1.8,-54
