
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2003-07-08,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A14238

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2003-07-08,23:15:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
343.2,4,369.6,-0.925,342,2,4,Dobson,012

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.014,28.3,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
999,3.1,4,7.2,328
964,3.2,2,12,288
850,3,1,12,286
770,3,-2,12,279
700,2.6,-7,10,284
564,2.1,-18,14,306
500,1.9,-24,15,293
388,1.4,-38,16,274
355,1.3,-43,17,270
324,1.4,-48,19,271
300,1.2,-53,19,265
244,1,-64,19,264
210,1.7,-67,18,256
200,2.7,-65,16,274
173,5.9,-57,20,264
165,7.9,-56,18,269
158,9.5,-56,20,260
150,9.2,-56,20,261
137,6.1,-56,22,266
124,5,-56,24.4,273
119,6.4,-56,27,268
113,8.5,-55,27,267
108,9.3,-56,26,264
100,9.1,-56,28,272
93.8,10.2,-55,34,268
89.5,12,-55,34,271
85.3,12.3,-55,36,266
77.7,14.5,-53,40,259
70,15.4,-52,35,264
61.7,16.7,-52,40,275
53.6,15,-53,42,261
50,17.1,-52,39,271
48.9,17.9,-52,39,271
44.6,18.1,-52,41,267
42.6,18,-51,42,269
38.8,17.2,-52,50,269
35.4,16,-51,50,265
33.8,16.6,-51,48,263
30,15.9,-50,48,265
28.1,15.1,-49,48,266
25.6,14.3,-50,51,272
24.5,14.2,-50,51,273
23.4,13.7,-50,56,273
22.3,13.4,-51,57,269
21.3,12.7,-51,58,270
20,11.9,-51,64,263
18.6,10.8,-50,65.1,263
16.9,9.5,-50,71,264
15.5,8.9,-49,77,262
14.8,10,-48,78,264
12.9,10.4,-50,78,264
11.7,9.9,-51,75,265
11.2,9.9,-52,75,265
10,8.9,-53,78,262
9.3,8.4,-55,77,261
8.9,7.5,-56,76,264
8.5,6.5,-57,78,260
7.7,5.8,-56,74,260
7,5.8,-57,79,257
6.4,5.4,-57,77,256
5.8,4.8,-58,76,256
5,4,-60,79,258
4.6,3.5,-62,81,257
