
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2003-07-20,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6AXXXXX

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2003-07-20,23:15:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
337.0,4,359.1,-0.966,347,2,4,Dobson,012

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.008,28.5,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1006,2.4,4,7.7,287
1000,2.5,4,8,285
934,3.1,-1,11,272
850,2.8,-3,9,267
773,2.9,-6,10,251
744,2.8,-7,11,246
700,2.8,-11,11,242
587,2.5,-20,13,258
519,2.5,-27,11,240
500,2.4,-29,11,218
419,1.8,-40,13,190
350,1.8,-49,14,212
300,2.9,-54,15,259
278,3.4,-56,12,287
252,4.8,-55,17,274
230,6.5,-55,16,282
219,6.6,-56,17,289
209,7.7,-55,19,282
200,7.8,-54,18,283
190,6.8,-54,17,280
182,7.2,-55,20,275
174,6.7,-54,22,265
150,7.9,-53,22,268
144,7.9,-54,23,269
137,6.2,-54,24,269
131,3.9,-54,24,265
125,3.6,-55,27,257
119,4.8,-55,25,262
109,8.1,-54,24,274
104,10,-55,28,269
100,10.8,-55,28,265
94.4,9.9,-54,29,268
86,10.1,-55,28,269
78.2,11,-56,30,271
70,12.8,-56,30,276
64.8,13.3,-58,33,275
61.8,14.2,-57,36,262
56.2,16.2,-55,36,264
53.6,17.1,-54,35,266
50,17.2,-55,36,268
44.4,16.9,-56,41,268
42.4,17.1,-56,35,264
38.6,16.7,-56,42,268
36.8,16.1,-57,42,265
33.5,15.5,-57,39,269
30,15.1,-58,40,268
26.4,13.9,-58,47,267
25.2,13,-58,47,266
21.8,12.5,-55,52,272
20,11.6,-57,49,272
18.1,10.6,-59,54,261
17.2,10.4,-58,57,263
16.4,9.9,-58,54,266
15.6,10,-59,57,264
14.9,9.8,-60,60,259
12.3,8.1,-58,60,264
10.7,7.6,-58,58,261
10.2,7.2,-58,63,266
10,7,-57,64,263
9.3,6.3,-56,60,263
8.8,5.8,-55,57,264
8,5.5,-54,58,271
7.3,4.7,-56,60,270
7,4.5,-56,63,265
6.1,3.9,-58,65,259
5.5,3.7,-59,66,263
5.2,3.6,-59,68,264
5,3.3,-59,68,261
4.1,2.9,-59
