
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-28,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a11047

#LOCATION
Latitude,Longitude,Height
-37.69,144.96,109.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-07-09,02:35:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
284.2,2,324.2,-0.93,301.7,0,ZS,Dobson (Beck),115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.004,26.5,Constant_ib2,pump,

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1009.3,1.39,11.3,,,,0,109,53,28.9
1003.7,1.47,10.9,,,,9,154,53,29.0
997.9,1.64,10.5,,,,19,204,53,29.0
992.3,1.89,10.2,,,,29,250,54,29.1
986.9,2.06,9.8,,,,39,295,55,29.1
981.2,2.15,9.3,,,,49,344,55,29.1
975.6,2.27,8.9,,,,58,390,56,29.2
969.3,2.38,8.4,,,,68,445,58,29.2
962.6,2.41,7.9,,,,78,502,60,29.2
956.3,2.41,7.3,,,,87,556,61,29.3
949.3,2.45,6.7,,,,97,617,64,29.3
942.4,2.48,6.1,,,,107,677,66,29.4
935.7,2.49,5.6,,,,117,735,67,29.4
929.1,2.48,5.1,,,,127,793,69,29.4
923.0,2.54,4.6,,,,136,846,70,29.4
916.3,2.53,4.0,,,,146,906,72,29.5
909.7,2.57,3.5,,,,156,964,74,29.5
903.1,2.58,3.1,,,,166,1023,75,29.5
897.0,2.63,2.8,,,,175,1078,75,29.6
890.5,2.67,2.5,,,,185,1136,75,29.6
884.7,2.70,2.1,,,,195,1190,74,29.6
878.9,2.63,1.7,,,,205,1243,74,29.6
873.3,2.49,1.4,,,,215,1295,74,29.7
868.3,2.39,1.0,,,,224,1341,74,29.7
862.8,2.35,0.6,,,,234,1392,73,29.8
857.3,2.39,0.5,,,,244,1444,68,29.8
851.6,2.49,0.6,,,,254,1497,62,29.8
