
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-28,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a12126

#LOCATION
Latitude,Longitude,Height
-37.69,144.94,109.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-08-11,01:29:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
298.7,2,334.7,-0.96,321.3,0,DS,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.019,26.0,Constant_ib2,pump,

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1003.2,2.44,12.5,,,,9,151,51,24.2
997.4,2.49,11.9,,,,18,200,52,24.2
991.1,2.52,11.5,,,,27,252,53,24.2
984.0,2.53,10.9,,,,37,313,55,24.3
977.4,2.52,10.3,,,,46,369,57,24.3
970.0,2.54,9.7,,,,56,432,58,24.3
963.0,2.55,9.0,,,,66,492,60,24.4
956.8,2.64,8.5,,,,75,545,61,24.4
949.8,2.68,7.9,,,,86,606,64,24.4
943.8,2.72,7.3,,,,96,658,66,24.5
938.3,2.71,6.9,,,,105,706,68,24.5
932.2,2.70,6.3,,,,115,760,70,24.5
926.4,2.69,5.8,,,,124,811,72,24.5
920.3,2.70,5.4,,,,133,865,74,24.6
913.6,2.65,4.8,,,,143,924,77,24.6
907.1,2.69,4.3,,,,153,983,79,24.7
900.9,2.60,3.7,,,,162,1038,82,24.7
893.8,2.61,3.1,,,,172,1103,84,24.7
887.2,2.59,2.6,,,,181,1163,86,24.7
880.3,2.56,2.3,,,,191,1226,87,24.8
873.9,2.56,2.0,,,,200,1285,88,24.8
867.1,2.54,1.6,,,,210,1348,88,24.8
860.1,2.53,1.2,,,,220,1413,89,24.8
854.1,2.51,0.9,,,,229,1469,88,24.8
847.5,2.52,0.6,,,,239,1532,88,24.9
842.3,2.47,0.3,,,,247,1581,88,24.9
835.5,2.48,-0.1,,,,258,1646,87,24.9
830.3,2.51,-0.3,,,,267,1696,87,24.9
825.5,2.54,-0.4,,,,276,1742,84,24.9
820.6,2.60,-0.5,,,,286,1790,78,25.0
816.9,2.62,-0.5,,,,294,1827,71,25.0
812.2,2.70,-0.6,,,,304,1873,62,25.0
807.6,2.76,-0.7,,,,313,1917,56,25.0
801.7,2.83,-0.8,,,,324,1977,52,25.0
796.7,2.88,-0.9,,,,333,2026,49,25.0
791.2,2.88,-0.9,,,,343,2082,48,25.0
786.3,2.85,-1.0,,,,352,2131,48,25.1
781.5,2.82,-1.2,,,,361,2180,48,25.1
776.2,2.79,-1.4,,,,371,2235,48,25.1
771.8,2.77,-1.5,,,,379,2280,48,25.1
766.3,2.77,-1.8,,,,389,2336,46,25.1
761.0,2.78,-2.0,,,,399,2391,42,25.1
756.3,2.80,-2.4,,,,408,2441,40,25.1
750.8,2.78,-2.8,,,,418,2499,39,25.1
745.9,2.77,-3.2,,,,427,2551,37,25.1
741.0,2.73,-3.4,,,,436,2602,34,25.2
735.9,2.79,-3.5,,,,446,2657,29,25.2
731.1,2.85,-3.5,,,,456,2709,25,25.2
727.5,2.78,-3.5,,,,464,2749,22,25.2
722.9,2.74,-3.4,,,,474,2798,18,25.2
719.1,2.73,-3.1,,,,483,2839,15,25.2
715.7,2.74,-2.9,,,,492,2878,15,25.2
712.3,2.73,-2.7,,,,501,2914,13,25.2
708.5,2.78,-2.7,,,,511,2957,15,25.2
704.9,2.83,-2.9,,,,520,2997,16,25.2
701.0,2.86,-3.0,,,,530,3041,13,25.2
697.5,2.84,-3.2,,,,539,3081,15,25.2
694.5,2.83,-3.4,,,,548,3114,15,25.2
691.0,2.82,-3.6,,,,558,3154,14,25.2
687.6,2.83,-3.8,,,,567,3193,12,25.2
684.0,2.82,-3.9,,,,576,3234,8,25.2
680.0,2.80,-4.0,,,,586,3280,6,25.2
676.1,2.79,-4.2,,,,596,3327,6,25.2
673.0,2.75,-4.5,,,,604,3362,6,25.2
669.2,2.76,-4.8,,,,614,3406,6,25.3
665.7,2.76,-5.1,,,,623,3448,7,25.3
661.6,2.76,-5.4,,,,633,3496,9,25.3
657.8,2.75,-5.8,,,,642,3541,10,25.3
653.5,2.73,-6.2,,,,652,3594,12,25.3
649.7,2.71,-6.5,,,,660,3638,12,25.3
645.5,2.71,-6.5,,,,670,3690,10,25.3
641.8,2.69,-6.7,,,,679,3734,7,25.3
638.3,2.71,-6.8,,,,688,3777,6,25.3
634.6,2.76,-7.0,,,,697,3821,6,25.3
630.5,2.81,-7.1,,,,707,3871,4,25.3
626.6,2.86,-7.2,,,,716,3920,2,25.3
622.7,2.87,-7.4,,,,725,3969,2,25.3
618.8,2.88,-7.7,,,,734,4018,2,25.3
614.4,2.91,-7.9,,,,744,4074,3,25.3
610.2,2.93,-8.1,,,,753,4126,3,25.3
606.1,2.96,-8.5,,,,762,4179,3,25.3
602.0,2.99,-8.9,,,,771,4232,3,25.3
597.5,3.03,-9.4,,,,781,4289,3,25.3
593.5,3.07,-9.8,,,,789,4340,4,25.3
589.2,3.03,-10.1,,,,798,4396,4,25.2
585.5,3.01,-10.5,,,,806,4446,5,25.2
580.8,2.92,-11.0,,,,816,4507,5,25.2
577.2,2.86,-11.4,,,,824,4554,5,25.2
572.9,2.84,-11.8,,,,834,4612,5,25.2
569.2,2.87,-12.2,,,,843,4662,5,25.2
565.5,2.86,-12.5,,,,853,4711,5,25.2
562.2,2.88,-12.9,,,,862,4755,4,25.2
558.3,2.89,-13.4,,,,872,4807,4,25.2
555.3,2.88,-13.7,,,,880,4849,4,25.2
551.6,2.87,-14.1,,,,890,4901,5,25.2
548.3,2.87,-14.3,,,,899,4946,3,25.2
544.2,2.84,-14.6,,,,909,5002,2,25.2
540.9,2.80,-14.9,,,,917,5047,2,25.2
537.0,2.76,-15.3,,,,927,5103,2,25.2
533.5,2.72,-15.7,,,,936,5153,2,25.2
529.6,2.71,-16.3,,,,946,5207,2,25.2
526.6,2.69,-16.7,,,,954,5250,2,25.2
523.0,2.66,-17.2,,,,964,5301,2,25.2
520.2,2.65,-17.6,,,,972,5341,2,25.2
516.7,2.66,-18.1,,,,982,5392,2,25.2
513.5,2.64,-18.5,,,,991,5438,3,25.2
510.2,2.60,-18.9,,,,1000,5486,3,25.2
506.4,2.61,-19.5,,,,1010,5542,3,25.2
503.1,2.59,-20.0,,,,1019,5590,3,25.2
499.3,2.58,-20.4,,,,1028,5645,3,25.2
495.7,2.55,-20.7,,,,1037,5699,3,25.2
492.2,2.56,-21.0,,,,1046,5751,3,25.2
488.5,2.55,-21.5,,,,1056,5808,3,25.1
485.0,2.60,-22.0,,,,1065,5860,4,25.1
481.3,2.65,-22.5,,,,1074,5917,5,25.1
477.6,2.69,-23.1,,,,1083,5973,5,25.1
474.3,2.73,-23.6,,,,1092,6024,6,25.1
470.9,2.70,-24.0,,,,1101,6075,6,25.1
467.5,2.70,-24.5,,,,1110,6128,7,25.1
463.6,2.66,-25.1,,,,1120,6190,7,25.1
460.2,2.67,-25.5,,,,1129,6243,6,25.1
456.5,2.70,-26.1,,,,1139,6301,6,25.1
453.4,2.68,-26.5,,,,1147,6350,7,25.0
450.0,2.64,-27.0,,,,1156,6405,7,25.0
446.2,2.69,-27.4,,,,1166,6466,7,25.0
442.9,2.73,-27.9,,,,1175,6519,8,25.0
439.7,2.75,-28.4,,,,1184,6571,8,25.0
436.4,2.75,-28.8,,,,1193,6625,9,25.0
