
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-28,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a12168

#LOCATION
Latitude,Longitude,Height
-37.69,144.96,109.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-09-10,01:28:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
274.4,2,310.7,-0.96,298,0,DS,Dobson (Beck),115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.039,26.9,Constant_ib2,pump,

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
999.7,2.18,14.3,,,,6,140,55,26.8
996.2,2.23,14.0,,,,12,170,55,26.8
993.0,2.23,13.6,,,,18,197,55,26.9
988.2,2.24,13.1,,,,27,237,57,26.9
983.6,2.28,12.7,,,,36,276,58,26.9
980.1,2.35,12.4,,,,43,306,59,27.0
972.6,2.33,11.7,,,,58,371,61,27.0
970.6,2.33,11.6,,,,62,388,62,27.0
960.9,2.40,10.6,,,,83,471,64,27.1
954.2,2.56,10.1,,,,97,530,66,27.1
951.5,2.39,9.9,,,,103,554,67,27.2
947.1,2.38,9.4,,,,113,592,69,27.2
943.0,2.39,9.1,,,,122,628,71,27.2
938.1,2.34,8.7,,,,132,670,72,27.3
933.8,2.33,8.4,,,,141,709,73,27.3
928.8,2.43,8.1,,,,151,753,75,27.3
923.9,2.42,7.8,,,,160,797,77,27.4
918.9,2.36,7.3,,,,169,842,78,27.4
914.0,2.36,6.9,,,,178,886,79,27.4
899.4,2.34,5.6,,,,202,1018,85,27.5
897.5,2.36,5.5,,,,205,1036,85,27.5
888.3,2.42,4.8,,,,220,1120,88,27.6
885.1,2.40,4.6,,,,226,1149,88,27.6
880.3,2.44,4.3,,,,235,1193,88,27.6
873.0,2.38,3.8,,,,251,1261,87,27.6
869.6,2.43,3.6,,,,258,1293,88,27.7
864.6,2.47,3.3,,,,267,1339,88,27.7
858.5,2.58,3.1,,,,277,1397,89,27.7
852.0,2.47,2.8,,,,287,1457,90,27.7
847.0,2.49,2.5,,,,295,1506,90,27.7
