
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-28,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a12164

#LOCATION
Latitude,Longitude,Height
-37.69,144.96,109.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-10-07,01:39:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
296.5,2,328.4,,,,,,

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.016,26.9,Constant_ib2,pump,

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
988.8,2.54,17.4,,,,0,109,55,30.7
984.5,2.75,17.1,,,,9,146,55,30.7
981.1,2.84,16.8,,,,18,175,55,30.7
977.5,2.91,16.5,,,,27,206,55,30.8
973.1,2.99,16.2,,,,37,245,57,30.8
969.7,3.05,15.8,,,,45,275,57,30.8
965.7,3.10,15.5,,,,54,309,58,30.9
961.8,3.14,15.2,,,,63,345,59,30.9
958.1,3.17,14.9,,,,71,377,59,30.9
953.9,3.20,14.7,,,,80,414,61,31.0
949.3,3.23,14.6,,,,89,455,61,31.0
945.0,3.24,14.4,,,,97,494,61,31.0
939.7,3.25,14.2,,,,106,541,60,31.0
934.3,3.27,14.0,,,,115,590,60,31.1
928.3,3.29,13.6,,,,125,645,61,31.1
922.9,3.30,13.2,,,,134,694,62,31.1
916.8,3.33,12.9,,,,144,749,62,31.2
911.2,3.31,12.8,,,,153,800,61,31.2
901.6,3.34,12.8,,,,168,889,57,31.3
892.6,3.40,12.6,,,,183,973,56,31.3
889.7,3.30,12.5,,,,188,1001,56,31.3
883.3,3.32,12.5,,,,199,1062,55,31.3
877.7,3.33,12.7,,,,208,1115,54,31.4
871.4,3.33,12.7,,,,218,1176,53,31.4
865.8,3.38,12.5,,,,227,1230,53,31.4
860.5,3.37,12.1,,,,235,1282,53,31.4
854.2,3.39,11.6,,,,244,1343,55,31.5
838.4,3.36,10.4,,,,266,1498,58,31.5
833.4,3.33,10.0,,,,273,1548,59,31.5
826.9,3.32,9.5,,,,282,1613,61,31.6
820.2,3.33,9.1,,,,291,1680,62,31.6
812.7,3.32,8.7,,,,301,1757,63,31.6
805.5,3.34,8.4,,,,311,1830,65,31.7
799.0,3.36,7.8,,,,320,1898,67,31.7
792.0,3.36,7.1,,,,330,1970,70,31.7
785.3,3.37,6.6,,,,340,2040,72,31.7
779.5,3.36,6.0,,,,349,2101,74,31.8
773.3,3.35,5.3,,,,359,2165,76,31.8
767.7,3.32,4.9,,,,369,2226,79,31.8
762.8,3.30,4.7,,,,378,2278,80,31.8
757.5,3.34,4.7,,,,388,2334,81,31.8
752.2,3.36,4.5,,,,399,2392,82,31.9
747.6,3.49,4.4,,,,408,2442,83,31.9
742.4,3.57,4.1,,,,418,2499,85,31.9
737.4,3.66,3.7,,,,428,2554,87,31.9
733.0,3.65,3.2,,,,437,2602,89,31.9
728.4,3.68,2.8,,,,447,2654,91,32.0
723.8,3.76,2.6,,,,457,2704,92,32.0
719.7,3.74,2.5,,,,466,2750,90,32.0
714.4,3.64,2.2,,,,477,2811,88,32.0
710.7,3.58,1.9,,,,486,2852,88,32.0
707.0,3.53,1.6,,,,496,2894,90,32.0
703.2,3.50,1.2,,,,506,2938,92,32.0
699.4,3.45,1.0,,,,516,2981,93,32.1
696.1,3.44,0.8,,,,525,3019,94,32.1
692.4,3.43,0.6,,,,535,3061,94,32.1
688.8,3.45,0.5,,,,545,3103,95,32.1
685.6,3.44,0.4,,,,554,3141,94,32.1
682.0,3.48,0.2,,,,564,3184,93,32.1
679.1,3.47,-0.1,,,,572,3219,93,32.1
675.6,3.40,-0.4,,,,582,3260,92,32.1
671.9,3.40,-0.6,,,,592,3304,87,32.1
668.3,3.36,-0.8,,,,601,3345,82,32.2
664.3,3.34,-1.0,,,,611,3394,82,32.2
660.6,3.33,-1.2,,,,620,3439,83,32.2
656.4,3.34,-1.3,,,,631,3490,81,32.2
652.4,3.31,-1.5,,,,641,3539,80,32.2
648.6,3.33,-1.7,,,,650,3585,80,32.2
643.6,3.30,-1.9,,,,661,3646,75,32.2
639.4,3.30,-2.1,,,,671,3699,72,32.3
