
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-28,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a16094

#LOCATION
Latitude,Longitude,Height
-37.69,144.96,109.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-11-04,01:04:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
276.6,2,324.1,-0.92,297,0,ZS,Dobson (Beck),115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.008,27.2,Constant_ib2,pump,

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
997.4,1.97,17.8,,,,0,109,39,28.7
992.5,2.08,16.9,,,,9,152,38,28.8
988.9,2.35,15.8,,,,18,183,38,28.8
984.8,2.55,15.2,,,,28,218,39,28.8
981.0,2.71,14.8,,,,37,250,40,28.9
976.7,2.84,14.5,,,,47,287,40,28.9
972.9,2.90,14.1,,,,56,320,41,29.0
969.4,2.95,13.8,,,,65,350,41,29.0
965.5,2.96,13.5,,,,75,384,42,29.0
961.7,2.95,13.2,,,,84,417,43,29.1
957.5,2.92,12.9,,,,93,454,44,29.1
952.8,2.86,12.6,,,,102,495,45,29.2
947.8,2.83,12.1,,,,111,540,46,29.2
941.5,2.82,11.7,,,,121,596,47,29.2
936.4,2.81,11.1,,,,130,642,48,29.3
931.1,2.81,10.6,,,,139,689,49,29.3
925.2,2.81,10.0,,,,149,741,51,29.4
919.6,2.84,9.5,,,,159,792,52,29.4
914.7,2.87,9.1,,,,168,837,53,29.4
909.7,2.88,8.7,,,,177,882,52,29.5
904.3,2.87,8.5,,,,187,931,47,29.5
898.7,2.90,8.4,,,,197,982,41,29.5
893.6,2.91,8.1,,,,206,1029,40,29.6
888.5,2.87,7.8,,,,215,1076,40,29.6
882.8,2.85,7.4,,,,225,1130,41,29.6
877.5,2.82,7.0,,,,234,1179,41,29.7
872.4,2.74,6.6,,,,243,1226,42,29.7
867.5,2.68,6.3,,,,253,1273,42,29.7
862.9,2.61,6.0,,,,262,1316,42,29.7
857.8,2.58,5.6,,,,272,1365,44,29.8
853.1,2.53,5.2,,,,281,1410,44,29.8
847.6,2.52,4.9,,,,291,1462,45,29.8
842.5,2.52,4.7,,,,300,1512,45,29.8
837.6,2.55,4.3,,,,309,1558,45,29.9
832.0,2.58,3.9,,,,319,1613,47,29.9
825.8,2.56,3.4,,,,330,1675,50,29.9
820.1,2.56,3.0,,,,340,1730,51,30.0
814.8,2.55,2.6,,,,349,1784,51,30.0
808.6,2.52,2.3,,,,359,1844,51,30.0
803.4,2.53,2.6,,,,368,1896,40,30.0
798.2,2.66,3.6,,,,377,1949,24,30.0
793.1,2.92,4.3,,,,386,2001,20,30.1
788.2,3.07,4.8,,,,395,2052,29,30.1
782.3,3.19,5.5,,,,406,2113,39,30.1
777.9,3.26,5.9,,,,414,2159,41,30.1
772.9,3.34,5.8,,,,424,2211,38,30.1
769.1,3.37,5.6,,,,433,2251,35,30.2
764.7,3.38,5.3,,,,443,2299,31,30.2
760.3,3.33,5.0,,,,452,2346,30,30.2
755.3,3.33,4.6,,,,462,2400,30,30.2
750.8,3.32,4.2,,,,471,2448,32,30.3
746.0,3.30,3.7,,,,481,2501,36,30.3
740.9,3.25,3.4,,,,490,2556,41,30.3
736.2,3.21,3.0,,,,499,2607,41,30.3
731.2,3.21,2.7,,,,509,2663,42,30.3
726.2,3.16,2.4,,,,519,2718,42,30.4
721.9,3.14,2.1,,,,528,2766,41,30.4
717.3,3.13,1.9,,,,538,2817,41,30.4
712.8,3.10,1.6,,,,547,2867,41,30.4
707.9,3.07,1.2,,,,557,2923,42,30.5
703.1,3.06,0.8,,,,567,2978,43,30.5
698.7,3.07,0.4,,,,576,3029,44,30.5
694.3,3.07,-0.1,,,,585,3079,45,30.5
689.7,3.04,-0.6,,,,595,3134,47,30.5
684.6,3.03,-1.0,,,,605,3192,52,30.5
679.8,3.05,-1.1,,,,614,3248,60,30.6
674.6,3.07,-1.2,,,,624,3309,71,30.6
670.3,3.09,-1.4,,,,633,3361,79,30.6
665.5,3.13,-1.6,,,,643,3418,87,30.6
661.2,3.14,-1.7,,,,652,3470,90,30.6
656.5,3.20,-1.8,,,,662,3526,91,30.7
652.3,3.23,-2.1,,,,671,3577,91,30.7
647.5,3.25,-2.2,,,,681,3636,92,30.7
643.1,3.28,-2.1,,,,690,3690,93,30.7
638.4,3.31,-1.8,,,,700,3748,90,30.7
634.4,3.33,-1.9,,,,709,3799,87,30.8
629.9,3.36,-2.0,,,,719,3855,85,30.8
625.0,3.36,-2.1,,,,729,3916,83,30.8
620.7,3.38,-2.4,,,,738,3972,82,30.8
615.9,3.38,-2.6,,,,748,4033,80,30.9
611.8,3.38,-2.7,,,,757,4087,78,30.9
607.3,3.41,-3.0,,,,767,4145,78,30.9
603.3,3.40,-3.4,,,,776,4196,78,30.9
598.9,3.41,-3.8,,,,786,4255,78,31.0
594.8,3.44,-4.1,,,,795,4310,79,31.0
590.3,3.44,-4.4,,,,805,4370,79,31.0
585.8,3.43,-4.8,,,,815,4430,80,31.0
581.7,3.41,-5.3,,,,824,4485,80,31.0
577.1,3.40,-5.7,,,,834,4547,82,31.0
573.0,3.39,-6.1,,,,843,4602,83,31.1
568.3,3.39,-6.5,,,,853,4667,85,31.1
563.5,3.36,-7.1,,,,863,4734,86,31.1
559.2,3.36,-7.5,,,,872,4793,87,31.1
555.0,3.31,-7.8,,,,881,4851,86,31.1
550.1,3.28,-8.0,,,,891,4921,85,31.1
545.3,3.22,-8.5,,,,901,4990,87,31.2
541.4,3.20,-8.9,,,,910,5044,89,31.2
537.1,3.17,-9.3,,,,920,5107,90,31.2
533.0,3.15,-9.7,,,,929,5166,87,31.2
528.2,3.12,-10.1,,,,939,5235,84,31.2
523.6,3.11,-10.6,,,,949,5303,83,31.2
519.5,3.09,-11.1,,,,958,5362,84,31.2
515.1,3.07,-11.6,,,,968,5428,87,31.3
511.2,3.08,-12.0,,,,977,5486,89,31.3
506.8,3.09,-12.4,,,,987,5552,91,31.3
502.9,3.09,-12.7,,,,996,5612,92,31.3
498.4,3.07,-13.0,,,,1006,5680,93,31.3
494.3,3.06,-13.2,,,,1015,5744,93,31.3
489.8,3.03,-13.4,,,,1025,5813,92,31.3
485.4,3.00,-13.7,,,,1035,5881,91,31.3
481.4,2.98,-14.1,,,,1044,5944,90,31.3
476.9,2.94,-14.5,,,,1054,6014,89,31.3
472.9,2.90,-14.9,,,,1063,6078,89,31.4
468.6,2.85,-15.3,,,,1073,6146,87,31.4
464.6,2.85,-15.8,,,,1083,6213,85,31.3
461.1,2.86,-16.3,,,,1092,6270,86,31.4
456.9,2.88,-16.7,,,,1102,6337,87,31.4
453.0,2.86,-17.2,,,,1111,6402,88,31.4
448.5,2.83,-17.7,,,,1121,6476,87,31.4
443.8,2.80,-18.1,,,,1131,6557,86,31.4
438.8,2.77,-18.6,,,,1140,6641,86,31.4
433.5,2.73,-19.1,,,,1150,6732,85,31.4
429.1,2.72,-19.9,,,,1159,6806,84,31.4
425.6,2.73,-20.5,,,,1167,6866,81,31.4
422.8,2.77,-21.2,,,,1174,6915,71,31.4
419.4,2.92,-22.0,,,,1183,6974,55,31.4
416.6,3.06,-22.6,,,,1191,7025,46,31.4
413.5,3.14,-22.8,,,,1200,7079,41,31.4
410.1,3.21,-23.1,,,,1210,7140,38,31.4
407.2,3.23,-23.5,,,,1218,7191,36,31.4
404.0,3.24,-23.9,,,,1227,7248,36,31.4
400.5,3.23,-24.4,,,,1237,7311,37,31.4
397.6,3.26,-24.7,,,,1245,7365,38,31.4
393.4,3.24,-24.9,,,,1256,7443,43,31.4
390.2,3.14,-25.0,,,,1265,7501,50,31.4
387.0,3.00,-25.3,,,,1275,7561,58,31.4
383.8,2.85,-25.6,,,,1285,7623,63,31.4
380.7,2.71,-26.0,,,,1294,7681,62,31.4
377.1,2.64,-26.5,,,,1304,7748,56,31.4
374.0,2.63,-27.1,,,,1313,7808,50,31.4
370.5,2.68,-27.7,,,,1323,7876,46,31.4
367.1,2.69,-28.1,,,,1332,7941,47,31.4
363.3,2.63,-28.6,,,,1342,8016,47,31.4
359.5,2.65,-29.2,,,,1352,8091,47,31.4
355.8,2.67,-29.8,,,,1362,8164,49,31.4
352.7,2.67,-30.4,,,,1371,8228,51,31.4
349.3,2.65,-31.0,,,,1381,8298,54,31.4
346.1,2.63,-31.4,,,,1390,8362,53,31.3
343.0,2.61,-31.7,,,,1399,8425,50,31.3
339.3,2.52,-32.2,,,,1410,8501,51,31.3
335.9,2.45,-32.7,,,,1420,8572,53,31.3
332.8,2.37,-33.3,,,,1429,8637,53,31.3
329.9,2.30,-33.7,,,,1437,8696,54,31.3
327.5,2.28,-34.1,,,,1444,8749,54,31.3
321.6,2.18,-35.2,,,,1460,8876,56,31.3
319.4,2.17,-35.7,,,,1466,8924,55,31.3
316.1,2.16,-36.3,,,,1475,8997,55,31.3
312.5,2.16,-37.0,,,,1485,9075,55,31.2
308.8,2.16,-37.6,,,,1496,9157,54,31.2
306.1,2.14,-38.0,,,,1505,9217,51,31.2
303.4,2.13,-38.6,,,,1515,9279,46,31.2
300.8,2.09,-39.1,,,,1524,9337,44,31.2
297.9,2.08,-39.7,,,,1534,9404,45,31.1
295.2,2.13,-40.3,,,,1543,9465,45,31.1
292.4,2.20,-40.9,,,,1553,9531,46,31.1
