
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-18,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a14950

#LOCATION
Latitude,Longitude,Height
-37.69,144.96,109.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-11-25,00:49:28

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
242.0,2,298.8,-0.97,289.2,0,DS,Dobson (Beck),115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.009,27.0,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1009.6,2.61,23.1,,,,0,109,54,31.8
1003.2,2.58,22.0,,,,9,163,49,31.9
997.5,2.60,21.3,,,,18,213,50,31.9
991.7,2.59,20.8,,,,28,264,51,32.0
986.5,2.65,20.2,,,,37,309,53,32.0
979.8,2.66,19.6,,,,47,368,54,32.1
973.2,2.65,19.1,,,,56,426,56,32.1
967.3,2.67,18.6,,,,65,479,57,32.2
961.5,2.65,18.2,,,,75,530,59,32.2
956.4,2.67,17.7,,,,84,575,60,32.3
950.3,2.66,17.1,,,,94,630,62,32.3
944.8,2.75,16.8,,,,103,680,62,32.4
939.4,2.95,16.7,,,,113,729,60,32.4
934.7,3.15,16.9,,,,121,771,57,32.5
929.6,3.32,16.9,,,,130,818,54,32.5
924.5,3.41,16.5,,,,139,865,53,32.5
919.5,3.48,16.5,,,,148,911,46,32.6
913.8,3.55,17.1,,,,158,963,36,32.7
908.1,3.76,17.4,,,,168,1018,31,32.7
903.1,3.86,17.2,,,,177,1064,29,32.8
898.1,3.87,16.8,,,,186,1112,29,32.8
892.6,3.86,16.3,,,,196,1164,29,32.8
887.2,3.86,15.9,,,,206,1215,23,32.9
882.0,3.76,16.0,,,,215,1265,15,32.9
876.6,3.65,16.1,,,,224,1318,7,33.0
870.6,3.57,16.1,,,,234,1375,2,33.0
865.4,3.52,15.8,,,,243,1426,2,33.1
859.9,3.48,15.4,,,,253,1479,2,33.1
855.1,3.46,15.0,,,,262,1526,2,33.2
849.9,3.41,14.7,,,,271,1578,2,33.2
844.2,3.38,14.4,,,,281,1636,2,33.2
839.6,3.42,14.1,,,,290,1682,2,33.3
834.1,3.45,13.6,,,,300,1737,2,33.3
829.6,3.47,13.3,,,,308,1781,1,33.4
824.0,3.46,12.8,,,,318,1838,2,33.4
819.1,3.46,12.4,,,,327,1888,3,33.5
814.3,3.42,12.1,,,,336,1938,3,33.5
809.3,3.40,11.8,,,,345,1989,2,33.5
803.8,3.42,11.6,,,,355,2045,2,33.6
799.1,3.35,11.4,,,,364,2095,4,33.6
794.4,3.24,11.2,,,,373,2143,6,33.7
789.8,3.15,11.0,,,,382,2192,5,33.7
785.0,3.08,10.6,,,,391,2243,5,33.8
779.5,2.97,10.2,,,,401,2301,4,33.8
774.6,2.90,10.0,,,,410,2354,4,33.8
768.7,2.80,9.5,,,,420,2417,4,33.9
763.8,2.68,9.2,,,,429,2470,4,33.9
758.6,2.65,8.9,,,,439,2526,4,34.0
753.6,2.66,8.7,,,,448,2580,4,34.0
748.7,2.63,8.5,,,,457,2635,3,34.0
743.4,2.63,8.4,,,,467,2692,3,34.1
738.6,2.65,8.2,,,,476,2747,3,34.1
733.2,2.73,7.9,,,,486,2808,4,34.2
728.4,2.83,7.6,,,,495,2861,5,34.2
723.3,2.91,7.3,,,,505,2919,5,34.2
718.7,3.00,6.9,,,,514,2971,6,34.3
713.5,3.12,6.4,,,,524,3030,5,34.3
708.9,3.29,6.0,,,,533,3083,4,34.3
703.9,3.38,5.6,,,,543,3142,4,34.4
699.2,3.42,5.3,,,,552,3196,3,34.4
694.4,3.48,5.1,,,,561,3253,3,34.5
689.2,3.44,4.7,,,,571,3314,4,34.5
684.0,3.32,4.4,,,,581,3376,5,34.5
679.4,3.19,4.1,,,,590,3430,5,34.5
674.2,3.15,3.6,,,,600,3492,5,34.6
669.4,3.20,3.5,,,,609,3549,4,34.6
664.4,3.23,3.2,,,,618,3611,4,34.6
659.0,3.25,2.9,,,,628,3677,4,34.6
653.7,3.20,2.5,,,,638,3742,4,34.7
649.0,3.25,2.0,,,,647,3800,4,34.7
644.0,3.24,1.5,,,,656,3862,4,34.7
638.4,3.22,0.9,,,,666,3932,5,34.7
633.6,3.22,0.4,,,,675,3993,5,34.8
628.1,3.11,0.1,,,,685,4063,6,34.8
623.1,3.00,-0.4,,,,694,4127,6,34.8
618.1,2.90,-0.9,,,,703,4191,6,34.8
612.9,2.85,-1.4,,,,713,4259,8,34.9
607.4,2.80,-2.0,,,,723,4329,9,34.9
602.5,2.79,-2.5,,,,732,4394,9,34.9
597.4,2.82,-3.0,,,,742,4461,9,35.0
592.5,2.82,-3.4,,,,751,4526,13,35.0
587.4,2.83,-3.8,,,,761,4595,13,35.0
582.5,2.83,-4.4,,,,770,4661,14,35.0
577.0,2.93,-4.6,,,,780,4735,13,35.0
571.7,3.00,-4.9,,,,790,4808,12,35.1
