
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-05-18,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a14954

#LOCATION
Latitude,Longitude,Height
-37.69,144.96,109.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-12-08,02:47:09

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
256.8,2,304.2

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.012,28.5,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
998.5,0.59,18.6,4.0,162,,0,109,92,29.7
991.3,0.63,17.6,6.0,153,,9,171,88,29.8
985.0,0.69,16.9,8.1,144,,19,225,89,29.8
979.1,0.77,16.4,9.8,137,,29,276,90,29.9
974.0,0.88,16.1,11.0,132,,38,321,91,29.9
967.9,0.95,15.7,11.6,129,,48,374,93,30.0
963.1,1.04,15.5,11.7,128,,57,416,92,30.0
957.8,1.17,15.2,11.6,127,,67,463,92,30.0
953.0,1.26,14.9,11.6,127,,76,507,93,30.1
947.6,1.34,14.6,11.7,126,,86,555,93,30.1
942.7,1.42,14.6,11.8,126,,95,599,91,30.2
937.0,1.50,14.6,12.0,126,,105,650,90,30.2
932.0,1.57,14.3,12.4,125,,114,695,90,30.3
926.7,1.61,14.1,12.8,124,,124,743,89,30.3
921.4,1.64,14.0,13.3,123,,134,792,88,30.3
916.7,1.68,13.9,13.8,122,,143,835,86,30.4
912.2,1.72,13.8,14.2,121,,152,877,86,30.4
907.6,1.75,13.5,14.5,119,,161,919,86,30.4
902.9,1.77,13.3,14.9,119,,170,964,88,30.5
897.3,1.79,13.3,15.2,118,,180,1016,87,30.5
892.8,1.82,13.3,15.4,118,,189,1058,85,30.6
887.3,1.86,13.1,15.6,117,,199,1109,83,30.6
882.2,1.96,13.1,15.8,117,,208,1159,82,30.6
876.7,1.94,12.9,15.9,116,,218,1212,80,30.7
871.0,1.95,12.8,15.9,115,,228,1266,77,30.7
866.0,2.08,12.5,15.8,114,,237,1314,75,30.8
861.1,2.22,12.3,15.6,112,,246,1362,74,30.8
855.9,2.32,12.0,15.3,110,,256,1414,75,30.8
850.4,2.38,11.7,15.0,108,,266,1467,76,30.9
845.4,2.38,11.4,14.6,107,,275,1516,77,30.9
839.7,2.37,10.9,14.1,105,,285,1573,78,30.9
833.6,2.36,10.4,13.6,104,,295,1634,80,31.0
828.0,2.32,9.9,13.2,103,,304,1690,82,31.0
822.3,2.30,9.6,12.5,103,,314,1747,82,31.0
817.3,2.23,9.5,11.8,103,,323,1798,81,31.1
811.4,2.20,9.2,10.9,104,,333,1859,79,31.1
806.1,2.20,9.0,10.1,105,,342,1913,75,31.1
800.6,2.14,8.7,9.3,106,,351,1969,74,31.2
794.3,2.12,8.2,8.3,106,,362,2036,74,31.2
789.2,2.13,7.8,7.6,106,,371,2089,74,31.2
783.7,2.18,7.4,6.8,106,,381,2146,74,31.3
778.8,2.24,7.1,6.2,106,,390,2198,74,31.3
773.3,2.32,6.6,5.5,106,,400,2257,75,31.4
767.6,2.44,6.4,4.8,107,,410,2317,76,31.4
762.3,2.49,6.0,4.3,109,,419,2373,76,31.4
756.8,2.52,5.7,3.7,114,,429,2434,76,31.4
751.9,2.54,5.3,3.3,119,,438,2487,77,31.5
746.5,2.59,4.8,3.0,125,,448,2545,77,31.5
741.3,2.64,4.4,2.8,128,,458,2602,77,31.5
736.5,2.71,4.2,2.7,128,,467,2655,77,31.5
731.3,2.76,3.9,2.6,125,,477,2713,77,31.6
726.5,2.74,3.6,2.4,119,,486,2766,78,31.6
721.1,2.71,3.4,2.2,107,,496,2827,78,31.6
715.6,2.68,3.1,2.1,89,,506,2889,76,31.6
710.8,2.71,2.9,2.3,71,,515,2945,75,31.6
705.5,2.77,2.6,2.7,56,,525,3004,76,31.7
700.9,2.82,2.1,3.1,47,,534,3057,77,31.7
695.6,2.85,1.7,3.7,42,,544,3118,78,31.7
690.1,2.88,1.3,4.1,41,,554,3182,78,31.7
685.0,2.89,0.8,4.3,41,,563,3241,79,31.8
679.6,2.89,0.5,4.4,41,,573,3306,79,31.8
674.5,2.89,0.3,4.3,42,,583,3366,78,31.8
669.8,2.87,-0.0,4.2,44,,592,3422,78,31.8
664.2,2.88,-0.4,4.0,46,,602,3489,79,31.8
658.2,2.85,-0.9,3.8,49,,612,3561,79,31.9
653.4,2.84,-1.3,3.6,53,,620,3621,80,31.9
647.4,2.83,-1.9,3.6,57,,630,3694,83,31.9
642.1,2.81,-2.5,3.7,59,,639,3759,83,31.9
637.1,2.79,-2.9,4.1,59,,648,3822,81,31.9
631.2,2.76,-3.5,4.8,55,,658,3896,81,31.9
625.1,2.74,-3.9,6.0,51,,668,3971,79,32.0
619.6,2.71,-4.4,7.1,46,,677,4041,79,32.0
614.0,2.70,-4.7,8.5,42,,687,4113,74,32.0
608.1,2.68,-5.0,9.7,38,,697,4190,69,32.0
603.0,2.67,-5.2,10.8,34,,707,4255,63,32.0
599.1,2.65,-5.5,11.5,33,,716,4305,62,32.0
594.6,2.62,-6.0,12.1,32,,726,4365,64,32.0
590.3,2.60,-6.6,12.5,32,,735,4422,66,32.0
585.6,2.57,-7.0,12.8,33,,745,4485,69,32.0
580.8,2.54,-7.5,12.9,35,,755,4549,71,32.0
576.3,2.50,-7.9,12.8,36,,764,4610,72,32.0
571.2,2.45,-8.0,12.4,39,,774,4679,74,32.1
566.1,2.40,-8.1,11.7,41,,784,4748,76,32.1
561.6,2.36,-8.4,10.9,43,,793,4811,78,32.1
556.5,2.30,-8.9,9.9,46,,803,4880,81,32.1
552.1,2.27,-9.2,9.0,49,,812,4942,83,32.1
547.4,2.25,-9.6,8.3,52,,821,5008,82,32.1
542.9,2.25,-9.9,7.9,55,,830,5072,82,32.1
538.0,2.31,-10.5,7.6,58,,840,5143,85,32.1
532.8,2.37,-11.1,7.5,61,,850,5217,87,32.1
528.4,2.39,-11.5,7.5,62,,859,5281,87,32.1
523.4,2.36,-12.0,7.6,65,,869,5353,86,32.1
518.5,2.31,-12.3,7.6,68,,879,5425,84,32.1
513.7,2.30,-12.6,7.6,72,,889,5496,83,32.1
509.4,2.29,-13.0,7.5,77,,898,5560,83,32.1
504.6,2.33,-13.3,7.6,85,,908,5633,83,32.1
499.6,2.28,-13.6,7.8,92,,918,5708,83,32.1
495.0,2.10,-13.9,8.1,98,,927,5780,83,32.1
489.6,1.91,-14.3,8.6,104,,937,5862,83,32.1
484.4,1.71,-14.8,9.1,108,,947,5944,84,32.1
479.6,1.57,-15.3,9.7,109,,956,6018,84,32.1
474.4,1.50,-15.8,10.2,109,,966,6100,84,32.1
469.4,1.47,-16.4,10.6,108,,976,6180,85,32.1
464.5,1.44,-16.9,11.0,107,,986,6258,85,32.1
460.2,1.42,-17.4,11.2,106,,995,6329,85,32.1
455.3,1.39,-18.0,11.3,104,,1005,6408,86,32.1
450.5,1.35,-18.4,11.3,103,,1015,6490,87,32.1
446.1,1.32,-18.8,11.2,102,,1024,6562,86,32.1
441.4,1.30,-19.4,11.1,101,,1034,6640,84,32.1
436.9,1.27,-20.0,11.2,100,,1044,6716,84,32.1
432.5,1.31,-20.6,11.5,99,,1054,6791,82,32.1
428.6,1.43,-21.1,11.9,98,,1063,6857,79,32.1
424.5,1.55,-21.6,12.5,96,,1073,6930,78,32.0
420.3,1.61,-22.2,13.2,95,,1083,7002,79,32.1
416.0,1.64,-22.9,14.0,94,,1093,7077,80,32.1
412.3,1.68,-23.4,14.6,92,,1102,7143,81,32.0
408.2,1.68,-23.9,15.3,92,,1112,7216,82,32.0
404.2,1.65,-24.3,15.8,91,,1122,7290,81,32.0
400.0,1.59,-24.7,16.1,91,,1132,7364,79,32.0
396.3,1.48,-25.0,16.3,91,,1141,7431,77,32.0
392.3,1.40,-25.6,16.5,91,,1151,7506,75,32.0
388.3,1.38,-26.1,16.7,91,,1161,7579,74,32.0
384.2,1.39,-26.8,16.8,91,,1171,7655,73,32.0
380.6,1.39,-27.3,17.0,91,,1180,7724,73,32.0
376.7,1.38,-27.8,17.2,92,,1190,7798,74,32.0
372.8,1.36,-28.4,17.4,92,,1200,7873,73,32.0
368.8,1.36,-29.0,17.6,93,,1210,7950,70,32.0
365.3,1.39,-29.7,17.6,93,,1219,8019,67,32.0
361.5,1.40,-30.3,17.6,94,,1229,8093,67,32.0
