
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-02-26,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6A12167

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-09-02,02:08:30

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
304.8,2,339.3,-1.03,348,0,DS,Dobson (Beck),115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.065,26.0,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1009.2,2.50,12.6,2.6,281,,0,110,57,29.5
1006.1,2.54,12.0,2.4,264,,8,135,50,29.6
999.0,2.60,11.3,2.6,259,,19,195,52,29.6
995.2,2.64,10.9,2.5,260,,28,227,51,29.6
991.0,2.67,10.1,2.5,269,,37,261,53,29.6
987.9,2.77,9.8,2.4,283,,46,288,55,29.6
982.6,2.80,9.1,2.0,296,,57,333,55,29.6
977.3,2.83,8.6,1.7,302,,66,377,57,29.6
973.0,2.86,8.3,1.8,307,,75,414,57,29.6
967.5,2.84,7.9,2.6,307,,85,460,58,29.6
962.3,2.82,7.4,3.5,291,,95,505,62,29.6
957.0,2.82,7.0,4.4,282,,104,550,64,29.6
952.5,2.74,6.6,4.9,283,,113,589,64,29.6
948.5,2.72,6.1,5.0,288,,121,624,67,29.6
943.6,2.70,5.7,4.4,288,,131,666,69,29.6
938.3,2.76,5.6,3.8,285,,139,711,66,29.6
932.4,2.70,5.1,3.9,284,,150,764,68,29.6
927.8,2.72,4.6,4.6,282,,159,803,71,29.6
923.1,2.63,4.1,5.0,281,,168,845,75,29.6
918.0,2.63,3.6,4.7,283,,178,890,78,29.6
913.2,2.67,3.4,4.1,280,,187,933,73,29.6
909.0,2.72,3.3,3.5,272,,197,971,69,29.6
904.8,2.76,3.1,3.3,263,,207,1008,62,29.6
900.5,2.81,3.0,3.4,261,,217,1046,60,29.6
895.6,2.84,2.8,3.7,263,,227,1090,60,29.6
890.5,2.83,2.5,3.7,265,,237,1137,61,29.6
886.6,2.79,2.1,3.7,268,,246,1172,62,29.6
881.7,2.75,1.9,3.8,282,,256,1217,62,29.6
877.2,2.76,1.4,4.1,302,,266,1258,63,29.6
872.6,2.77,1.0,4.2,309,,276,1301,62,29.5
868.3,2.78,0.8,3.3,298,,286,1340,62,29.5
863.8,2.82,0.5,2.4,272,,295,1382,60,29.6
859.1,2.82,0.2,2.3,246,,305,1425,59,29.5
854.7,2.81,-0.3,2.6,243,,314,1467,64,29.5
849.5,2.80,-0.7,2.5,242,,325,1515,65,29.6
845.3,2.76,-1.0,2.3,239,,334,1555,67,29.6
840.7,2.78,-1.4,1.9,241,,344,1598,64,29.5
836.0,2.81,-1.8,1.1,273,,354,1643,64,29.5
831.3,2.79,-2.1,1.0,308,,364,1688,66,29.5
826.4,2.80,-2.5,1.4,272,,374,1735,68,29.5
822.3,2.78,-3.0,2.3,264,,383,1774,70,29.5
817.7,2.77,-3.4,2.7,283,,393,1819,73,29.5
813.2,2.75,-3.7,2.9,301,,403,1863,75,29.5
808.7,2.76,-4.0,2.7,303,,413,1906,73,29.4
804.0,2.77,-4.3,2.2,319,,423,1952,70,29.4
798.8,2.83,-4.5,3.0,6,,433,2003,64,29.4
794.1,2.96,-4.3,5.1,26,,443,2049,48,29.4
789.4,3.10,-3.9,6.0,35,,453,2096,33,29.4
785.0,3.22,-3.5,5.2,42,,463,2141,26,29.4
781.1,3.30,-3.4,3.7,43,,472,2180,21,29.3
776.5,3.37,-3.4,2.3,22,,483,2227,16,29.3
772.0,3.42,-3.4,1.8,349,,493,2272,12,29.3
767.7,3.46,-3.4,1.8,308,,503,2317,9,29.3
763.3,3.52,-3.4,2.5,290,,513,2362,4,29.2
759.4,3.54,-3.5,3.3,292,,522,2403,3,29.2
755.7,3.52,-3.5,4.0,296,,531,2441,1,29.2
752.5,3.58,-3.6,4.6,294,,539,2475,1,29.1
748.0,3.64,-3.6,5.3,288,,549,2522,1,29.1
743.8,3.70,-3.9,5.2,282,,559,2567,2,29.1
738.8,3.75,-4.1,4.8,273,,570,2619,3,29.1
734.2,3.82,-4.5,5.7,261,,580,2668,3,29.0
730.1,3.91,-4.8,6.9,253,,590,2713,5,29.0
726.2,3.98,-4.9,7.1,250,,599,2755,7,29.0
721.5,4.02,-4.9,6.6,249,,608,2806,9,29.0
718.1,3.97,-5.1,5.8,250,,616,2843,14,28.9
714.9,3.88,-5.4,5.0,250,,624,2878,22,28.9
706.6,3.63,-6.3,4.1,273,,644,2970,21,28.9
704.1,3.58,-6.4,4.1,281,,650,2997,21,28.9
700.2,3.47,-6.4,3.7,284,,660,3041,25,28.9
696.1,3.37,-6.5,3.1,265,,670,3086,31,28.8
693.1,3.30,-6.9,3.2,245,,678,3120,35,28.8
688.9,3.27,-6.9,3.1,243,,688,3167,23,28.8
686.0,3.20,-7.1,2.7,255,,695,3199,19,28.8
682.2,3.15,-7.4,2.5,264,,705,3243,27,28.8
678.7,3.11,-7.4,3.5,254,,714,3283,26,28.7
674.8,3.07,-7.6,5.2,253,,724,3328,26,28.7
671.6,3.07,-7.9,6.3,261,,733,3366,28,28.7
667.9,3.05,-8.3,6.9,267,,743,3408,32,28.7
664.5,3.06,-8.6,7.1,268,,752,3448,32,28.7
661.1,3.03,-9.0,7.4,267,,761,3487,35,28.7
657.0,3.01,-9.4,7.2,272,,772,3536,36,28.6
653.6,3.01,-9.9,6.5,276,,781,3576,36,28.6
649.3,3.00,-10.3,5.7,267,,792,3626,34,28.6
645.5,2.99,-10.4,6.4,253,,802,3671,34,28.6
642.2,2.95,-10.8,7.5,254,,811,3711,35,28.6
638.2,2.94,-11.3,7.9,263,,822,3759,35,28.5
634.8,2.92,-11.5,7.1,264,,831,3799,28,28.5
630.7,2.90,-11.8,6.1,253,,841,3850,29,28.5
627.4,2.89,-12.0,5.9,245,,849,3889,29,28.5
623.8,2.88,-12.4,6.3,249,,859,3934,31,28.5
619.8,2.86,-12.8,7.2,255,,869,3983,29,28.5
616.8,2.85,-13.0,7.2,255,,877,4020,32,28.4
612.7,2.88,-13.4,6.3,252,,886,4071,41,28.4
609.4,2.88,-13.6,5.9,246,,895,4111,47,28.4
606.0,2.85,-13.9,7.1,240,,904,4154,50,28.4
603.2,2.86,-14.1,8.6,240,,912,4189,51,28.4
599.6,2.85,-14.1,9.7,247,,922,4235,47,28.4
596.4,2.82,-14.0,10.4,255,,931,4275,45,28.4
592.4,2.78,-14.3,11.4,259,,941,4325,45,28.3
588.5,2.76,-14.4,12.3,258,,952,4377,42,28.3
585.2,2.75,-14.6,12.8,252,,962,4419,41,28.3
581.7,2.77,-14.8,13.0,246,,972,4465,38,28.3
578.4,2.78,-14.9,12.9,244,,981,4506,37,28.3
575.1,2.79,-14.9,12.7,246,,990,4550,35,28.2
571.7,2.78,-15.3,12.9,249,,999,4595,35,28.2
568.8,2.83,-15.5,13.6,248,,1007,4634,35,28.2
565.4,2.81,-15.8,14.1,244,,1016,4679,35,28.2
562.1,2.84,-16.0,14.4,241,,1025,4723,35,28.2
558.8,2.83,-16.4,14.8,242,,1034,4768,36,28.2
555.5,2.84,-16.8,15.5,242,,1042,4812,37,28.2
552.3,2.85,-17.1,16.1,241,,1051,4854,37,28.1
549.2,2.86,-17.4,15.7,241,,1060,4898,38,28.1
545.9,2.84,-17.7,14.5,242,,1069,4941,34,28.1
543.0,2.86,-18.0,13.4,243,,1078,4983,35,28.0
540.5,2.87,-18.3,13.2,243,,1086,5017,35,28.0
536.0,2.85,-18.8,13.3,244,,1096,5080,36,28.0
532.7,2.82,-19.1,13.2,243,,1105,5125,37,28.0
529.3,2.83,-19.4,12.9,242,,1114,5173,37,28.0
526.2,2.83,-19.8,12.8,243,,1123,5216,36,28.0
523.4,2.81,-20.1,12.9,244,,1132,5256,36,27.9
519.9,2.79,-20.5,13.1,243,,1141,5305,37,27.9
517.5,2.77,-20.8,13.2,242,,1149,5339,36,27.9
514.5,2.73,-21.1,13.3,241,,1158,5383,33,27.9
511.5,2.75,-21.4,13.9,239,,1167,5425,28,27.8
508.3,2.78,-21.8,14.8,238,,1176,5472,25,27.8
504.5,2.78,-22.3,15.3,238,,1186,5527,25,27.8
500.8,2.80,-22.8,15.1,241,,1195,5582,24,27.7
497.7,2.77,-23.3,15.3,244,,1204,5626,23,27.7
494.1,2.78,-23.6,16.1,246,,1214,5680,21,27.7
490.5,2.80,-24.0,16.7,247,,1224,5733,17,27.7
487.6,2.79,-24.4,16.4,249,,1233,5775,16,27.6
483.9,2.79,-24.8,15.8,248,,1243,5832,15,27.6
481.0,2.79,-25.0,15.5,245,,1252,5876,15,27.6
477.7,2.78,-25.6,15.6,242,,1261,5925,15,27.6
474.1,2.79,-26.0,16.2,242,,1271,5979,14,27.5
470.8,2.79,-26.3,17.0,243,,1280,6031,14,27.5
467.9,2.79,-26.6,17.5,240,,1289,6075,14,27.5
464.1,2.78,-26.9,18.0,235,,1299,6133,14,27.4
461.2,2.75,-27.0,18.7,233,,1308,6179,13,27.4
457.8,2.74,-27.5,19.0,234,,1317,6233,14,27.4
454.4,2.71,-27.9,19.1,235,,1327,6286,14,27.4
450.8,2.63,-28.3,19.8,235,,1336,6343,15,27.3
447.7,2.58,-28.7,21.0,234,,1345,6393,15,27.3
444.9,2.52,-28.8,21.8,234,,1355,6438,14,27.3
442.0,2.43,-29.0,22.1,237,,1364,6484,14,27.2
439.4,2.38,-29.5,22.8,238,,1373,6526,13,27.2
436.4,2.35,-29.9,23.5,238,,1383,6576,13,27.2
433.6,2.33,-30.3,23.5,236,,1392,6621,15,27.1
431.3,2.34,-30.5,23.4,236,,1401,6659,14,27.1
428.3,2.28,-31.1,23.2,236,,1411,6708,14,27.1
426.1,2.26,-31.3,22.8,236,,1420,6745,14,27.0
424.0,2.25,-31.6,22.4,236,,1429,6779,14,27.0
421.5,2.24,-32.0,22.5,237,,1439,6821,14,27.0
419.0,2.28,-32.4,22.9,239,,1448,6863,14,26.9
416.3,2.33,-32.5,23.6,240,,1458,6909,14,26.9
413.7,2.38,-33.0,24.2,241,,1467,6952,14,26.9
410.8,2.39,-33.3,24.5,242,,1476,7002,14,26.9
407.9,2.38,-33.8,24.5,241,,1486,7053,15,26.8
405.1,2.39,-34.3,24.8,239,,1495,7100,17,26.8
401.9,2.36,-34.8,25.0,239,,1504,7156,18,26.7
399.3,2.33,-35.0,24.6,239,,1514,7201,17,26.7
397.0,2.30,-35.3,24.0,238,,1523,7240,17,26.7
395.1,2.24,-35.4,23.6,237,,1532,7275,16,26.6
