
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-02-26,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6A17028

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-10-14,02:04:52

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
329.7,2,364.5,-0.97,354.5,0,DS,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.010,25.7,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1008.8,2.43,14.5,,,,0,110,45,29.6
1004.0,2.48,12.4,,,,9,149,42,29.6
999.0,2.51,11.8,,,,19,191,45,29.7
994.4,2.55,11.5,,,,28,231,47,29.8
989.1,2.52,11.0,,,,37,275,48,29.8
984.4,2.55,10.6,,,,46,315,49,29.8
979.4,2.57,10.1,,,,56,357,50,29.8
972.9,2.56,9.6,,,,66,412,52,29.9
967.5,2.56,9.0,,,,75,458,53,29.9
962.4,2.55,8.6,,,,84,502,55,29.9
956.9,2.57,8.1,,,,94,549,56,29.9
951.6,2.54,7.7,,,,103,595,57,30.0
947.8,2.54,7.5,,,,112,628,58,30.0
943.8,2.56,7.1,,,,121,662,58,30.0
938.6,2.55,6.6,,,,130,708,60,30.0
931.2,2.54,6.1,,,,140,773,61,30.1
926.8,2.53,5.8,,,,148,812,62,30.1
922.8,2.55,5.5,,,,158,847,63,30.1
919.0,2.52,5.1,,,,166,881,65,30.1
914.4,2.50,4.8,,,,176,922,67,30.1
909.3,2.48,4.3,,,,185,968,68,30.2
905.6,2.47,3.9,,,,194,1001,70,30.2
901.6,2.48,3.6,,,,203,1037,71,30.2
896.5,2.49,3.3,,,,212,1083,71,30.3
889.4,2.49,2.6,,,,222,1147,73,30.3
882.4,2.51,2.1,,,,232,1211,75,30.3
875.8,2.49,1.6,,,,241,1272,76,30.3
870.0,2.48,1.1,,,,250,1325,79,30.3
864.8,2.47,0.7,,,,259,1373,79,30.3
860.6,2.52,0.4,,,,268,1412,80,30.3
855.8,2.52,0.0,,,,277,1458,79,30.3
849.2,2.52,-0.7,,,,287,1520,85,30.3
841.9,2.48,-1.1,,,,296,1588,87,30.4
834.7,2.44,-1.5,,,,306,1656,87,30.4
828.5,2.44,-1.9,,,,315,1717,86,30.4
821.8,2.47,-2.7,,,,325,1781,84,30.4
817.2,2.47,-2.9,,,,334,1825,82,30.4
812.3,2.58,-1.4,,,,344,1873,57,30.4
808.9,2.65,-0.9,,,,353,1906,46,30.4
804.2,2.72,-0.0,,,,363,1952,34,30.4
799.7,2.79,0.4,,,,372,1998,30,30.4
795.2,2.86,0.7,,,,381,2043,25,30.4
789.6,2.89,0.9,,,,390,2100,20,30.4
784.2,2.97,1.1,,,,399,2155,12,30.4
778.9,3.02,0.9,,,,409,2209,12,30.4
774.0,3.06,0.6,,,,418,2260,10,30.4
768.9,3.13,0.5,,,,427,2313,6,30.4
763.4,3.23,0.4,,,,436,2370,6,30.4
757.8,3.19,0.2,,,,445,2430,8,30.4
752.5,3.22,0.0,,,,455,2486,6,30.4
747.7,3.21,0.1,,,,464,2536,7,30.5
742.6,3.12,-0.4,,,,474,2591,15,30.5
737.6,3.01,-0.9,,,,484,2646,15,30.5
732.8,2.98,-1.4,,,,493,2697,14,30.4
728.3,2.92,-1.8,,,,503,2746,16,30.4
724.3,2.91,-1.9,,,,512,2790,16,30.4
719.4,2.89,-2.4,,,,522,2844,14,30.4
714.4,2.85,-2.6,,,,532,2899,13,30.4
710.5,2.82,-2.9,,,,541,2942,12,30.5
706.3,2.75,-3.0,,,,550,2989,10,30.5
701.8,2.77,-3.3,,,,560,3040,7,30.4
697.0,2.86,-3.4,,,,570,3094,7,30.5
693.0,2.94,-3.8,,,,579,3140,7,30.4
688.3,2.91,-4.1,,,,589,3193,7,30.5
682.6,2.85,-4.5,,,,598,3258,8,30.5
677.4,2.86,-4.9,,,,608,3319,8,30.5
672.3,2.83,-5.3,,,,617,3378,8,30.5
667.4,2.81,-5.7,,,,627,3435,7,30.4
662.6,2.81,-6.0,,,,637,3491,6,30.4
658.1,2.82,-6.4,,,,646,3545,6,30.4
653.5,2.85,-6.9,,,,656,3600,7,30.4
649.3,2.86,-7.3,,,,665,3651,7,30.4
645.0,2.88,-7.6,,,,674,3701,8,30.4
639.8,2.89,-7.9,,,,684,3764,8,30.4
635.1,2.87,-8.4,,,,694,3822,9,30.4
630.6,2.79,-8.8,,,,704,3877,12,30.4
626.6,2.66,-9.1,,,,713,3926,17,30.4
622.7,2.44,-9.4,,,,722,3975,18,30.4
617.5,2.28,-9.9,,,,731,4039,18,30.4
613.0,2.26,-10.4,,,,740,4096,18,30.4
608.5,2.23,-10.8,,,,750,4152,17,30.4
604.4,2.15,-11.1,,,,760,4203,17,30.4
599.9,2.03,-11.7,,,,769,4260,17,30.3
595.8,2.03,-11.9,,,,779,4314,16,30.3
591.8,2.09,-12.4,,,,788,4365,14,30.3
586.7,2.07,-12.9,,,,798,4431,17,30.3
583.1,2.12,-13.2,,,,807,4478,14,30.3
579.5,2.10,-13.5,,,,816,4525,17,30.3
574.9,2.09,-14.0,,,,827,4585,18,30.2
571.9,2.07,-14.4,,,,836,4626,18,30.2
568.3,2.02,-14.8,,,,846,4673,17,30.2
565.2,2.04,-14.9,,,,855,4715,16,30.2
561.4,2.03,-15.4,,,,865,4764,15,30.2
558.1,2.09,-15.8,,,,875,4810,15,30.2
554.0,2.13,-16.3,,,,884,4866,14,30.2
550.5,2.26,-16.5,,,,894,4913,9,30.2
547.1,2.23,-16.8,,,,904,4960,14,30.2
544.1,2.31,-17.0,,,,913,5001,10,30.2
540.9,2.48,-17.3,,,,923,5045,7,30.1
538.0,2.54,-17.5,,,,932,5086,7,30.1
534.4,2.46,-18.0,,,,942,5135,12,30.1
531.5,2.38,-18.3,,,,952,5175,12,30.1
528.8,2.42,-18.5,,,,961,5213,10,30.1
526.0,2.45,-18.8,,,,970,5253,13,30.0
522.1,2.46,-19.3,,,,981,5309,7,30.0
519.4,2.49,-19.5,,,,990,5347,7,30.0
515.8,2.46,-20.0,,,,1000,5399,9,30.0
513.0,2.48,-20.3,,,,1009,5439,9,30.0
509.9,2.49,-20.6,,,,1019,5484,9,29.9
507.4,2.45,-21.1,,,,1029,5521,11,29.9
504.8,2.38,-21.4,,,,1038,5558,13,29.9
501.9,2.18,-21.5,,,,1048,5602,13,29.9
498.4,2.13,-22.0,,,,1058,5653,12,29.9
495.8,2.14,-22.3,,,,1067,5691,12,29.9
493.2,2.12,-22.5,,,,1076,5730,12,29.9
490.2,2.10,-23.0,,,,1085,5774,12,29.8
486.6,2.07,-23.4,,,,1095,5828,12,29.8
484.1,2.06,-23.5,,,,1104,5865,12,29.8
481.8,2.06,-23.9,,,,1114,5900,12,29.8
479.6,2.07,-24.1,,,,1124,5934,12,29.7
476.9,2.02,-24.7,,,,1133,5975,13,29.7
474.1,2.02,-25.0,,,,1143,6017,13,29.7
471.7,2.01,-25.3,,,,1152,6055,13,29.6
469.2,2.02,-25.6,,,,1162,6094,13,29.6
465.7,1.98,-26.3,,,,1172,6147,13,29.6
462.8,1.93,-26.6,,,,1181,6192,14,29.6
459.4,1.89,-27.1,,,,1191,6246,13,29.6
455.5,1.89,-27.6,,,,1201,6306,13,29.6
453.1,1.89,-27.8,,,,1210,6345,13,29.5
449.6,1.80,-28.3,,,,1220,6401,13,29.5
445.7,1.75,-28.8,,,,1230,6462,13,29.5
443.3,1.75,-29.1,,,,1239,6502,13,29.5
439.8,1.72,-29.5,,,,1250,6559,14,29.5
