
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-02-26,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6A18551

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-12-21,01:34:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
239.9,2,284.2,-0.98,279,0,ZS,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.029,24.9,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
992.3,2.96,30.6,4.1,338,,1,140,24,30.7
982.5,3.06,29.4,4.4,335,,9,227,26,30.8
978.0,3.19,28.9,4.6,332,,18,269,25,30.8
972.3,3.27,28.4,4.8,328,,28,321,26,30.9
967.0,3.35,28.0,5.2,325,,38,369,26,30.9
962.9,3.39,27.6,5.5,321,,48,407,27,31.0
958.2,3.40,27.1,5.9,319,,58,450,27,31.0
954.3,3.40,27.3,6.4,316,,67,486,25,31.1
948.5,3.36,26.8,7.1,314,,77,539,25,31.1
943.9,3.27,26.3,7.9,312,,87,582,26,31.2
940.0,3.27,25.9,9.0,311,,97,618,26,31.2
935.1,3.26,25.6,10.1,311,,107,664,25,31.3
931.0,3.23,25.4,11.1,312,,116,703,25,31.3
926.8,3.18,25.0,11.9,313,,125,743,25,31.4
923.2,3.16,24.9,12.4,314,,133,777,24,31.4
919.4,3.08,24.5,12.8,315,,142,813,25,31.4
914.6,3.05,24.1,13.1,316,,153,858,25,31.5
910.4,2.99,23.8,13.3,317,,162,899,25,31.5
905.2,2.97,23.3,13.6,317,,173,949,25,31.6
901.5,2.91,23.0,14.0,316,,182,984,25,31.6
897.5,2.94,22.6,14.4,314,,191,1023,25,31.7
892.3,2.89,22.3,14.6,310,,202,1074,26,31.7
887.0,2.85,21.9,14.7,306,,212,1125,25,31.8
881.4,2.82,21.6,14.6,301,,222,1179,25,31.8
875.6,2.76,21.6,14.6,295,,232,1237,25,31.9
870.4,2.74,21.1,14.7,290,,241,1288,25,31.9
864.5,2.71,20.8,15.0,286,,252,1347,26,31.9
859.0,2.71,20.3,15.1,283,,261,1402,26,32.0
854.2,2.67,19.9,15.3,281,,270,1450,27,32.0
848.9,2.68,19.4,15.3,281,,279,1504,30,32.0
843.8,2.67,18.6,15.2,281,,288,1555,34,32.1
838.2,2.71,18.1,15.0,282,,298,1613,35,32.1
833.0,2.77,17.6,14.9,283,,307,1665,35,32.2
827.2,2.81,17.2,14.8,285,,317,1725,33,32.2
822.7,2.76,17.0,14.9,287,,325,1772,33,32.2
817.5,2.74,16.8,15.1,289,,334,1826,35,32.3
811.5,2.72,16.5,15.8,290,,345,1889,39,32.3
805.8,2.75,16.0,16.5,291,,355,1948,40,32.3
800.0,2.77,15.4,17.5,292,,365,2010,44,32.4
793.4,2.77,14.7,18.3,292,,375,2079,48,32.4
788.6,2.82,14.3,18.9,292,,384,2131,50,32.5
782.8,2.83,13.6,19.2,292,,395,2194,53,32.5
777.4,2.85,13.0,19.1,291,,405,2252,55,32.5
770.8,2.87,12.3,18.8,291,,415,2323,57,32.6
765.0,2.91,11.7,18.6,290,,425,2387,59,32.6
759.9,2.89,11.1,18.5,289,,434,2443,61,32.6
753.5,2.86,10.6,18.7,289,,445,2513,64,32.7
748.3,2.88,10.1,19.2,289,,455,2571,66,32.7
742.7,2.85,9.5,19.8,289,,465,2634,68,32.7
737.2,2.83,9.0,20.5,289,,475,2695,71,32.7
732.2,2.82,8.6,21.4,290,,484,2751,73,32.8
726.0,2.83,8.2,22.5,291,,495,2821,73,32.8
720.8,2.80,7.8,23.5,291,,504,2881,72,32.8
715.6,2.80,7.4,24.6,292,,514,2941,71,32.8
711.2,2.77,7.1,25.2,292,,522,2992,69,32.9
705.8,2.71,7.0,25.8,293,,532,3054,66,32.9
700.4,2.70,6.6,26.0,294,,542,3118,66,32.9
694.5,2.67,6.0,26.1,294,,553,3187,68,33.0
689.4,2.66,5.4,26.1,295,,563,3248,71,33.0
684.2,2.63,4.9,26.1,295,,573,3310,73,33.0
679.3,2.61,4.4,26.0,296,,582,3369,76,33.0
674.5,2.58,3.8,26.0,297,,591,3425,79,33.0
669.2,2.60,3.1,25.9,298,,600,3490,82,33.0
665.1,2.59,2.6,25.9,299,,608,3539,84,33.0
660.7,2.59,2.2,25.9,300,,617,3593,87,33.1
656.4,2.56,1.6,26.1,302,,626,3646,91,33.1
652.0,2.57,1.3,26.4,303,,635,3699,90,33.1
648.2,2.52,1.1,26.8,303,,644,3747,87,33.1
642.9,2.49,0.5,27.3,303,,655,3813,87,33.1
638.3,2.44,0.0,28.0,302,,665,3872,87,33.1
634.2,2.41,-0.4,28.6,300,,674,3923,85,33.2
629.9,2.35,-0.8,29.2,299,,683,3977,81,33.2
624.6,2.30,-1.0,29.7,297,,693,4045,71,33.2
619.8,2.21,-1.1,30.0,296,,703,4106,69,33.2
615.4,2.16,-1.4,30.2,295,,712,4163,68,33.2
610.7,2.15,-2.0,30.0,295,,722,4224,69,33.2
606.8,2.22,-2.5,29.7,295,,731,4275,71,33.2
602.5,2.26,-2.9,29.3,295,,740,4332,73,33.2
597.5,2.26,-3.6,28.8,295,,751,4397,75,33.2
593.1,2.27,-4.2,28.5,296,,761,4456,77,33.2
588.8,2.31,-4.7,28.6,297,,771,4513,78,33.2
585.5,2.33,-5.1,28.8,297,,779,4558,80,33.2
581.7,2.33,-5.5,29.2,297,,788,4609,80,33.2
577.3,2.29,-6.0,29.8,297,,798,4668,80,33.2
573.3,2.22,-6.5,30.3,296,,807,4722,82,33.2
569.1,2.26,-6.9,30.7,296,,816,4780,83,33.2
564.7,2.34,-7.4,30.9,295,,827,4841,86,33.2
560.3,2.30,-7.8,30.8,295,,837,4900,87,33.2
557.2,2.23,-8.0,30.7,295,,846,4945,85,33.2
553.9,2.24,-8.4,30.5,295,,855,4991,86,33.2
