
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-04-30,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6A17076

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2006-05-04,02:04:26

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
222.7,2,269.4,-0.96,259.5,0,ZS,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS80,,0.044,26.9,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1005.3,1.43,14.6,6.7,360,,0,110,65,29.3
1003.4,1.45,13.8,7.5,359,,9,125,61,29.4
998.3,1.47,13.2,8.4,358,,19,168,63,29.4
993.4,1.49,12.8,9.1,357,,28,211,65,29.4
987.5,1.50,12.2,9.6,356,,37,260,67,29.4
981.1,1.50,11.6,10.1,354,,47,314,69,29.5
975.2,1.49,11.1,10.3,352,,57,365,71,29.5
970.4,1.53,10.6,10.5,348,,67,405,73,29.5
966.5,1.53,10.1,10.7,345,,76,440,76,29.5
961.0,1.52,9.8,11.1,339,,86,487,78,29.5
954.8,1.55,9.3,11.6,332,,97,541,80,29.6
950.1,1.59,9.0,12.1,325,,107,582,81,29.6
944.0,1.70,9.1,12.5,320,,116,636,74,29.6
937.5,1.77,8.8,13.0,315,,126,692,75,29.6
933.0,1.85,8.6,13.4,312,,135,733,73,29.6
928.1,1.89,8.3,13.5,309,,145,776,73,29.6
922.0,1.94,8.0,13.5,308,,155,831,74,29.7
916.9,1.97,7.7,13.4,306,,165,876,74,29.7
912.8,1.99,7.4,13.0,305,,174,913,75,29.7
908.7,2.00,7.0,12.6,302,,183,950,76,29.7
903.8,2.00,6.6,11.9,298,,193,994,78,29.7
899.2,1.99,6.4,11.4,293,,203,1036,79,29.8
894.0,1.98,6.0,10.9,289,,213,1084,82,29.8
889.4,1.96,5.6,10.7,285,,222,1126,86,29.8
884.5,1.95,5.4,10.7,282,,232,1171,87,29.8
880.2,1.94,5.1,11.0,279,,242,1211,89,29.8
875.7,1.93,4.8,11.5,276,,252,1253,90,29.8
872.0,1.93,4.5,12.1,275,,261,1288,90,29.8
867.6,1.93,4.3,12.8,274,,270,1329,91,29.9
863.0,1.93,3.9,13.5,274,,280,1373,93,29.9
857.9,1.92,3.6,14.1,275,,290,1420,93,29.9
852.6,1.91,3.3,14.5,276,,300,1471,94,29.9
847.5,1.90,2.9,14.8,277,,309,1520,94,29.9
842.0,1.89,2.6,14.9,278,,319,1571,94,29.9
836.9,1.87,2.4,15.1,279,,328,1622,94,29.9
830.6,1.88,2.0,15.2,280,,337,1682,94,29.9
825.4,1.85,1.8,15.3,281,,346,1733,95,29.9
820.5,1.85,1.5,15.3,281,,355,1781,94,29.9
816.2,1.89,1.6,15.2,281,,363,1824,67,29.9
811.2,1.97,2.6,14.9,281,,373,1873,43,30.0
805.8,2.02,3.4,14.6,281,,383,1928,34,30.0
800.9,2.10,4.0,14.4,281,,392,1977,25,30.0
796.5,2.16,4.7,14.3,280,,401,2022,21,30.0
791.7,2.28,5.1,14.4,278,,411,2071,16,30.0
786.5,2.30,5.5,14.8,275,,421,2124,17,30.0
781.4,2.26,5.4,15.4,273,,430,2177,19,30.0
776.2,2.20,5.1,16.2,271,,440,2232,20,30.0
771.0,2.09,4.9,16.8,269,,450,2286,22,30.0
766.4,2.12,4.5,17.3,269,,459,2335,19,30.0
761.8,2.20,4.4,17.5,268,,468,2384,16,30.0
756.4,2.20,4.3,17.6,268,,478,2442,15,30.0
751.0,2.17,4.0,17.6,269,,488,2501,15,30.0
746.1,2.08,3.7,17.6,268,,497,2554,16,30.0
740.9,1.99,3.5,17.5,268,,506,2611,17,30.0
734.9,1.91,2.9,17.5,267,,516,2677,19,30.0
730.1,2.00,2.6,17.5,265,,526,2729,19,30.0
725.2,2.07,2.3,17.5,264,,535,2783,19,30.0
720.3,2.03,2.1,17.7,262,,545,2838,18,30.0
715.3,1.94,1.8,17.8,261,,555,2894,19,30.0
710.8,1.89,1.4,18.1,261,,564,2945,19,30.0
706.5,1.89,1.1,18.3,260,,573,2993,18,30.0
702.3,1.90,0.8,18.7,261,,582,3042,18,30.0
697.3,1.86,0.5,19.1,261,,592,3099,18,30.0
692.9,1.83,0.1,19.5,262,,601,3149,18,30.0
687.6,1.82,-0.2,20.1,263,,611,3211,17,30.0
682.6,1.86,-0.5,20.7,264,,621,3269,14,30.0
678.2,1.90,-0.6,21.1,264,,630,3322,14,30.0
674.3,1.92,-0.9,21.5,264,,639,3367,14,30.0
669.9,1.91,-1.4,21.6,265,,649,3419,14,30.0
665.2,1.88,-1.8,21.6,266,,659,3475,15,30.0
661.5,1.83,-1.9,21.5,266,,667,3520,13,30.0
657.5,1.83,-1.8,21.5,267,,676,3568,13,30.0
652.3,1.92,-2.0,21.3,268,,687,3630,24,30.0
648.0,1.98,-2.3,21.3,269,,697,3683,21,30.0
643.8,2.05,-2.8,21.2,269,,706,3734,27,30.0
639.8,2.08,-3.2,21.1,269,,715,3783,28,30.0
635.0,2.10,-3.7,20.9,269,,725,3842,27,30.0
630.5,2.07,-4.3,20.7,269,,734,3900,28,30.0
625.8,2.08,-4.6,20.3,270,,744,3959,29,30.0
621.3,2.04,-5.1,20.0,271,,754,4016,31,30.0
617.1,1.93,-5.4,19.7,272,,763,4068,27,30.0
613.1,1.86,-5.5,19.5,273,,772,4119,25,30.0
608.2,1.84,-6.0,19.4,273,,782,4182,26,30.0
603.6,1.90,-6.5,19.4,272,,792,4242,27,30.0
599.3,1.99,-7.0,19.5,270,,801,4297,26,30.0
594.8,2.07,-7.4,19.6,268,,811,4356,24,29.9
590.5,2.02,-7.8,19.8,265,,821,4413,19,29.9
587.0,1.89,-7.9,20.0,263,,829,4459,13,29.9
581.8,1.77,-8.2,20.3,260,,839,4527,13,29.9
577.2,1.69,-8.5,20.8,258,,849,4589,11,29.9
573.1,1.62,-8.7,21.0,256,,857,4644,12,29.9
568.0,1.58,-9.1,21.5,254,,867,4715,11,29.9
563.5,1.55,-9.4,21.7,253,,877,4775,9,29.9
559.5,1.54,-9.8,21.8,252,,886,4830,9,29.9
555.3,1.60,-10.3,21.7,250,,895,4888,7,29.9
550.8,1.61,-10.7,21.6,250,,905,4951,7,29.9
546.3,1.63,-11.0,21.5,249,,914,5013,7,29.8
541.8,1.67,-11.3,21.7,249,,923,5076,6,29.8
537.1,1.64,-11.7,22.0,249,,933,5144,6,29.8
532.5,1.58,-12.1,22.6,251,,943,5208,7,29.8
528.3,1.55,-12.5,23.3,252,,952,5270,6,29.8
524.2,1.55,-12.9,24.0,254,,961,5330,6,29.8
519.5,1.56,-13.3,24.8,256,,971,5397,6,29.8
515.2,1.61,-13.4,25.3,259,,980,5461,6,29.8
510.9,1.67,-13.3,25.7,261,,990,5526,5,29.8
506.1,1.68,-13.5,25.8,262,,1000,5597,5,29.8
501.9,1.67,-13.9,25.7,264,,1008,5660,6,29.7
497.7,1.66,-14.3,25.3,265,,1018,5723,7,29.7
493.7,1.60,-14.6,24.8,266,,1028,5784,8,29.7
490.0,1.56,-15.0,24.3,266,,1036,5841,8,29.7
485.6,1.55,-15.5,23.6,267,,1046,5909,13,29.7
481.5,1.53,-15.9,22.9,268,,1056,5973,16,29.7
478.4,1.53,-16.4,22.5,268,,1064,6023,21,29.6
474.3,1.54,-16.9,22.3,268,,1074,6087,22,29.6
470.2,1.55,-17.4,22.3,268,,1084,6152,20,29.6
467.4,1.55,-17.8,22.6,268,,1092,6197,22,29.6
463.4,1.53,-18.5,23.1,269,,1102,6262,23,29.6
458.7,1.49,-19.1,23.6,271,,1112,6337,23,29.6
454.9,1.46,-19.5,24.0,273,,1121,6400,20,29.5
451.5,1.47,-19.8,24.3,276,,1130,6454,17,29.5
448.0,1.52,-19.9,24.5,278,,1140,6513,16,29.5
444.6,1.54,-20.0,24.6,280,,1149,6567,15,29.5
441.4,1.53,-20.4,24.6,281,,1158,6622,16,29.5
437.1,1.52,-21.0,24.5,281,,1168,6695,16,29.5
433.4,1.49,-21.6,24.3,280,,1177,6756,16,29.4
430.0,1.47,-22.0,24.0,280,,1186,6816,14,29.4
426.7,1.46,-22.3,23.6,279,,1196,6872,13,29.4
423.1,1.48,-22.9,23.3,278,,1205,6934,13,29.4
419.6,1.50,-23.4,23.0,277,,1214,6994,12,29.4
416.5,1.53,-23.6,23.0,275,,1224,7048,11,29.3
413.0,1.53,-24.1,23.3,273,,1233,7110,10,29.3
409.1,1.51,-24.5,24.0,271,,1243,7179,8,29.3
406.1,1.51,-25.0,24.6,270,,1252,7232,8,29.3
403.1,1.54,-25.5,25.3,270,,1261,7287,8,29.2
399.5,1.53,-26.1,26.0,270,,1271,7351,7,29.2
396.6,1.52,-26.5,26.3,270,,1279,7403,7,29.2
394.2,1.50,-26.8,26.8,271,,1288,7449,6,29.1
391.0,1.49,-27.1,27.0,273,,1297,7507,6,29.1
387.5,1.49,-27.6,27.1,274,,1307,7572,6,29.1
384.3,1.48,-27.8,27.0,275,,1317,7631,4,29.1
381.6,1.48,-28.0,26.6,276,,1326,7681,3,29.0
379.1,1.48,-28.4,26.2,277,,1335,7728,3,29.0
375.3,1.46,-29.1,25.5,278,,1345,7801,3,29.0
372.5,1.45,-29.5,25.2,279,,1353,7855,3,28.9
369.3,1.43,-29.9,24.8,280,,1363,7915,3,28.9
366.1,1.41,-30.6,24.7,281,,1372,7977,3,28.9
363.6,1.39,-31.1,24.9,281,,1381,8026,4,28.8
360.5,1.36,-31.8,25.2,280,,1391,8088,4,28.8
357.8,1.38,-32.3,25.4,280,,1400,8140,5,28.7
355.3,1.37,-32.7,25.5,280,,1409,8190,5,28.7
352.5,1.33,-33.3,25.5,280,,1418,8246,5,28.7
349.3,1.32,-33.8,25.3,280,,1428,8309,5,28.7
346.2,1.28,-34.3,24.8,280,,1438,8370,5,28.6
343.9,1.25,-34.8,24.4,280,,1446,8418,6,28.6
340.6,1.23,-35.5,23.8,280,,1455,8484,6,28.6
337.6,1.20,-36.0,23.0,280,,1465,8547,7,28.5
334.5,1.19,-36.5,22.5,280,,1474,8610,7,28.5
331.7,1.16,-37.1,22.1,280,,1484,8668,8,28.5
329.2,1.15,-37.6,21.9,280,,1492,8721,8,28.4
326.8,1.14,-38.1,22.0,280,,1501,8772,9,28.4
324.4,1.13,-38.5,22.3,280,,1510,8821,9,28.4
321.5,1.12,-39.1,22.7,281,,1520,8883,9,28.3
319.0,1.09,-39.5,23.1,281,,1530,8938,9,28.3
316.2,1.06,-39.9,23.4,282,,1538,8998,8,28.2
313.3,1.04,-40.5,23.5,283,,1548,9061,7,28.2
311.3,1.03,-40.7,23.4,284,,1557,9104,6,28.2
309.1,1.02,-41.0,23.1,286,,1566,9153,5,28.1
306.8,1.04,-41.3,22.8,287,,1575,9203,5,28.1
303.6,1.03,-41.9,22.4,289,,1584,9274,5,28.0
300.4,1.02,-42.5,22.1,291,,1594,9346,6,28.0
298.1,1.00,-42.9,22.0,292,,1602,9398,7,28.0
295.6,0.99,-43.5,22.1,294,,1612,9453,8,27.9
293.8,0.98,-43.9,22.3,296,,1621,9496,9,27.9
290.7,0.97,-44.4,22.3,297,,1630,9565,11,27.8
288.3,0.97,-45.0,22.2,298,,1639,9623,13,27.8
285.4,0.97,-45.5,21.8,299,,1648,9690,15,27.7
282.4,0.97,-46.1,21.1,299,,1658,9759,17,27.7
280.0,0.97,-46.6,20.5,299,,1667,9814,18,27.7
278.3,0.98,-47.0,19.8,298,,1676,9857,19,27.6
276.5,0.99,-47.5,19.3,297,,1685,9898,19,27.6
274.7,1.02,-47.9,19.2,296,,1694,9942,19,27.5
272.4,0.99,-48.4,19.2,296,,1703,9997,20,27.5
270.0,0.98,-48.8,19.3,296,,1712,10055,20,27.4
268.0,0.95,-49.3,19.4,296,,1722,10103,19,27.4
266.1,0.94,-49.6,19.3,297,,1731,10149,18,27.3
264.2,0.93,-50.1,19.2,298,,1741,10198,18,27.3
