
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-09,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6A19999

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-03-21,01:02:20

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
233.7,2,294.8,-0.91,268.5,0,ZB,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.015,27.0,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1007.6,1.51,23.5,2.6,133,,0,110,64,26.1
1002.3,1.49,22.4,0.8,161,,10,156,65,26.2
996.7,1.51,21.5,0.6,142,,20,205,66,26.2
991.2,1.52,21.0,0.0,0,,30,253,69,26.3
986.1,1.56,20.4,0.0,0,,40,298,71,26.3
980.5,1.55,20.1,0.0,0,,50,346,72,26.4
974.9,1.56,19.3,0.0,0,,60,396,75,26.4
970.3,1.64,18.9,1.0,87,,70,437,76,26.5
966.7,1.70,18.6,1.4,80,,80,469,78,26.5
962.9,1.79,18.1,1.4,72,,90,502,79,26.6
959.3,1.80,18.0,1.5,72,,100,534,80,26.6
955.9,1.78,17.8,1.6,85,,110,565,82,26.7
951.2,1.82,17.3,1.8,98,,120,608,85,26.7
946.2,1.86,16.8,1.9,102,,130,653,85,26.7
942.4,1.91,16.5,1.7,100,,139,686,85,26.8
939.1,1.97,16.2,1.6,96,,149,716,87,26.8
936.0,1.98,16.0,1.7,94,,159,744,88,26.9
933.1,2.03,15.8,1.8,97,,168,770,88,26.9
930.5,2.10,15.7,1.9,102,,177,794,87,26.9
927.2,2.15,15.4,1.8,104,,187,825,87,27.0
923.1,2.20,15.1,1.5,93,,197,863,88,27.0
