
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-09,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6A20001

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-03-28,05:54:17

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
215.5,2,243.3,-0.95,230.3,0,ZS,Dobson (Beck),115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.016,26.4,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
994.2,1.86,23.8,4.6,2,,0,110,42,30.0
989.7,2.08,23.2,4.5,311,,9,149,44,30.0
984.1,2.22,22.7,6.3,351,,19,199,45,30.0
978.8,2.41,22.2,7.8,357,,29,246,46,30.0
971.8,2.48,21.6,9.0,36,,39,307,48,30.0
964.3,2.53,20.9,9.6,1,,49,375,49,30.0
957.8,2.61,20.4,10.0,1,,59,434,51,30.0
949.6,2.66,19.6,10.3,320,,69,507,52,30.0
942.1,2.71,19.0,10.7,350,,79,575,54,30.0
936.1,2.73,18.4,10.6,349,,89,631,56,30.0
929.2,2.72,17.8,11.0,350,,99,694,58,30.0
922.8,2.77,17.2,12.6,348,,109,753,59,30.0
917.1,2.80,16.8,14.7,344,,118,807,61,30.0
911.6,2.80,16.4,16.4,340,,128,857,62,30.0
905.8,2.80,15.9,17.1,340,,138,911,64,30.0
900.8,2.80,15.4,17.6,341,,148,959,65,29.9
895.6,2.77,14.9,17.5,340,,158,1008,66,29.9
890.4,2.76,14.5,16.7,340,,168,1057,68,29.9
884.7,2.74,14.0,16.3,341,,178,1111,70,29.9
878.7,2.75,13.5,16.9,341,,188,1169,71,29.9
871.9,2.74,12.9,17.7,339,,198,1234,73,29.8
