
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-09,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6A18501

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-04-04,01:32:18

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
254.0,2,284.8,-0.94,266.8,0,DS,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.012,28.0,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1010.4,1.64,16.4,4.0,170,,1,113,48,28.6
1006.8,1.65,15.3,3.0,187,,9,144,50,28.6
1001.6,1.68,14.4,3.4,190,,19,187,52,28.6
997.0,1.71,14.1,3.3,181,,29,227,54,28.6
991.0,1.70,13.5,3.2,166,,39,277,56,28.6
987.0,1.70,13.0,3.0,155,,49,312,57,28.6
983.3,1.70,12.7,2.7,147,,59,343,58,28.6
979.3,1.71,12.3,2.5,139,,69,377,59,28.6
975.5,1.72,12.1,2.2,136,,79,410,60,28.6
971.9,1.74,11.8,1.7,138,,89,441,61,28.6
968.4,1.75,11.5,1.3,148,,99,471,61,28.6
964.8,1.74,11.1,1.4,157,,109,502,62,28.6
961.6,1.73,10.9,1.5,162,,118,530,64,28.6
957.5,1.73,10.5,1.6,169,,128,565,65,28.6
953.6,1.73,10.2,1.9,175,,137,600,66,28.6
948.9,1.74,9.9,2.8,177,,147,640,68,28.5
944.1,1.76,9.4,4.1,175,,157,682,70,28.5
939.1,1.76,8.9,5.3,170,,168,727,72,28.5
934.6,1.76,8.6,5.9,167,,177,767,73,28.5
929.7,1.75,8.2,6.4,162,,187,810,75,28.5
925.8,1.76,7.9,6.7,156,,197,844,76,28.6
