
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-09,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a18496

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-05-08,02:30:22

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
226.7,2,252.0,-0.99,249.7,0,ZB,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.014,26.3,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1008.8,1.95,17.9,4.6,236,,0,110,57,26.6
1004.2,2.03,16.1,4.5,238,,10,149,38,26.7
999.6,2.18,15.8,4.7,250,,20,188,41,26.7
993.7,2.27,15.6,4.8,260,,30,238,42,26.7
986.9,2.34,14.9,5.2,261,,40,296,42,26.8
981.9,2.40,14.1,5.4,256,,50,339,45,26.8
975.6,2.44,13.6,5.3,250,,60,393,46,26.9
968.4,2.46,13.1,5.2,245,,70,456,48,26.9
962.4,2.45,12.6,5.4,247,,80,508,49,26.9
955.6,2.46,12.0,6.0,255,,90,567,50,27.0
950.0,2.48,11.5,6.1,263,,100,616,52,27.0
945.2,2.56,11.1,5.6,271,,110,659,52,27.0
938.7,2.55,10.5,5.0,275,,120,716,53,27.0
933.0,2.60,10.0,4.5,272,,130,767,54,27.1
926.2,2.61,9.4,3.9,263,,140,828,56,27.1
921.1,2.64,8.9,3.1,255,,150,873,57,27.1
916.5,2.68,8.6,2.4,261,,160,915,59,27.1
911.2,2.66,8.1,2.5,278,,170,963,62,27.1
906.9,2.66,7.6,3.0,280,,180,1002,63,27.2
903.4,2.69,7.3,3.5,275,,190,1033,64,27.2
899.7,2.69,7.0,3.7,277,,200,1067,65,27.2
896.6,2.71,6.6,3.6,287,,210,1096,66,27.2
893.5,2.71,6.4,3.7,298,,220,1124,67,27.2
890.7,2.71,6.1,3.9,301,,230,1150,67,27.3
887.6,2.72,5.9,4.5,293,,240,1178,69,27.3
883.8,2.70,5.6,5.4,283,,249,1213,69,27.3
880.3,2.72,5.3,6.1,273,,259,1244,70,27.3
875.8,2.69,4.9,6.6,268,,269,1287,73,27.3
871.7,2.69,4.6,7.0,271,,279,1325,77,27.3
867.1,2.70,4.5,7.6,281,,289,1369,80,27.3
862.9,2.70,4.0,8.2,289,,299,1409,80,27.3
858.9,2.71,3.7,8.8,293,,309,1446,83,27.3
854.9,2.73,3.6,9.4,296,,319,1484,88,27.3
850.6,2.72,3.5,10.2,301,,329,1524,90,27.3
846.9,2.74,3.7,11.3,303,,339,1561,92,27.3
843.7,2.76,3.8,12.3,304,,349,1591,89,27.3
840.3,2.77,3.8,13.0,303,,359,1624,87,27.4
836.0,2.81,3.8,13.7,305,,369,1666,79,27.3
831.6,2.82,3.9,14.6,308,,379,1708,74,27.4
828.1,2.86,4.0,15.8,310,,389,1743,68,27.4
824.5,2.88,4.1,17.1,311,,399,1778,67,27.4
820.9,2.90,4.5,18.3,310,,409,1814,66,27.4
816.0,2.92,4.6,19.0,308,,419,1863,75,27.3
812.2,2.93,4.5,19.0,305,,428,1900,72,27.3
