
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-09,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a19395

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-09-26,01:45:46

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
278.8,2,332.9,-1.06,352,0,ZS,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.036,27.4,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
995.7,1.37,16.6,5.1,13,,0,110,40,27.1
990.8,1.49,16.5,8.3,322,,9,152,41,27.2
984.7,1.66,16.2,11.2,356,,19,204,42,27.2
978.9,1.96,15.8,13.1,357,,29,254,42,27.2
973.1,2.30,15.4,14.8,358,,39,304,42,27.2
966.7,2.53,14.9,16.1,36,,49,360,42,27.2
961.1,2.68,14.5,16.6,3,,59,410,43,27.2
955.4,2.76,14.0,17.3,5,,69,460,43,27.2
950.5,2.80,13.8,18.7,6,,79,502,43,27.2
946.1,2.92,13.5,19.8,7,,89,542,43,27.2
941.5,3.00,13.0,20.7,7,,99,583,43,27.2
935.7,3.05,12.9,21.9,9,,109,635,42,27.2
930.0,3.13,13.2,22.9,10,,119,686,35,27.2
924.2,3.27,13.8,23.3,7,,129,739,26,27.2
917.2,3.34,13.7,23.2,3,,139,802,25,27.2
910.3,3.41,13.5,22.8,323,,149,866,24,27.2
903.5,3.44,13.3,21.8,358,,159,929,22,27.2
897.5,3.46,12.8,21.3,357,,169,985,22,27.2
890.6,3.44,12.5,21.8,355,,179,1049,23,27.2
884.4,3.37,12.5,22.4,352,,189,1108,24,27.2
879.6,3.34,12.4,22.0,351,,198,1154,22,27.2
873.8,3.31,12.4,20.8,351,,208,1209,20,27.2
868.2,3.29,12.5,19.9,351,,218,1263,24,27.2
862.5,3.24,12.2,19.5,351,,228,1318,29,27.2
857.6,3.17,11.8,19.4,349,,238,1366,31,27.2
852.7,3.14,11.4,19.7,347,,248,1414,32,27.2
847.2,3.11,11.0,20.4,347,,258,1468,33,27.2
841.5,3.10,10.5,20.7,346,,268,1524,33,27.2
836.3,3.06,10.1,20.9,345,,278,1575,34,27.2
831.1,3.04,9.6,21.1,344,,288,1628,36,27.2
825.5,3.03,9.2,21.2,342,,298,1683,37,27.2
820.6,2.99,8.9,21.1,340,,307,1732,37,27.1
816.1,2.96,8.6,20.8,338,,316,1777,37,27.1
811.2,2.76,8.6,20.2,338,,326,1828,35,27.1
806.7,2.76,8.5,19.9,338,,336,1874,33,27.1
802.2,2.84,8.1,20.3,340,,346,1920,32,27.1
797.3,2.89,7.7,21.1,342,,356,1970,32,27.1
792.2,2.89,7.2,21.5,342,,366,2023,33,27.1
786.5,2.92,6.7,20.7,342,,376,2082,33,27.1
780.9,2.93,6.3,19.3,344,,386,2141,33,27.1
775.8,2.91,5.9,18.3,348,,396,2195,33,27.1
770.9,2.91,5.4,18.1,351,,406,2246,34,27.1
