
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-09,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a19393

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-10-24,23:14:21

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
310.1,2,350.7,-1.02,356.6,0,ZS,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.016,28.6,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1003.9,1.28,12.9,3.1,147,,0,110,82,25.4
998.8,1.27,11.6,2.7,155,,10,153,78,25.4
993.1,1.33,11.3,3.6,156,,20,200,81,25.4
987.5,1.36,10.8,3.7,160,,30,248,82,25.5
982.2,1.40,10.3,3.4,163,,40,293,85,25.5
976.3,1.43,9.6,3.5,162,,50,343,87,25.5
971.2,1.45,9.3,3.9,164,,60,386,89,25.5
967.5,1.48,9.0,3.8,168,,70,418,90,25.5
962.9,1.48,8.6,3.0,168,,80,458,92,25.5
957.1,1.49,8.1,2.5,164,,90,507,94,25.6
952.6,1.49,7.6,2.6,159,,100,547,96,25.6
947.1,1.48,7.3,3.0,155,,110,594,98,25.6
940.3,1.51,6.8,3.3,154,,120,653,100,25.6
934.3,1.51,6.6,3.2,157,,130,706,100,25.6
930.3,1.57,6.3,3.0,156,,139,741,100,25.6
924.6,1.64,6.0,2.9,149,,149,791,100,25.6
919.6,1.70,5.8,2.6,140,,159,836,100,25.6
915.4,1.76,5.6,1.3,116,,169,874,99,25.6
911.0,1.91,6.1,1.9,331,,179,914,96,25.6
906.6,2.35,8.4,4.4,350,,189,953,95,25.6
902.5,2.80,9.1,6.5,352,,199,990,95,25.6
898.4,3.12,9.1,8.1,353,,209,1028,95,25.6
894.2,3.33,9.3,9.5,354,,219,1067,96,25.6
889.9,3.47,9.7,10.6,353,,229,1107,97,25.6
886.0,3.62,10.0,10.6,351,,239,1143,95,25.6
881.5,3.73,9.9,9.6,349,,249,1186,95,25.7
876.1,3.79,9.6,8.9,346,,259,1236,92,25.7
871.4,3.84,9.6,8.7,342,,268,1282,77,25.7
867.3,3.91,9.8,8.5,336,,278,1321,71,25.7
863.5,3.97,10.2,7.5,327,,288,1358,70,25.7
859.4,4.01,10.2,5.7,321,,298,1398,70,25.7
855.4,4.03,10.0,3.8,317,,308,1436,69,25.8
851.6,4.03,9.9,2.7,311,,318,1474,69,25.8
847.4,4.04,9.6,2.7,302,,328,1514,71,25.8
843.6,4.05,9.4,3.4,301,,338,1552,71,25.8
839.5,4.05,9.1,4.1,306,,348,1592,71,25.8
835.6,4.04,8.7,4.0,319,,358,1630,74,25.9
831.6,4.02,8.4,3.6,338,,368,1670,74,25.9
827.8,4.02,8.1,3.4,346,,378,1708,73,25.9
823.9,3.99,7.8,3.6,334,,388,1747,73,25.9
820.1,4.01,7.4,4.1,321,,398,1786,76,25.9
816.3,4.03,7.1,4.3,319,,408,1824,76,26.0
812.8,4.04,6.9,4.4,322,,417,1858,75,26.0
808.7,4.04,6.7,4.4,324,,428,1900,80,26.0
805.0,4.07,6.4,3.7,317,,438,1938,88,26.0
801.2,4.10,6.3,2.5,294,,448,1977,87,26.0
797.6,4.11,6.2,2.0,250,,458,2014,86,26.1
793.9,4.11,5.9,2.2,228,,468,2052,86,26.1
790.3,4.06,5.8,2.1,217,,478,2089,86,26.1
786.8,4.03,5.7,1.4,194,,488,2125,84,26.1
783.3,4.03,5.5,1.0,150,,498,2162,83,26.2
779.8,4.04,5.3,1.0,105,,508,2199,82,26.2
776.4,4.05,5.0,1.2,82,,518,2235,82,26.2
773.1,4.09,4.8,1.5,87,,528,2270,82,26.2
769.8,4.07,4.5,1.9,104,,538,2305,82,26.2
766.5,4.07,4.3,2.6,120,,548,2340,79,26.3
763.2,4.12,4.2,3.4,126,,558,2374,74,26.3
760.0,4.16,4.1,4.3,123,,568,2409,73,26.3
757.1,4.16,4.1,5.0,115,,577,2440,73,26.3
753.7,4.14,4.1,5.5,106,,587,2476,71,26.3
750.3,4.14,4.0,6.0,96,,597,2513,71,26.4
746.9,4.10,3.8,6.3,84,,607,2550,71,26.4
743.5,4.07,3.5,6.4,73,,617,2587,72,26.4
740.1,4.04,3.2,6.1,66,,627,2624,75,26.4
736.8,4.01,3.1,5.7,71,,637,2660,75,26.4
733.3,4.00,3.0,5.8,85,,647,2700,75,26.4
729.1,3.99,2.8,6.9,95,,657,2746,75,26.5
725.4,4.00,2.5,7.9,94,,667,2787,77,26.5
