
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-09,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a19389

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2007-11-28,01:01:23

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
266.4,2,308.5,-1.02,316,0,DS,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.175,27.9,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1003.0,3.31,24.1,7.2,8,,0,110,60,29.5
998.6,3.34,21.5,9.8,6,,10,148,59,29.4
993.5,3.32,20.9,11.8,6,,20,192,61,29.3
988.7,3.31,20.6,12.3,7,,30,235,62,29.2
984.0,3.37,20.3,12.4,8,,40,276,62,29.1
979.2,3.40,19.8,12.5,7,,50,318,64,29.1
974.9,3.45,19.6,12.8,8,,60,356,63,29.1
970.4,3.53,19.5,13.1,10,,70,395,63,29.1
965.8,3.57,19.0,12.9,10,,80,436,65,29.0
960.3,3.60,18.8,12.9,8,,90,486,65,29.0
954.2,3.63,18.5,13.2,6,,100,541,63,29.0
948.5,3.67,18.1,13.9,7,,110,592,62,29.0
941.2,3.65,17.6,14.4,6,,120,658,62,29.0
935.8,3.75,17.8,14.1,4,,129,707,54,29.0
930.8,3.88,18.4,13.7,3,,139,752,47,29.1
926.3,3.97,18.1,14.1,4,,148,794,47,29.1
920.6,4.01,17.6,14.8,6,,158,848,48,29.1
915.4,4.04,17.1,14.6,7,,168,895,49,29.1
910.4,4.02,16.9,13.7,5,,178,942,48,29.1
905.7,4.07,16.9,13.1,2,,188,986,46,29.1
900.7,4.16,16.7,13.1,1,,198,1034,46,29.1
896.3,4.23,16.4,12.8,1,,207,1076,46,29.1
891.0,4.31,16.2,12.3,250,,217,1125,46,29.1
885.1,4.30,15.9,11.8,353,,227,1181,48,29.1
879.2,4.30,15.5,11.3,347,,237,1239,49,29.1
873.6,4.32,15.2,10.6,342,,247,1293,50,29.1
867.7,4.32,14.9,9.9,336,,257,1350,51,29.1
862.1,4.28,14.3,9.5,332,,267,1405,52,29.1
856.7,4.26,13.9,9.0,332,,277,1458,53,29.1
851.4,4.23,13.5,8.1,333,,287,1511,54,29.1
846.4,4.19,13.1,7.0,331,,297,1559,55,29.1
841.8,4.22,12.8,6.3,325,,307,1605,57,29.1
837.7,4.20,12.5,6.0,319,,316,1647,58,29.0
832.9,4.20,12.2,6.1,311,,326,1695,59,29.0
828.6,4.20,11.9,6.4,302,,336,1738,60,29.0
824.7,4.17,11.6,6.6,294,,346,1778,61,29.0
820.4,4.16,11.2,6.1,289,,356,1821,62,29.0
815.7,4.19,10.9,5.5,283,,366,1869,63,29.0
810.4,4.17,10.7,5.6,276,,376,1923,65,29.0
805.4,4.15,10.5,6.3,268,,386,1975,65,28.9
801.0,4.16,10.1,6.9,260,,396,2021,67,28.9
796.2,4.14,9.8,6.8,253,,406,2071,70,28.9
790.8,4.11,9.3,6.4,251,,416,2127,73,28.9
785.7,4.08,8.8,6.2,252,,426,2181,77,28.9
780.6,4.03,8.3,6.3,251,,436,2234,83,28.9
775.9,3.98,7.8,6.2,247,,446,2285,85,28.9
771.6,3.93,7.4,6.2,243,,455,2331,86,28.9
766.3,3.91,7.1,6.0,237,,465,2388,83,28.9
760.8,3.93,6.9,5.4,234,,475,2448,79,28.9
755.5,3.92,6.4,4.9,234,,485,2505,78,28.9
750.3,3.97,5.9,4.6,232,,495,2562,78,28.8
744.8,3.98,5.4,4.4,230,,505,2621,78,28.8
739.8,3.99,5.1,3.8,230,,515,2676,77,28.8
735.2,4.00,4.8,3.5,230,,525,2728,71,28.8
729.8,3.97,4.3,3.6,223,,535,2788,68,28.8
724.5,3.92,3.8,3.8,218,,545,2847,67,28.7
719.9,3.88,3.4,3.9,219,,555,2899,67,28.7
715.2,3.83,2.9,4.3,218,,565,2952,68,28.7
710.5,3.79,2.4,4.4,218,,575,3005,68,28.7
706.0,3.77,1.9,4.1,224,,585,3056,67,28.7
701.7,3.80,1.5,3.6,235,,595,3107,68,28.7
697.0,3.78,1.1,3.4,247,,605,3160,68,28.7
692.4,3.79,0.8,3.6,255,,615,3213,64,28.6
687.8,3.79,0.5,3.9,257,,625,3267,67,28.6
683.2,3.84,0.2,4.0,258,,635,3321,72,28.6
678.6,3.85,-0.0,3.8,262,,645,3375,66,28.6
674.1,3.83,-0.4,3.6,264,,654,3428,61,28.5
669.0,3.82,-0.9,3.4,262,,665,3489,60,28.5
664.3,3.79,-1.2,3.0,260,,675,3544,59,28.5
659.7,3.80,-1.8,2.8,259,,685,3600,63,28.5
655.1,3.74,-2.3,2.8,258,,695,3656,68,28.4
650.2,3.73,-2.8,3.0,256,,705,3715,69,28.4
645.2,3.68,-3.3,3.4,257,,715,3777,70,28.3
640.3,3.65,-3.6,3.5,259,,725,3837,65,28.3
635.9,3.62,-3.8,3.3,257,,735,3892,52,28.2
631.3,3.62,-4.2,3.3,253,,745,3949,45,28.2
626.5,3.58,-4.8,3.6,250,,754,4008,43,28.2
621.6,3.56,-5.1,4.0,243,,763,4070,37,28.1
616.3,3.53,-5.1,4.1,226,,774,4137,21,28.1
611.8,3.53,-5.5,4.3,210,,784,4196,16,28.1
607.3,3.54,-5.8,4.4,199,,794,4252,14,28.1
603.1,3.60,-6.0,4.5,192,,804,4308,13,28.1
598.7,3.68,-6.2,4.6,189,,814,4364,13,28.1
594.7,3.72,-6.5,4.8,190,,824,4417,13,28.1
590.6,3.73,-7.0,5.0,190,,834,4471,13,28.0
586.5,3.73,-7.5,5.0,189,,844,4525,14,28.0
582.4,3.71,-8.0,5.1,190,,854,4580,14,28.0
578.3,3.65,-8.5,5.2,190,,864,4635,13,28.0
574.4,3.57,-9.0,4.9,185,,874,4688,13,28.0
570.5,3.52,-9.4,4.4,182,,883,4739,13,28.0
566.2,3.45,-9.7,4.0,189,,894,4798,14,28.0
562.0,3.39,-9.9,4.0,198,,904,4855,14,28.0
557.4,3.34,-10.2,3.8,207,,914,4918,13,27.9
552.7,3.38,-10.5,3.2,220,,924,4983,12,27.9
548.1,3.45,-10.8,2.7,235,,934,5048,12,27.9
543.8,3.50,-11.2,2.7,248,,944,5108,12,27.8
540.0,3.52,-11.5,3.2,256,,953,5162,13,27.8
