
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-24,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a20003

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-02-21,00:28:51

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
151.3,2,255.4,-1.00,254.5,0,DS,Dobson (Beck),105

* Note early burst 17.7 hPa

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.092,28.1,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
999.9,1.49,19.6,1.0,192,,0,110,62,30.2
993.2,1.54,17.8,0.8,143,,10,168,65,30.2
986.2,1.58,16.9,1.5,146,,20,228,68,30.2
979.8,1.60,16.3,1.6,131,,30,284,69,30.3
973.1,1.61,15.5,1.5,122,,40,342,71,30.3
966.7,1.60,15.0,1.8,128,,50,398,75,30.3
961.3,1.62,14.5,2.3,128,,59,444,75,30.3
954.2,1.65,13.8,2.2,121,,69,507,77,30.3
947.5,1.67,13.4,1.7,109,,79,568,78,30.3
939.9,1.66,12.8,1.1,81,,89,635,82,30.3
931.9,1.67,12.1,1.2,64,,99,706,84,30.3
923.9,1.67,11.5,1.7,82,,109,779,89,30.3
916.3,1.64,10.8,2.2,99,,119,847,93,30.3
911.2,1.62,10.4,2.3,102,,128,894,94,30.3
906.3,1.79,12.8,2.1,93,,138,940,84,30.2
901.8,2.26,14.5,2.2,77,,148,982,74,30.1
897.6,2.65,14.8,3.2,70,,158,1022,69,30.2
894.0,2.90,14.9,4.0,74,,168,1055,67,30.2
890.6,3.03,15.0,4.2,85,,178,1088,64,30.3
887.0,3.10,15.1,4.1,93,,188,1122,63,30.3
883.3,3.14,14.9,4.0,91,,198,1157,61,30.3
879.5,3.12,14.5,3.8,91,,208,1194,61,30.3
875.3,3.09,14.2,3.6,96,,218,1234,62,30.3
870.4,3.05,13.8,3.4,100,,228,1282,63,30.3
865.6,3.03,13.6,3.3,97,,238,1328,64,30.3
861.0,3.01,13.2,3.4,89,,248,1373,64,30.3
855.9,2.99,12.8,3.4,84,,258,1423,66,30.3
851.7,3.00,12.5,3.1,78,,267,1464,68,30.3
847.1,3.00,12.0,2.8,67,,277,1510,73,30.3
842.5,2.98,11.6,2.8,57,,287,1556,74,30.3
837.9,2.92,11.3,2.9,52,,297,1602,75,30.3
833.1,2.84,11.0,2.8,48,,307,1650,78,30.3
827.9,2.76,10.5,2.7,39,,317,1702,82,30.3
822.5,2.67,10.1,2.7,28,,327,1757,83,30.3
817.9,2.63,9.9,2.8,18,,337,1804,80,30.3
813.8,2.58,9.7,2.9,11,,346,1845,80,30.3
809.1,2.57,9.3,3.1,8,,356,1892,82,30.3
804.6,2.54,8.9,3.4,8,,366,1939,84,30.3
799.9,2.50,8.5,3.9,8,,376,1989,84,30.3
794.8,2.51,8.1,4.3,5,,386,2041,85,30.3
789.4,2.52,7.6,4.5,217,,396,2097,85,30.3
784.0,2.52,7.3,4.6,356,,406,2154,79,30.3
778.9,2.49,7.2,4.2,354,,416,2208,70,30.2
773.9,2.47,6.9,3.5,145,,426,2261,65,30.2
769.0,2.47,6.5,2.9,15,,436,2314,60,30.2
764.1,2.48,6.1,2.5,23,,446,2365,57,30.2
759.6,2.49,5.7,2.2,28,,456,2414,58,30.2
754.9,2.49,5.6,2.1,52,,466,2464,51,30.2
749.6,2.59,6.2,2.9,94,,477,2522,25,30.1
745.6,2.74,6.8,3.9,122,,486,2565,9,30.1
741.1,2.83,7.2,4.9,138,,496,2614,2,30.1
736.9,2.76,7.2,5.3,142,,506,2662,1,30.1
732.4,2.58,6.9,5.1,143,,516,2713,3,30.1
727.3,2.36,6.4,4.7,149,,526,2769,4,30.0
722.5,2.23,6.0,4.4,163,,536,2823,4,30.0
717.6,2.17,5.6,4.2,175,,546,2880,4,30.0
712.4,2.16,5.2,4.1,185,,556,2938,5,30.0
707.3,2.14,4.8,4.6,194,,566,2996,5,30.0
703.2,2.10,4.4,5.4,201,,575,3044,5,29.9
698.8,2.06,3.9,6.2,208,,585,3096,5,29.9
694.2,2.11,3.6,6.7,213,,595,3149,5,29.9
689.2,2.17,3.2,7.0,216,,605,3208,5,29.9
684.0,2.19,2.9,7.2,217,,615,3270,4,29.9
679.2,2.18,2.5,7.4,217,,625,3326,4,29.8
674.8,2.16,2.1,7.8,217,,635,3377,4,29.8
670.4,2.14,1.8,8.1,218,,645,3430,4,29.8
665.9,2.13,1.4,8.3,219,,655,3485,4,29.8
661.4,2.19,1.1,8.0,220,,665,3540,4,29.8
657.2,2.32,0.8,7.8,221,,674,3591,4,29.8
652.3,2.28,0.3,8.2,222,,684,3650,4,29.8
647.5,2.23,-0.2,8.8,223,,694,3709,4,29.6
643.2,2.23,-0.5,8.9,226,,704,3763,4,29.6
639.4,2.24,-0.8,8.8,228,,713,3810,4,29.6
634.8,2.23,-1.2,8.8,231,,723,3868,4,29.6
630.0,2.19,-1.6,9.1,230,,733,3927,4,29.6
625.1,2.15,-2.0,9.3,229,,743,3990,5,29.6
620.5,2.10,-2.4,9.2,228,,753,4049,6,29.5
615.7,2.03,-2.8,9.0,227,,763,4111,6,29.5
610.8,1.97,-3.3,8.7,227,,773,4172,6,29.5
606.1,1.89,-3.7,8.2,229,,783,4234,6,29.4
601.8,1.83,-4.1,7.9,230,,793,4290,5,29.4
597.1,1.78,-4.6,8.1,228,,803,4352,5,29.4
592.7,1.73,-5.0,8.6,227,,813,4410,5,29.4
588.4,1.71,-5.5,9.0,231,,823,4468,5,29.3
583.7,1.73,-6.0,9.2,234,,833,4530,5,29.3
579.4,1.77,-6.5,9.2,236,,843,4587,5,29.2
575.1,1.86,-6.9,8.9,237,,853,4645,4,29.2
570.9,1.97,-7.3,8.4,242,,863,4703,4,29.2
566.5,2.02,-7.6,8.1,250,,873,4763,3,29.2
562.7,1.92,-7.8,8.3,255,,882,4815,3,29.1
558.3,1.80,-8.2,8.6,259,,892,4876,3,29.1
553.9,1.73,-8.6,8.4,259,,902,4938,3,29.0
549.5,1.67,-9.1,7.7,259,,912,4999,3,29.0
545.1,1.64,-9.6,7.0,259,,922,5062,3,29.0
541.1,1.63,-10.0,6.9,263,,932,5117,3,28.9
537.0,1.63,-10.5,7.3,264,,942,5177,3,28.9
532.8,1.62,-11.0,7.8,259,,952,5238,3,28.8
529.0,1.61,-11.5,8.0,254,,961,5292,3,28.8
525.2,1.61,-11.9,8.4,250,,971,5346,3,28.8
521.5,1.58,-12.3,8.7,250,,981,5401,3,28.8
517.8,1.58,-12.8,9.1,250,,991,5456,3,28.7
513.7,1.55,-13.3,9.6,249,,1001,5516,2,28.7
509.4,1.57,-13.8,10.2,244,,1011,5579,1,28.7
505.3,1.65,-14.2,10.9,238,,1021,5641,1,28.6
