
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-24,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6A22029

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-08-21,02:19:07

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
3.9,2,27.2

* Extremely early burst 835 hPa

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.025,28.1,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1005.3,0.67,7.6,2.1,303,,0,110,93,28.8
1000.6,0.70,7.2,2.5,287,,9,148,92,28.8
994.8,0.91,6.8,3.3,277,,19,197,92,28.8
989.3,1.03,6.3,4.2,263,,29,241,95,28.8
984.7,1.11,5.9,5.4,254,,39,280,96,28.9
980.4,1.38,5.8,6.2,253,,49,315,93,28.9
975.7,1.80,5.4,6.8,253,,59,355,93,28.9
971.2,2.11,5.0,7.0,249,,68,393,94,28.9
966.5,2.31,4.7,7.2,240,,78,432,95,28.9
962.6,2.53,4.5,7.1,231,,88,466,93,29.0
958.7,2.71,4.2,7.1,226,,98,498,93,29.0
954.9,2.85,3.9,7.2,223,,108,531,93,29.0
951.3,2.99,3.7,7.1,222,,118,562,88,29.0
947.7,3.10,3.4,6.7,221,,128,592,87,29.0
944.3,3.18,3.2,6.0,222,,138,622,88,29.1
940.8,3.23,2.9,5.2,227,,148,652,89,29.1
937.2,3.26,2.6,5.0,236,,158,682,90,29.1
933.5,3.28,2.3,5.5,242,,168,715,92,29.1
929.9,3.29,2.0,6.5,243,,178,746,93,29.1
926.6,3.29,1.7,7.3,239,,188,775,94,29.1
923.5,3.30,1.5,7.7,231,,198,802,93,29.1
920.4,3.29,1.3,7.8,225,,208,828,94,29.1
917.6,3.26,1.1,7.8,222,,218,854,95,29.1
914.8,3.21,1.0,8.0,222,,228,878,96,29.1
912.1,3.16,0.9,8.0,223,,238,902,96,29.1
909.4,3.13,0.7,8.1,221,,248,925,96,29.1
906.8,3.09,0.6,8.0,220,,258,948,97,29.1
904.5,3.05,0.5,7.8,221,,268,969,97,29.1
902.2,3.00,0.4,7.2,224,,278,989,97,29.1
900.2,2.99,0.4,6.8,226,,288,1007,97,29.1
898.4,3.03,0.3,6.9,224,,298,1023,97,29.1
896.4,3.08,0.3,7.3,220,,308,1041,98,29.1
894.6,3.14,0.3,7.6,218,,318,1057,98,29.1
893.1,3.17,0.3,7.4,219,,327,1070,98,29.0
891.3,3.19,0.3,6.8,222,,337,1086,96,29.0
889.5,3.20,0.3,6.3,223,,347,1103,96,29.0
887.7,3.21,0.3,6.3,223,,357,1119,97,29.0
886.0,3.22,0.2,6.4,223,,367,1134,97,29.0
884.5,3.22,0.1,6.3,221,,376,1148,97,29.0
882.9,3.23,0.1,6.0,217,,386,1163,96,29.0
881.1,3.22,-0.0,5.8,214,,396,1179,96,29.0
879.3,3.22,-0.1,5.8,212,,406,1195,97,29.0
877.5,3.21,-0.1,5.9,210,,416,1212,97,29.0
875.6,3.21,-0.2,6.1,206,,426,1229,97,29.0
873.8,3.20,-0.3,6.3,203,,436,1245,97,29.0
872.0,3.19,-0.4,6.3,203,,446,1262,95,29.0
870.0,3.18,-0.5,6.1,205,,456,1280,95,29.0
868.1,3.18,-0.7,6.0,207,,466,1298,96,29.0
866.3,3.17,-0.8,6.1,206,,476,1315,96,29.0
864.5,3.16,-0.9,6.3,205,,486,1331,96,29.0
862.7,3.15,-1.0,6.5,206,,496,1348,94,29.0
861.0,3.14,-1.1,6.8,210,,506,1363,94,29.0
859.4,3.11,-1.2,7.1,213,,516,1378,94,29.0
857.7,3.09,-1.3,7.3,214,,526,1394,93,29.0
856.1,3.06,-1.4,7.4,215,,536,1409,93,28.9
854.6,3.04,-1.4,7.5,214,,546,1423,93,29.0
853.1,3.04,-1.5,7.7,214,,556,1437,91,28.9
851.6,3.03,-1.6,7.6,213,,566,1451,91,28.9
850.1,3.02,-1.7,7.4,212,,576,1465,92,28.9
848.7,3.02,-1.8,7.2,212,,586,1479,93,28.9
847.2,3.01,-1.9,7.3,212,,596,1492,93,28.9
845.8,3.00,-1.9,7.5,212,,606,1505,90,28.9
844.5,3.00,-2.0,7.6,211,,616,1517,90,28.9
843.1,2.99,-2.1,7.7,209,,626,1531,91,28.9
841.7,2.98,-2.1,7.9,207,,636,1544,92,28.9
840.4,2.97,-2.2,8.2,205,,646,1557,92,28.9
839.2,2.97,-2.3,8.3,205,,656,1568,92,28.9
838.1,2.97,-2.4,8.2,205,,666,1578,91,28.9
836.9,2.96,-2.4,8.0,206,,676,1590,91,28.9
835.8,2.95,-2.5,7.9,205,,685,1600,92,29.0
