
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-24,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a22030

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-09-10,02:58:09

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
316.0,2,353.0,-0.98,346.2,0,DS,Dobson (Beck),115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.030,27.3,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1006.0,2.62,15.0,1.5,287,,0,110,45,27.4
1001.7,2.68,14.1,2.1,321,,10,146,45,27.4
996.3,2.69,13.6,2.6,316,,20,192,46,27.4
991.3,2.70,13.1,2.4,313,,30,234,47,27.4
987.2,2.75,12.5,2.0,314,,40,269,49,27.4
983.4,2.78,12.1,2.0,331,,50,301,51,27.5
979.2,2.80,11.8,2.8,338,,60,337,50,27.5
975.3,2.81,11.5,3.2,337,,70,370,51,27.5
970.7,2.80,11.1,3.1,340,,80,410,54,27.5
966.4,2.78,10.6,2.8,343,,90,447,54,27.5
962.5,2.78,10.4,2.5,349,,100,480,54,27.5
958.7,2.79,10.1,2.9,357,,110,513,54,27.5
955.8,2.81,9.9,3.4,351,,120,538,54,27.5
951.9,2.83,9.6,3.1,339,,130,573,54,27.5
947.9,2.82,9.3,2.4,330,,140,607,56,27.5
944.6,2.84,9.0,2.1,326,,150,637,56,27.5
941.6,2.89,8.8,1.8,325,,160,663,57,27.5
938.4,2.89,8.6,1.4,336,,170,691,56,27.5
935.0,2.89,8.3,1.7,351,,180,721,57,27.5
931.8,2.89,8.0,2.1,352,,189,748,57,27.4
927.4,2.90,7.7,2.4,351,,199,788,57,27.4
923.4,2.92,7.3,2.6,340,,209,824,58,27.4
918.4,2.91,6.9,2.9,323,,219,868,58,27.4
913.5,2.91,6.6,3.3,306,,229,911,58,27.4
909.2,2.90,6.4,3.8,297,,238,950,55,27.4
903.5,2.99,7.1,4.6,294,,250,1003,36,27.3
899.5,3.11,6.9,5.1,295,,259,1039,34,27.3
895.3,3.22,6.5,5.2,295,,269,1077,34,27.3
891.1,3.30,6.2,4.6,299,,279,1115,34,27.3
887.1,3.32,5.9,4.1,313,,289,1152,35,27.3
883.1,3.34,5.6,4.4,323,,299,1189,35,27.3
879.1,3.38,5.4,5.0,324,,309,1226,33,27.3
875.2,3.38,5.1,5.9,321,,319,1263,33,27.3
871.1,3.38,5.0,6.7,312,,329,1300,34,27.3
