
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-10-24,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6A22034

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-10-08,01:16:17

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
313.2,2,370.7,-0.94,347,0,DS,Dobson (Beck),115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.023,27.9,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1009.3,2.62,12.0,3.1,273,,0,110,52,30.0
1004.4,2.80,10.6,1.9,306,,10,150,58,30.0
998.0,2.77,10.1,2.7,299,,20,204,60,30.0
992.1,2.75,9.6,2.5,282,,30,253,61,30.0
986.4,2.73,9.1,2.6,254,,40,301,63,30.0
980.6,2.72,8.6,3.8,239,,50,349,65,30.0
974.7,2.69,8.3,5.1,237,,60,399,66,30.0
969.3,2.65,7.6,6.1,238,,70,446,67,30.0
963.6,2.64,7.1,6.6,240,,80,494,69,29.9
958.2,2.60,6.8,6.5,244,,90,540,71,29.9
953.4,2.52,6.4,5.9,249,,100,582,73,29.9
949.3,2.51,6.1,5.4,246,,110,616,75,29.9
946.0,2.53,5.8,5.6,238,,120,645,76,29.9
942.3,2.53,5.5,5.6,238,,130,678,76,29.9
938.2,2.53,5.1,4.6,241,,140,713,78,29.9
934.3,2.54,4.9,3.7,234,,150,747,78,29.8
929.6,2.56,4.5,3.9,230,,160,788,78,29.8
923.9,2.56,4.1,4.1,239,,170,838,79,29.8
918.1,2.58,3.5,4.2,248,,180,889,80,29.8
913.2,2.61,3.1,5.1,248,,190,933,84,29.7
908.4,2.61,2.6,5.9,249,,200,975,86,29.7
904.2,2.61,2.3,5.9,249,,210,1013,87,29.6
900.1,2.64,2.1,6.2,248,,220,1050,87,29.6
894.6,2.65,1.6,7.3,247,,230,1099,90,29.6
889.6,2.65,1.2,8.1,249,,239,1144,90,29.5
884.9,2.66,0.8,8.2,255,,249,1186,91,29.5
880.4,2.68,0.7,7.7,265,,259,1227,86,29.5
875.2,2.70,0.3,7.1,275,,269,1275,87,29.4
870.7,2.72,-0.1,6.5,278,,279,1316,87,29.4
866.2,2.72,-0.5,5.6,272,,289,1358,87,29.4
861.7,2.72,-0.8,5.4,258,,299,1399,88,29.3
857.3,2.72,-1.2,6.3,255,,309,1440,89,29.3
853.0,2.73,-1.6,6.9,259,,318,1481,92,29.3
848.3,2.72,-1.8,7.1,262,,328,1525,93,29.3
842.8,2.70,-2.1,7.2,261,,338,1576,94,29.2
837.9,2.68,-2.4,7.6,259,,348,1622,94,29.2
832.7,2.64,-2.8,8.6,254,,358,1672,94,29.1
828.9,2.63,-2.9,10.1,248,,366,1708,93,29.1
824.1,2.66,-1.9,11.7,242,,375,1754,61,29.1
819.7,2.77,-0.4,12.4,239,,383,1797,22,29.0
815.7,2.83,0.5,12.0,236,,392,1837,7,29.0
812.1,2.87,1.5,11.2,234,,402,1872,3,29.0
808.4,2.95,2.3,10.8,234,,412,1908,2,28.9
804.6,3.02,2.6,10.6,234,,422,1947,2,28.9
800.4,3.06,2.4,10.8,236,,432,1988,2,28.9
796.5,3.08,2.0,11.4,240,,441,2027,2,28.9
792.7,3.05,2.0,12.4,243,,451,2067,2,28.9
788.6,3.02,2.0,13.0,246,,461,2108,2,28.8
784.5,2.97,1.7,13.6,245,,471,2150,2,28.8
780.3,2.93,1.3,14.5,242,,481,2194,2,28.8
776.0,2.90,1.0,15.4,241,,491,2238,2,28.8
771.8,2.89,0.7,15.8,241,,501,2282,2,28.8
767.4,2.89,0.3,16.0,241,,511,2327,2,28.8
763.1,2.90,0.0,16.1,241,,521,2372,2,28.7
758.9,2.89,-0.2,15.6,241,,531,2417,2,28.7
754.5,2.87,-0.5,15.2,242,,541,2463,2,28.7
750.7,2.86,-0.8,14.9,242,,550,2503,2,28.7
746.8,2.88,-1.0,15.0,243,,560,2545,2,28.7
742.7,2.90,-1.4,14.7,243,,570,2588,2,28.7
738.6,2.88,-1.8,14.0,242,,580,2632,2,28.7
734.5,2.86,-2.1,13.4,238,,590,2677,2,28.7
730.5,2.85,-2.4,13.2,236,,600,2720,2,28.7
726.3,2.81,-2.8,13.4,235,,610,2766,1,28.7
721.9,2.76,-3.1,13.5,236,,620,2813,1,28.6
717.5,2.72,-3.5,13.7,234,,630,2862,1,28.6
713.8,2.68,-3.9,13.9,233,,640,2903,1,28.6
709.9,2.66,-4.1,13.9,234,,650,2946,1,28.6
706.1,2.64,-4.4,13.6,237,,660,2988,1,28.6
702.4,2.64,-4.8,13.2,239,,670,3030,1,28.6
698.5,2.64,-5.0,12.8,239,,680,3073,1,28.6
694.7,2.66,-5.4,12.8,235,,690,3116,2,28.6
690.8,2.67,-5.8,13.1,230,,700,3160,2,28.6
687.2,2.70,-6.0,13.2,230,,710,3202,2,28.6
683.5,2.82,-6.4,12.8,233,,720,3243,4,28.6
679.9,2.95,-6.6,12.4,236,,730,3284,4,28.5
676.3,2.93,-6.9,12.4,237,,740,3326,3,28.5
672.6,2.91,-7.0,12.5,238,,750,3368,2,28.5
669.0,2.88,-7.1,12.1,241,,760,3411,3,28.5
665.8,2.89,-7.4,11.8,244,,769,3447,3,28.5
662.0,2.93,-7.8,12.0,245,,779,3492,4,28.5
658.4,2.95,-8.2,13.0,242,,789,3533,5,28.5
654.9,2.98,-8.6,14.2,240,,799,3575,5,28.4
651.5,2.98,-8.9,15.1,240,,809,3616,5,28.4
648.0,2.97,-9.2,15.8,244,,819,3657,5,28.4
644.6,2.99,-9.3,16.5,249,,829,3698,5,28.4
641.1,3.08,-9.4,16.9,253,,839,3740,5,28.4
637.7,3.13,-9.7,16.6,256,,849,3781,5,28.3
634.3,3.16,-10.0,15.9,257,,859,3821,5,28.3
631.3,3.16,-10.3,14.8,257,,868,3858,5,28.3
627.9,3.16,-10.7,14.2,253,,878,3901,5,28.3
624.5,3.12,-10.9,14.9,247,,888,3942,4,28.3
621.1,2.97,-11.2,16.5,244,,898,3984,4,28.3
617.7,2.87,-11.5,17.7,244,,908,4026,4,28.2
614.3,2.78,-11.8,18.1,243,,918,4068,4,28.2
610.8,2.83,-12.1,18.2,243,,928,4113,4,28.2
607.3,2.98,-12.4,18.2,246,,938,4156,4,28.2
603.9,3.17,-12.7,18.2,251,,948,4199,5,28.1
600.5,3.29,-13.0,18.0,254,,958,4242,5,28.1
597.1,3.35,-13.4,17.4,255,,968,4286,5,28.1
593.6,3.35,-13.7,16.5,255,,978,4330,3,28.1
590.1,3.30,-14.0,15.3,252,,988,4375,3,28.0
586.7,3.26,-14.4,14.2,247,,998,4419,4,28.0
583.3,3.22,-14.8,14.0,242,,1008,4463,4,28.0
579.8,3.17,-15.3,15.0,239,,1018,4508,4,28.0
576.4,3.05,-15.7,16.6,239,,1028,4553,4,28.0
572.9,2.84,-16.0,18.0,241,,1038,4598,4,27.9
569.6,2.66,-16.3,18.6,242,,1048,4643,4,27.9
566.2,2.58,-16.6,18.5,242,,1058,4687,4,27.9
562.3,2.54,-17.0,17.8,239,,1068,4739,4,27.9
558.6,2.62,-17.3,16.9,236,,1078,4788,4,27.8
555.0,2.70,-17.6,16.0,235,,1088,4836,4,27.8
551.7,2.74,-18.0,15.4,235,,1098,4881,4,27.8
548.0,2.74,-18.4,15.3,235,,1108,4932,4,27.8
544.2,2.71,-18.8,15.8,237,,1118,4982,4,27.7
540.5,2.63,-19.2,16.8,241,,1128,5032,4,27.7
537.0,2.60,-19.6,17.9,243,,1138,5081,4,27.6
533.7,2.51,-20.0,18.5,244,,1148,5128,4,27.6
530.2,2.43,-20.4,18.4,246,,1158,5177,4,27.6
526.9,2.35,-20.8,17.6,246,,1168,5223,3,27.5
523.8,2.30,-21.1,16.8,244,,1177,5266,3,27.5
520.3,2.32,-21.1,16.6,244,,1187,5316,4,27.5
517.0,2.57,-20.9,17.2,244,,1197,5362,4,27.4
513.3,2.76,-20.5,18.2,241,,1207,5416,2,27.4
509.4,2.77,-20.5,18.9,238,,1217,5471,2,27.4
506.2,2.74,-20.7,18.8,237,,1227,5518,2,27.3
