
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-02-25,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a19391

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-12-12,01:04:29

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
213.6,2,248.5,-1.05,261,0,ZS,Dobson (Beck),115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.025,27.8,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
993.6,1.62,20.4,6.2,11,,0,110,60,33.7
989.5,1.70,19.3,6.9,358,,10,146,67,33.7
985.1,1.79,18.6,8.6,356,,20,184,69,33.7
981.1,1.85,18.3,8.6,356,,30,219,70,33.7
975.4,1.87,17.9,8.3,1,,40,269,71,33.8
968.4,1.87,17.3,8.4,6,,50,331,74,33.8
961.7,1.85,16.6,8.4,8,,60,390,76,33.8
955.3,1.86,16.1,8.6,8,,70,446,78,33.8
949.1,1.86,15.6,8.7,8,,79,501,79,33.8
942.8,1.88,15.0,8.5,6,,89,558,82,33.8
936.1,1.88,14.4,8.3,1,,99,618,85,33.7
929.8,1.90,13.9,8.7,324,,109,676,86,33.8
924.4,1.92,13.4,9.4,41,,119,725,88,33.8
919.2,1.95,12.9,10.1,11,,129,773,91,33.8
914.1,1.96,12.5,10.1,14,,139,820,92,33.8
909.8,1.96,12.1,9.4,12,,148,859,94,33.8
904.9,2.16,12.5,8.9,290,,158,904,93,33.8
900.1,2.50,12.6,9.4,349,,168,949,92,33.8
895.7,2.81,13.0,10.3,343,,178,990,83,33.9
891.3,3.06,13.2,10.7,342,,188,1032,77,33.9
887.0,3.20,13.1,10.3,343,,198,1073,74,33.9
