
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-02-23,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6A21857

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2009-03-04,01:12:13

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
241.7,2,277.8,-0.94,260,0,ZB,Dobson (Beck),115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.022,28.7,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
999.4,1.75,17.5,6.7,307,,0,110,38,32.5
994.0,1.79,16.0,8.8,311,,10,156,44,32.5
986.3,1.77,15.3,11.4,311,,20,222,46,32.5
982.9,1.80,14.6,12.0,307,,30,251,47,32.5
981.3,1.84,14.3,12.0,304,,40,265,48,32.4
979.8,1.87,14.3,11.7,303,,50,277,49,32.4
979.0,1.86,14.4,11.2,300,,60,285,50,32.4
977.5,1.86,14.1,11.6,296,,70,298,50,32.3
975.3,1.85,14.1,12.7,295,,80,317,49,32.3
973.5,1.86,13.6,13.5,295,,90,332,50,32.3
971.1,1.88,13.5,13.4,295,,99,352,50,32.3
967.0,1.88,13.2,12.9,295,,109,388,50,32.2
963.4,1.90,12.8,12.2,296,,119,419,51,32.2
959.0,1.88,12.5,12.2,299,,129,458,52,32.2
955.8,1.87,12.1,12.7,300,,139,486,54,32.1
952.4,1.86,11.9,13.1,300,,149,516,55,32.1
949.6,1.86,11.7,12.7,300,,159,541,55,32.0
946.0,1.87,11.4,12.3,303,,169,572,55,32.0
941.6,1.88,11.0,12.7,304,,179,611,56,31.9
937.6,1.87,10.6,13.0,302,,189,646,57,31.8
933.2,1.85,10.2,12.8,299,,199,686,60,31.8
928.3,1.82,9.7,12.4,297,,209,730,62,31.7
923.0,1.80,9.3,12.5,297,,219,777,63,31.7
916.7,1.82,8.8,12.9,296,,229,834,64,31.6
910.9,1.82,8.3,13.2,296,,239,886,66,31.6
905.6,1.80,7.9,12.5,296,,249,934,67,31.5
900.3,1.79,7.4,11.4,296,,258,983,68,31.5
893.7,1.79,6.9,10.7,294,,268,1043,69,31.4
886.8,1.77,6.3,10.7,294,,278,1108,70,31.4
879.6,1.76,5.5,11.0,292,,288,1173,75,31.3
873.1,1.74,5.0,12.1,286,,298,1235,77,31.3
867.5,1.77,4.5,13.8,281,,308,1287,78,31.2
861.5,1.76,4.2,15.4,279,,318,1344,76,31.1
855.9,1.76,3.8,16.5,277,,328,1397,77,31.0
850.4,1.73,3.3,17.3,275,,338,1449,78,31.0
844.5,1.73,2.9,17.9,273,,348,1505,79,30.9
838.4,1.71,2.4,18.2,273,,358,1564,81,30.8
832.7,1.71,1.9,18.4,273,,368,1619,84,30.8
827.1,1.70,1.4,18.4,274,,378,1674,86,30.7
821.6,1.68,0.9,18.3,272,,388,1728,88,30.6
816.3,1.67,0.4,18.6,269,,398,1779,89,30.5
811.0,1.64,0.0,19.1,267,,408,1831,91,30.4
805.6,1.63,-0.4,19.4,267,,418,1885,93,30.3
800.3,1.62,-1.0,19.3,267,,428,1939,97,30.3
795.2,1.60,-1.4,19.3,267,,438,1989,98,30.2
789.6,1.62,-1.8,19.4,267,,448,2045,99,30.1
784.2,1.65,-2.1,19.6,269,,458,2101,99,30.0
778.9,1.62,-2.5,19.9,270,,468,2154,99,30.0
773.5,1.61,-2.8,20.1,269,,478,2209,99,29.9
767.8,1.57,-3.1,19.9,267,,488,2268,98,29.8
761.8,1.55,-3.5,19.9,267,,498,2329,98,29.7
756.2,1.54,-3.9,20.5,267,,508,2388,96,29.6
750.6,1.54,-4.2,21.4,267,,518,2447,95,29.6
745.8,1.53,-4.6,22.3,266,,528,2498,93,29.5
741.4,1.50,-4.9,23.0,264,,537,2544,93,29.4
736.5,1.49,-5.2,23.5,264,,547,2596,93,29.4
731.9,1.50,-5.4,23.6,264,,557,2645,93,29.3
727.4,1.48,-5.6,23.2,264,,566,2693,91,29.2
722.5,1.48,-5.7,22.5,264,,576,2747,90,29.1
717.8,1.47,-5.9,21.8,265,,586,2798,90,29.0
713.0,1.46,-6.1,21.8,266,,596,2850,90,29.0
708.5,1.45,-6.4,22.1,266,,606,2900,90,28.9
703.9,1.44,-6.8,22.3,264,,616,2950,90,28.9
698.9,1.44,-7.0,22.1,263,,626,3007,91,28.8
694.6,1.47,-7.1,22.1,263,,635,3055,86,28.8
690.1,1.52,-7.0,22.8,263,,645,3106,77,28.7
685.4,1.53,-6.9,23.9,262,,655,3159,76,28.7
681.2,1.50,-6.6,25.2,261,,665,3207,78,28.6
677.6,1.48,-6.0,26.3,260,,674,3248,73,28.5
673.6,1.45,-5.4,27.0,260,,684,3295,68,28.5
669.2,1.45,-5.5,27.0,260,,694,3346,65,28.4
664.6,1.44,-5.3,26.7,262,,704,3401,61,28.4
659.7,1.44,-5.3,26.4,264,,714,3458,57,28.3
654.8,1.45,-5.3,26.3,265,,724,3517,55,28.3
649.9,1.43,-5.2,26.4,266,,734,3576,50,28.2
644.7,1.44,-5.5,26.1,266,,744,3639,48,28.2
