
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-04-28,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a23535

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-03-05,02:10:41

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
234.4,2,274.1,-0.96,262.5,0,ZS,Dobson (Beck),115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.022,28.0,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
993.0,1.23,23.0,3.1,29,,0,110,76,30.4
986.7,1.32,21.8,2.0,46,,10,166,77,30.4
979.5,1.38,21.1,3.3,40,,20,229,80,30.4
973.2,1.45,20.4,4.5,39,,30,285,83,30.5
968.7,1.62,20.0,5.3,44,,40,325,81,30.5
964.4,1.87,19.6,5.4,51,,50,364,82,30.5
959.9,1.96,19.1,5.6,58,,60,404,87,30.5
955.6,2.09,19.0,6.3,57,,70,442,83,30.5
952.0,2.21,18.8,7.1,49,,79,475,83,30.5
947.9,2.29,18.5,7.7,43,,89,512,83,30.5
944.3,2.34,18.1,8.2,41,,99,545,85,30.6
940.9,2.36,17.8,8.4,36,,109,575,86,30.6
937.5,2.36,17.8,8.3,27,,119,605,87,30.6
934.0,2.34,17.6,8.0,19,,129,638,87,30.6
928.9,2.32,17.4,8.0,18,,139,686,87,30.6
923.0,2.31,17.0,9.0,18,,149,740,88,30.6
917.2,2.31,16.7,10.9,16,,159,794,89,30.6
912.6,2.33,16.4,12.5,12,,169,836,89,30.7
908.8,2.35,16.2,13.1,8,,179,873,89,30.7
905.2,2.34,15.9,13.9,8,,189,906,90,30.7
900.6,2.30,15.6,15.2,9,,199,949,92,30.7
895.4,2.29,15.6,15.9,10,,209,999,93,30.7
891.4,2.29,15.3,15.5,9,,218,1037,93,30.7
887.1,2.29,15.0,14.3,6,,228,1078,94,30.7
883.0,2.30,15.0,13.0,288,,238,1117,95,30.7
879.0,2.33,14.9,12.5,353,,248,1156,95,30.7
875.0,2.37,14.7,12.6,348,,258,1195,95,30.7
871.1,2.40,14.5,13.1,344,,268,1233,95,30.7
867.4,2.42,14.5,13.5,343,,278,1269,94,30.7
863.7,2.44,14.5,13.9,342,,288,1305,91,30.7
859.9,2.44,14.7,14.1,342,,298,1342,87,30.7
856.2,2.38,14.9,13.9,342,,308,1379,84,30.7
852.5,2.38,15.0,13.5,340,,318,1416,82,30.7
848.7,2.38,14.8,12.8,337,,328,1453,80,30.7
844.8,2.34,14.5,11.8,336,,338,1493,80,30.7
840.9,2.32,14.5,11.2,336,,348,1532,79,30.7
837.0,2.31,14.3,11.4,337,,358,1572,79,30.7
833.2,2.29,14.1,11.9,338,,368,1611,79,30.7
829.3,2.28,13.8,12.2,339,,378,1650,79,30.7
825.4,2.26,13.5,12.3,341,,388,1690,79,30.7
821.6,2.25,13.5,12.5,345,,398,1728,77,30.7
817.8,2.25,13.3,12.5,351,,408,1768,76,30.7
814.3,2.24,13.0,11.9,356,,417,1804,76,30.7
810.4,2.24,12.7,11.1,108,,427,1844,77,30.7
806.5,2.26,12.4,10.6,2,,437,1885,77,30.7
802.5,2.28,12.1,10.5,3,,447,1926,78,30.7
798.6,2.30,11.8,10.8,4,,457,1967,79,30.8
794.7,2.29,11.6,11.1,5,,467,2008,78,30.7
790.8,2.27,11.3,11.0,6,,477,2049,78,30.7
786.9,2.26,11.0,10.3,5,,487,2090,79,30.7
783.2,2.24,10.8,9.8,4,,497,2130,79,30.8
779.6,2.23,10.5,9.8,4,,507,2169,78,30.7
775.8,2.24,10.2,10.3,5,,517,2209,79,30.8
772.5,2.25,10.0,10.8,6,,526,2245,79,30.7
768.8,2.23,9.7,10.9,6,,536,2285,79,30.7
765.1,2.23,9.4,10.7,4,,546,2325,80,30.7
761.5,2.26,9.1,10.8,216,,556,2364,81,30.7
757.2,2.30,8.7,12.0,357,,566,2411,82,30.8
752.9,2.32,8.3,13.2,356,,576,2458,83,30.8
749.0,2.32,7.9,13.2,355,,586,2501,85,30.8
744.5,2.33,7.5,12.2,352,,596,2550,86,30.8
740.4,2.39,7.2,11.2,347,,606,2596,87,30.8
736.8,2.43,7.0,10.7,344,,616,2636,87,30.8
733.1,2.45,6.7,10.6,344,,626,2677,87,30.8
729.6,2.45,6.4,10.8,344,,636,2718,88,30.8
726.2,2.44,6.1,11.4,344,,646,2756,88,30.8
722.8,2.41,5.9,11.9,345,,656,2794,87,30.8
719.4,2.41,5.7,12.0,346,,666,2832,87,30.8
716.1,2.38,5.4,11.6,346,,676,2870,86,30.8
712.6,2.36,5.2,11.0,350,,686,2911,87,30.8
708.6,2.39,4.8,11.1,141,,696,2956,88,30.8
704.9,2.41,4.5,11.8,2,,706,3000,88,30.8
701.4,2.44,4.3,12.6,2,,716,3040,88,30.8
698.0,2.48,4.1,12.9,215,,726,3080,86,30.8
694.4,2.51,4.0,12.5,355,,736,3121,82,30.8
690.3,2.54,3.7,11.5,351,,746,3170,83,30.8
