
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-09-01,ABM,1.0,Matt Tully

* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a24143

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-08-25,02:59:24

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
350.0,2,399.8,-0.98,393,0,DS,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.033,26.4,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
988.1,2.00,9.6,7.7,352,,0,110,68,24.6
982.9,2.06,8.6,10.1,343,,10,154,70,24.6
977.2,2.13,7.6,13.6,347,,20,202,72,24.7
973.1,2.24,7.3,14.3,348,,30,236,74,24.7
968.8,2.29,6.9,14.7,349,,40,273,76,24.7
963.9,2.30,6.5,16.2,350,,50,315,78,24.7
958.4,2.31,6.1,17.5,351,,60,361,80,24.7
952.3,2.30,5.6,17.5,346,,70,414,81,24.6
946.4,2.32,5.1,17.8,338,,80,465,79,24.6
940.6,2.40,4.6,18.8,332,,90,515,80,24.6
935.2,2.48,4.6,19.4,329,,100,562,78,24.6
930.2,2.53,4.1,19.1,329,,110,605,79,24.6
925.1,2.56,3.9,18.2,328,,120,650,79,24.6
919.5,2.58,3.5,17.8,325,,130,699,81,24.6
913.3,2.59,3.0,18.6,321,,140,754,82,24.6
906.2,2.60,2.6,20.1,318,,150,818,82,24.5
900.2,2.61,2.3,21.1,317,,159,872,82,24.5
894.2,2.61,1.8,21.6,317,,169,924,82,24.5
889.1,2.61,1.7,21.1,317,,179,970,82,24.5
884.3,2.62,1.4,20.0,317,,189,1014,82,24.5
879.2,2.63,1.0,19.7,314,,199,1061,82,24.4
874.4,2.63,0.7,20.4,313,,209,1105,83,24.4
870.2,2.62,0.3,20.6,313,,218,1143,84,24.4
865.5,2.61,0.0,20.1,313,,228,1188,86,24.4
860.2,2.62,-0.4,20.8,310,,238,1237,87,24.3
854.3,2.59,-0.7,22.8,307,,248,1291,87,24.3
848.9,2.58,-0.9,24.2,304,,258,1342,86,24.3
843.7,2.59,-1.1,24.1,301,,268,1391,84,24.3
837.6,2.57,-1.1,23.0,297,,278,1449,80,24.2
831.4,2.56,-1.5,22.5,294,,288,1508,79,24.2
825.3,2.56,-1.8,23.0,291,,298,1567,79,24.1
819.7,2.56,-2.2,23.6,290,,308,1621,79,24.1
813.8,2.57,-2.3,23.1,290,,318,1678,80,24.1
808.9,2.59,-2.6,22.4,288,,328,1726,80,24.0
803.7,2.59,-3.0,22.6,288,,338,1778,80,24.0
799.0,2.59,-3.2,23.1,289,,348,1824,80,24.0
794.4,2.60,-3.6,23.1,292,,358,1869,81,24.0
790.0,2.59,-4.0,22.5,294,,368,1914,82,24.0
785.4,2.57,-4.3,21.4,295,,378,1959,83,24.0
780.8,2.57,-4.8,20.1,293,,388,2005,85,24.0
776.1,2.57,-5.2,19.2,290,,398,2053,86,24.0
771.2,2.55,-5.6,19.0,290,,408,2103,88,23.9
766.3,2.53,-6.0,19.0,289,,418,2153,89,23.9
761.0,2.51,-6.2,19.3,286,,428,2208,88,23.9
755.8,2.51,-6.5,20.0,285,,438,2261,86,23.9
751.0,2.50,-6.9,20.1,288,,448,2312,87,23.9
746.6,2.48,-7.2,19.4,289,,458,2358,87,23.9
742.7,2.50,-7.3,18.7,288,,467,2398,83,23.8
738.5,2.52,-7.6,18.8,285,,477,2442,82,23.8
734.4,2.53,-8.0,19.7,281,,487,2485,83,23.8
730.3,2.53,-8.3,20.9,280,,497,2528,85,23.8
726.6,2.52,-8.7,21.8,280,,506,2568,86,23.8
722.4,2.52,-9.0,22.6,283,,516,2612,87,23.8
718.3,2.52,-9.2,23.1,286,,526,2657,85,23.7
714.1,2.51,-9.4,23.5,289,,536,2702,84,23.7
709.8,2.54,-9.8,23.7,289,,546,2749,82,23.7
705.6,2.57,-10.2,23.4,289,,556,2795,82,23.7
701.5,2.60,-10.5,22.4,289,,566,2839,82,23.6
697.6,2.62,-10.7,20.9,288,,576,2882,79,23.6
693.7,2.65,-10.9,19.5,285,,586,2925,77,23.6
689.4,2.69,-11.2,19.2,279,,596,2973,74,23.6
685.2,2.72,-11.6,20.2,276,,606,3020,72,23.6
681.4,2.72,-11.9,21.1,277,,616,3063,72,23.5
677.6,2.73,-12.2,21.2,279,,626,3105,73,23.5
673.8,2.72,-12.6,20.6,281,,636,3149,73,23.5
669.9,2.71,-13.0,19.4,282,,646,3192,74,23.5
666.1,2.69,-13.3,18.0,281,,656,3237,75,23.5
662.2,2.68,-13.7,17.4,275,,666,3281,76,23.5
658.4,2.67,-14.0,17.7,270,,676,3325,76,23.5
654.6,2.65,-14.4,18.4,266,,686,3369,75,23.5
650.7,2.63,-14.8,18.9,265,,696,3414,75,23.5
646.7,2.63,-15.2,19.2,267,,706,3461,76,23.5
642.8,2.61,-15.5,19.0,272,,716,3506,76,23.4
638.8,2.62,-15.8,18.0,275,,726,3552,75,23.4
634.9,2.62,-16.2,17.0,275,,736,3599,75,23.4
631.1,2.61,-16.6,17.4,271,,746,3644,75,23.4
627.4,2.62,-17.0,18.8,268,,756,3687,74,23.4
623.8,2.60,-17.3,19.7,269,,766,3731,74,23.4
620.2,2.60,-17.6,19.3,272,,775,3775,74,23.4
616.1,2.60,-18.0,18.3,273,,785,3825,73,23.3
612.2,2.59,-18.3,18.1,271,,795,3872,73,23.3
608.7,2.57,-18.5,18.7,269,,804,3914,74,23.3
605.3,2.55,-18.7,19.3,269,,813,3957,73,23.3
601.5,2.53,-19.0,19.4,273,,823,4004,72,23.3
597.6,2.49,-19.3,19.0,278,,833,4052,71,23.2
593.7,2.45,-19.6,18.5,282,,843,4101,71,23.2
