
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-03-22,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6A24810

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-09-27,04:23:04

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
284.7,2,327.6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.035,28.5,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
998.0,1.58,11.6,3.6,235,,0,110,89,27.1
992.1,1.66,10.6,5.7,235,,10,160,85,27.1
986.3,1.78,10.1,7.4,234,,20,209,87,27.1
981.4,1.94,9.8,8.8,234,,30,250,89,27.2
975.1,2.13,9.1,10.2,236,,40,304,90,27.2
969.1,2.33,9.0,11.5,237,,50,354,90,27.2
963.4,2.48,8.6,12.6,235,,60,403,91,27.3
958.3,2.58,8.1,13.2,231,,70,448,92,27.3
953.6,2.65,7.9,13.2,227,,80,488,92,27.3
948.8,2.70,7.6,13.1,227,,90,530,92,27.3
944.2,2.73,7.5,12.8,230,,100,569,93,27.3
938.8,2.74,7.0,12.1,235,,110,617,94,27.3
932.7,2.72,6.6,11.8,241,,120,670,95,27.3
927.3,2.72,6.5,12.8,247,,130,718,94,27.3
922.6,2.72,6.1,13.9,248,,140,760,94,27.3
918.3,2.73,6.1,13.9,247,,150,798,93,27.3
913.6,2.74,5.6,13.2,246,,160,841,94,27.3
908.1,2.75,5.4,12.5,248,,170,890,94,27.3
902.6,2.77,5.1,12.0,252,,180,939,95,27.3
896.3,2.74,4.8,11.8,256,,190,997,97,27.3
889.6,2.71,4.5,11.7,256,,200,1058,97,27.3
882.7,2.67,4.1,11.0,256,,210,1121,98,27.3
877.6,2.65,4.0,10.0,260,,220,1168,97,27.3
872.8,2.62,3.8,9.8,267,,230,1213,97,27.3
867.8,2.60,3.5,10.1,269,,240,1260,97,27.3
862.8,2.58,3.1,10.3,268,,250,1306,97,27.3
858.8,2.60,2.9,10.6,266,,259,1344,96,27.3
853.8,2.62,2.6,11.2,264,,269,1391,96,27.3
848.4,2.61,2.3,12.3,265,,279,1442,96,27.3
842.2,2.60,2.0,12.7,267,,288,1502,96,27.3
836.1,2.59,1.7,12.6,268,,298,1560,95,27.3
830.0,2.57,1.6,12.3,272,,308,1620,94,27.3
823.6,2.53,1.3,12.3,278,,318,1682,94,27.2
818.6,2.49,1.3,12.8,285,,328,1731,92,27.2
814.3,2.45,0.9,13.4,291,,338,1774,93,27.2
810.0,2.44,0.8,14.1,296,,348,1816,94,27.2
805.8,2.42,0.8,14.7,301,,358,1857,95,27.2
801.3,2.39,0.7,14.4,306,,368,1902,96,27.2
796.9,2.37,0.5,13.2,308,,378,1948,95,27.2
792.5,2.36,0.3,11.9,307,,388,1992,95,27.2
787.6,2.33,0.0,11.4,303,,398,2041,95,27.2
782.9,2.31,-0.3,11.1,300,,408,2090,95,27.2
