
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-03-22,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a24812

#LOCATION
Latitude,Longitude,Height
-37.69,144.96,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-10-20,00:46:55

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
268.1,2,316.5,-1.04,329.5,0,DS,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.027,28.0,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1015.2,2.33,15.0,1.5,104,,0,110,47,26.7
1010.7,2.47,13.1,1.2,189,,9,147,49,26.8
1006.5,2.43,12.8,2.2,192,,19,182,51,26.8
1001.9,2.36,12.5,2.7,182,,29,220,53,26.9
997.8,2.30,12.1,2.7,165,,39,255,53,26.9
994.0,2.35,11.9,2.5,144,,49,287,52,26.9
989.9,2.32,11.6,2.3,118,,59,321,52,27.0
985.4,2.29,11.3,2.4,95,,69,359,54,27.0
981.9,2.27,10.9,2.5,78,,79,389,55,27.0
978.6,2.27,10.6,2.6,59,,89,417,57,27.0
974.8,2.28,10.3,2.6,34,,99,449,58,27.1
971.3,2.29,10.1,2.6,12,,109,480,58,27.1
967.2,2.30,10.0,2.4,355,,119,515,56,27.1
962.5,2.33,9.6,2.0,335,,129,556,55,27.1
957.8,2.45,9.2,1.5,306,,139,596,53,27.1
953.2,2.44,8.7,1.4,285,,149,636,56,27.2
947.8,2.37,8.2,1.3,291,,159,683,61,27.2
941.8,2.36,7.8,1.5,306,,169,735,62,27.2
935.9,2.26,7.4,1.1,314,,179,786,62,27.2
930.3,2.28,6.9,0.0,0,,189,836,61,27.2
924.2,2.32,6.6,1.3,105,,198,890,55,27.2
919.1,2.33,6.0,1.9,99,,206,936,66,27.2
913.8,2.43,6.4,2.0,76,,216,983,43,27.2
908.6,2.65,7.1,1.4,22,,226,1030,17,27.2
902.7,2.86,7.6,2.3,297,,236,1083,10,27.2
897.9,2.98,7.6,4.1,265,,246,1127,6,27.2
893.3,3.06,8.0,5.1,246,,256,1169,2,27.2
889.0,3.09,8.4,5.0,233,,265,1209,1,27.2
884.1,3.12,8.6,3.8,223,,275,1255,1,27.2
878.7,3.24,8.6,1.8,220,,285,1306,1,27.2
874.5,3.34,8.6,0.5,278,,294,1344,1,27.2
870.3,3.41,8.6,1.6,309,,304,1385,1,27.3
865.8,3.55,8.6,3.4,284,,314,1427,1,27.3
861.3,3.68,8.8,5.4,265,,324,1470,1,27.3
857.2,3.80,8.8,6.6,250,,334,1510,1,27.3
853.1,3.88,8.6,7.0,240,,344,1550,3,27.3
849.0,3.95,8.5,6.9,236,,354,1589,5,27.3
844.9,3.92,8.1,6.6,235,,364,1629,5,27.3
840.7,3.96,8.1,6.4,232,,374,1670,5,27.3
836.5,3.96,8.0,5.9,231,,384,1711,5,27.3
832.3,3.91,7.9,4.9,237,,394,1753,5,27.4
828.3,3.79,7.8,3.6,252,,404,1792,5,27.4
824.0,3.74,7.5,2.9,269,,414,1835,8,27.4
819.8,3.73,7.3,3.0,276,,424,1877,10,27.4
815.5,3.65,7.0,3.4,277,,434,1920,9,27.4
811.1,3.62,6.8,3.5,281,,444,1964,10,27.4
806.7,3.66,6.6,3.1,286,,454,2009,6,27.4
802.5,3.62,6.5,2.4,284,,464,2052,5,27.4
798.2,3.64,6.4,1.7,264,,474,2095,5,27.5
793.9,3.60,6.1,1.8,232,,484,2140,5,27.5
789.8,3.58,6.0,2.3,219,,493,2182,5,27.5
786.1,3.56,5.8,2.7,220,,502,2221,8,27.5
781.7,3.56,5.6,3.8,227,,513,2266,13,27.5
777.5,3.51,5.3,5.0,233,,523,2310,14,27.5
773.5,3.31,4.9,5.8,237,,533,2353,25,27.5
769.0,3.19,4.8,5.4,244,,543,2400,23,27.5
