
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-03-22,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a24804

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-12-01,01:03:06

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
251.1,2,291.0,-1.05,305,0,ZS,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.023,26.9,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1002.7,1.02,20.6,2.1,206,,0,110,75,29.8
996.1,1.12,19.1,2.3,185,,10,167,75,29.8
989.7,0.94,18.6,2.3,209,,20,223,77,29.8
982.6,0.83,18.0,2.3,242,,30,284,79,29.8
976.4,0.81,17.3,1.5,241,,40,339,81,29.9
971.0,0.88,16.9,1.6,152,,50,386,81,29.9
965.8,0.98,16.6,3.8,132,,60,432,81,29.9
960.7,1.11,16.5,4.8,127,,70,476,80,29.9
956.2,1.25,16.5,4.2,120,,80,517,78,29.9
952.3,1.40,16.8,2.9,101,,90,551,74,29.9
948.7,1.60,17.5,2.1,71,,100,584,66,29.9
944.6,1.80,17.3,2.3,46,,110,621,64,29.9
940.3,2.04,17.1,3.5,31,,120,660,64,29.9
936.4,2.30,17.0,5.2,26,,130,696,62,29.9
933.1,2.49,16.6,6.4,25,,140,726,63,29.9
929.0,2.59,16.3,6.6,28,,150,763,64,29.9
924.4,2.67,15.9,6.5,36,,160,805,65,29.9
919.6,2.69,15.5,6.6,46,,170,849,67,29.9
915.7,2.72,15.1,6.8,45,,180,886,67,29.8
911.9,2.74,15.0,7.3,34,,190,921,67,29.8
907.8,2.75,14.6,8.2,23,,200,959,67,29.8
903.8,2.76,14.4,8.7,21,,210,997,68,29.8
899.4,2.75,14.0,9.0,28,,220,1037,68,29.8
895.3,2.74,13.6,9.4,38,,230,1076,70,29.8
891.0,2.75,13.5,10.0,42,,240,1117,71,29.8
886.9,2.75,13.1,10.8,39,,250,1156,71,29.8
882.7,2.74,12.9,11.6,34,,260,1196,70,29.7
878.3,2.74,12.6,12.2,30,,270,1238,70,29.7
874.1,2.74,12.3,12.6,27,,280,1278,70,29.7
870.3,2.73,12.0,12.9,27,,289,1314,70,29.7
866.1,2.73,11.7,13.2,28,,299,1354,70,29.7
862.0,2.73,11.4,13.5,30,,309,1394,70,29.7
857.9,2.73,11.1,13.7,30,,319,1434,70,29.6
853.5,2.74,10.7,13.7,26,,329,1476,71,29.6
849.5,2.76,10.4,13.2,22,,339,1516,72,29.6
845.5,2.80,10.0,11.9,21,,349,1555,72,29.6
841.6,2.83,9.8,10.4,23,,359,1594,73,29.6
837.8,2.87,9.7,8.9,28,,369,1632,74,29.6
834.0,2.89,9.5,7.9,35,,379,1669,76,29.6
830.4,2.91,9.2,7.3,36,,389,1706,77,29.5
826.5,2.92,8.9,6.9,31,,399,1744,78,29.5
822.3,2.92,8.5,7.3,22,,409,1786,80,29.5
818.3,2.93,8.1,7.6,15,,419,1827,82,29.5
814.4,2.94,7.9,7.2,15,,429,1867,85,29.5
810.4,2.97,7.7,6.8,16,,439,1907,86,29.5
805.8,3.06,7.3,6.8,17,,449,1954,88,29.4
801.4,3.05,6.8,7.4,17,,459,1999,90,29.4
796.8,3.02,6.6,8.3,23,,469,2047,91,29.4
792.5,2.98,6.4,9.1,32,,479,2090,92,29.4
788.3,2.97,6.1,9.6,37,,489,2134,91,29.3
784.3,2.98,6.1,9.3,35,,499,2175,90,29.3
779.7,3.01,6.0,8.5,27,,509,2225,89,29.3
775.2,3.06,5.7,7.4,27,,519,2271,89,29.3
771.3,3.04,5.4,7.2,38,,529,2313,89,29.2
767.2,3.01,5.2,8.4,46,,539,2356,89,29.2
763.3,3.02,5.0,9.4,42,,549,2398,89,29.2
759.6,3.00,4.8,9.5,33,,559,2439,89,29.2
755.7,2.97,4.5,8.4,28,,569,2480,90,29.1
751.8,2.96,4.3,7.2,31,,579,2523,91,29.1
748.1,2.94,4.0,7.5,43,,589,2564,92,29.1
744.3,2.93,3.9,8.4,53,,598,2604,91,29.1
740.3,2.91,3.7,8.8,61,,608,2648,90,29.0
736.5,2.89,3.5,8.6,69,,618,2689,90,29.0
732.7,2.86,3.5,8.5,75,,628,2731,90,29.0
728.6,2.84,3.3,8.5,79,,638,2777,90,29.0
724.4,2.89,3.2,8.7,80,,648,2824,88,28.9
720.7,2.82,2.9,9.2,80,,658,2866,88,28.9
716.8,2.76,2.6,10.1,77,,668,2910,88,28.9
712.3,2.73,2.4,10.9,76,,678,2960,86,28.9
706.9,2.73,2.0,11.3,78,,688,3022,86,28.8
702.4,2.70,1.5,11.5,83,,698,3074,87,28.8
698.6,2.73,1.2,11.5,85,,708,3117,87,28.8
695.0,2.75,1.0,10.8,84,,718,3159,88,28.8
691.0,2.72,0.7,9.6,80,,728,3205,89,28.8
687.2,2.69,0.6,9.5,76,,738,3251,88,28.7
683.3,2.66,0.4,10.8,77,,748,3296,87,28.7
679.4,2.63,0.1,12.7,79,,758,3341,87,28.7
675.6,2.63,-0.2,13.9,78,,768,3386,85,28.6
671.9,2.65,-0.6,14.3,75,,778,3431,85,28.6
667.8,2.64,-1.0,14.3,71,,788,3479,85,28.6
663.8,2.64,-1.4,14.1,66,,798,3527,86,28.5
659.9,2.64,-1.7,13.3,62,,808,3574,85,28.5
656.0,2.64,-2.0,11.8,63,,818,3621,85,28.5
651.8,2.66,-2.1,10.8,68,,828,3672,81,28.5
648.1,2.71,-2.3,11.2,72,,838,3718,79,28.5
644.5,2.77,-2.4,12.4,73,,848,3762,77,28.4
641.0,2.82,-2.7,13.5,70,,858,3806,74,28.4
637.7,2.90,-2.8,14.1,66,,868,3847,70,28.3
633.4,3.09,-3.1,14.1,63,,878,3900,71,28.3
629.1,3.06,-3.4,13.5,62,,888,3955,76,28.3
625.3,3.05,-3.7,12.7,63,,897,4002,79,28.2
621.8,3.06,-3.9,12.5,66,,907,4047,80,28.2
617.7,3.02,-4.2,12.3,68,,917,4099,84,28.2
613.1,2.94,-4.4,11.8,70,,927,4158,86,28.1
609.2,2.82,-4.6,11.9,71,,937,4208,84,28.1
605.8,2.78,-4.8,12.5,69,,946,4253,84,28.0
602.2,2.74,-5.2,12.9,67,,956,4299,84,28.0
598.7,2.72,-5.5,12.7,65,,966,4344,86,28.0
595.4,2.70,-5.8,13.0,64,,976,4388,87,28.0
592.0,2.69,-6.1,13.7,62,,986,4433,87,28.0
588.5,2.66,-6.5,14.3,62,,996,4479,88,28.0
585.2,2.63,-6.8,14.4,64,,1006,4522,88,27.9
582.0,2.60,-7.1,14.1,66,,1016,4566,88,27.9
578.7,2.58,-7.4,13.8,65,,1026,4610,88,27.9
574.6,2.56,-7.7,13.3,61,,1036,4666,88,27.9
