
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-03-22,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a24830

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2011-05-19,01:34:41

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
236.0,2,271.3,-1.03,279,0,DS,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.028,27.9,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1015.1,2.11,14.6,6.2,3,,0,110,54,25.5
1009.3,2.21,13.5,8.2,1,,10,159,58,25.6
1003.7,2.25,13.0,10.3,360,,20,205,59,25.6
998.1,2.29,12.5,11.1,1,,30,252,61,25.6
993.2,2.33,12.1,11.5,360,,40,294,62,25.6
988.2,2.37,11.8,12.0,357,,50,336,62,25.6
983.4,2.43,11.6,12.6,354,,60,376,62,25.6
977.7,2.53,11.3,13.3,354,,70,425,61,25.6
970.4,2.62,11.1,14.3,356,,80,487,58,25.6
963.5,2.79,11.4,14.9,355,,90,547,50,25.6
957.0,2.89,11.9,14.5,350,,100,604,35,25.6
950.3,2.90,11.6,13.9,342,,110,662,31,25.6
944.5,2.86,11.9,13.7,335,,119,713,25,25.6
938.3,2.84,12.4,13.8,329,,129,768,19,25.6
931.9,2.81,12.3,13.7,326,,139,825,16,25.6
925.7,2.79,12.7,13.6,325,,149,881,10,25.6
919.4,2.76,12.9,13.3,323,,159,938,4,25.6
912.9,2.76,13.3,12.8,321,,169,998,4,25.6
906.3,2.76,13.3,12.2,316,,179,1059,6,25.6
899.8,2.74,13.2,12.1,310,,189,1119,6,25.5
893.1,2.74,12.9,12.3,306,,199,1182,6,25.5
886.6,2.74,12.5,12.1,303,,209,1243,5,25.5
880.1,2.74,12.2,11.7,299,,219,1304,5,25.5
873.7,2.72,11.7,11.1,297,,229,1366,5,25.5
867.4,2.70,11.2,10.6,297,,239,1426,5,25.5
861.1,2.68,10.7,10.3,298,,249,1486,6,25.5
854.8,2.68,10.2,10.0,299,,259,1547,6,25.5
849.0,2.67,9.7,9.6,300,,269,1604,6,25.5
842.9,2.67,9.2,8.6,299,,279,1663,6,25.5
836.8,2.66,8.6,7.9,293,,289,1723,7,25.5
830.7,2.62,8.0,7.8,290,,299,1783,7,25.5
824.6,2.59,7.5,7.9,294,,309,1844,7,25.5
818.8,2.58,6.9,7.5,301,,319,1902,7,25.5
813.0,2.56,6.5,6.7,307,,329,1961,7,25.5
807.5,2.54,6.0,6.3,309,,339,2016,7,25.5
801.1,2.50,5.4,6.4,309,,349,2080,7,25.5
794.9,2.49,4.8,6.3,305,,359,2144,8,25.4
789.0,2.47,4.2,6.1,303,,369,2205,8,25.4
783.0,2.46,3.6,6.1,303,,379,2266,8,25.4
777.2,2.45,3.1,5.8,303,,389,2327,8,25.3
771.4,2.43,2.5,5.5,302,,399,2387,9,25.2
767.4,2.42,2.2,5.5,300,,406,2428,16,25.2
761.8,2.47,2.2,5.8,300,,416,2488,33,25.2
756.6,2.48,2.1,6.2,301,,425,2544,42,25.2
750.8,2.51,1.8,6.7,301,,435,2606,42,25.2
744.9,2.53,1.4,7.4,300,,445,2669,43,25.1
739.0,2.53,0.9,8.3,298,,455,2733,43,25.1
733.1,2.52,0.4,8.9,295,,465,2798,45,25.1
727.1,2.53,-0.1,9.3,293,,475,2863,49,25.0
721.2,2.52,-0.6,9.6,291,,485,2928,50,25.0
715.5,2.52,-1.1,10.0,290,,495,2992,54,24.9
709.9,2.51,-1.5,10.4,290,,505,3055,55,24.9
704.7,2.51,-2.0,10.6,290,,514,3113,55,24.9
698.9,2.49,-2.6,11.0,289,,524,3179,56,24.8
693.0,2.49,-3.2,11.3,286,,534,3246,58,24.7
686.9,2.47,-3.8,11.4,282,,544,3315,57,24.7
681.7,2.45,-4.2,11.5,278,,553,3377,54,24.6
675.6,2.42,-4.7,11.5,275,,563,3446,54,24.5
669.7,2.41,-5.1,11.1,274,,573,3515,64,24.5
663.4,2.42,-4.9,10.4,270,,584,3590,77,24.4
658.4,2.45,-4.8,9.9,269,,593,3650,89,24.3
652.6,2.47,-5.1,9.5,269,,603,3719,85,24.3
647.1,2.48,-5.4,9.3,272,,613,3785,82,24.2
641.6,2.49,-5.9,9.2,275,,623,3853,81,24.1
635.8,2.48,-6.4,9.2,275,,633,3923,78,24.1
630.3,2.49,-6.9,9.3,275,,643,3992,77,24.0
624.8,2.49,-7.3,9.2,278,,653,4060,77,24.0
619.3,2.47,-7.8,9.1,282,,663,4129,79,23.9
613.8,2.50,-8.4,9.1,286,,673,4197,79,23.9
608.5,2.47,-8.7,9.3,289,,683,4265,73,23.8
603.3,2.45,-9.1,9.6,289,,693,4332,69,23.7
597.9,2.45,-9.6,10.1,288,,703,4400,69,23.7
593.3,2.46,-10.0,10.5,287,,712,4461,71,23.6
588.2,2.45,-10.5,10.6,286,,722,4528,71,23.5
583.2,2.43,-10.8,10.3,286,,732,4592,70,23.5
578.3,2.42,-11.3,10.0,286,,742,4657,70,23.4
573.3,2.41,-11.8,10.0,285,,752,4725,70,23.4
568.2,2.40,-12.3,10.3,283,,762,4793,71,23.3
563.5,2.40,-12.8,10.4,281,,772,4857,71,23.2
558.7,2.39,-13.2,9.9,280,,782,4922,73,23.1
554.0,2.36,-13.6,9.0,281,,792,4986,74,23.1
549.5,2.34,-14.2,7.8,281,,802,5047,78,23.0
544.7,2.33,-14.7,6.9,280,,812,5114,83,22.9
540.1,2.30,-15.1,6.3,277,,822,5179,88,22.9
535.0,2.25,-15.6,6.2,275,,832,5249,85,22.8
530.2,2.24,-16.2,6.5,275,,842,5317,87,22.8
525.5,2.21,-16.8,6.9,277,,852,5384,90,22.7
521.2,2.20,-17.2,7.2,280,,862,5447,91,22.6
516.8,2.21,-17.6,7.2,281,,872,5510,89,22.6
512.1,2.22,-18.1,6.9,282,,882,5578,86,22.5
507.6,2.22,-18.6,6.6,282,,892,5645,86,22.5
503.4,2.22,-19.2,6.6,283,,902,5707,90,22.4
499.4,2.22,-19.8,6.5,287,,912,5765,92,22.4
495.6,2.20,-20.2,6.6,291,,922,5821,93,22.3
491.3,2.19,-20.2,6.9,293,,932,5886,91,22.2
486.8,2.16,-20.0,7.3,292,,942,5955,83,22.1
482.4,2.15,-20.4,6.9,289,,952,6024,86,22.0
478.1,2.11,-20.8,6.3,287,,961,6088,83,22.0
473.9,2.11,-20.5,5.9,289,,970,6155,70,21.9
469.2,2.09,-20.5,6.0,297,,980,6228,60,21.9
464.5,2.07,-20.9,6.1,303,,990,6302,52,21.8
459.7,2.06,-21.5,5.9,303,,1000,6379,49,21.8
455.0,2.04,-22.3,5.7,300,,1010,6454,46,21.7
451.0,2.05,-22.7,5.5,296,,1019,6519,37,21.6
446.5,2.07,-23.3,5.3,292,,1029,6593,35,21.6
441.9,2.07,-23.6,5.2,289,,1039,6668,32,21.6
437.5,2.04,-24.3,5.3,289,,1049,6741,34,21.5
433.2,2.00,-24.9,5.2,290,,1059,6812,36,21.5
429.0,1.95,-25.6,5.1,290,,1069,6883,37,21.5
424.9,1.91,-26.0,5.4,289,,1079,6953,36,21.4
420.9,1.86,-26.5,6.0,288,,1089,7022,32,21.4
