
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-03-22,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a25930

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2011-10-12,02:02:18

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
275.2,2,318.4,-1.03,328,0,ZB,Dobson (Beck),111

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.029,26.5,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1006.9,1.88,13.5,4.6,172,,0,110,63,28.1
1000.4,2.20,12.0,3.0,174,,10,164,63,28.1
993.6,2.46,11.3,3.9,178,,20,221,66,28.1
987.7,2.62,10.9,4.7,180,,30,271,68,28.1
981.3,2.72,10.4,5.2,180,,40,325,69,28.0
974.7,2.74,9.9,5.1,178,,50,381,72,28.0
967.9,2.74,9.3,4.6,171,,60,440,73,28.0
962.1,2.76,8.9,4.3,172,,70,489,75,27.9
957.8,2.76,8.6,4.1,183,,79,525,75,27.9
953.3,2.78,8.2,3.9,194,,89,565,77,27.9
949.2,2.82,8.0,3.7,195,,98,601,73,27.8
942.9,2.84,7.3,3.8,193,,109,655,80,27.8
937.3,2.88,6.9,4.3,191,,119,705,79,27.8
931.6,2.89,6.4,4.3,187,,128,754,79,27.7
924.2,2.90,5.7,3.7,179,,139,820,85,27.7
917.0,2.85,5.2,3.0,174,,149,883,86,27.6
911.1,2.89,4.9,2.5,174,,159,936,79,27.6
904.3,2.99,4.6,2.3,186,,169,997,78,27.5
898.6,3.07,4.2,2.6,198,,179,1049,79,27.5
892.8,3.09,3.7,3.1,194,,189,1101,81,27.5
887.4,3.12,3.2,3.8,182,,199,1151,83,27.4
881.2,3.16,2.7,4.1,175,,209,1208,86,27.4
875.0,3.13,2.2,3.9,175,,219,1265,88,27.3
868.6,3.11,1.7,4.0,173,,229,1325,90,27.3
862.4,3.08,1.1,4.4,168,,239,1382,92,27.2
856.6,3.05,0.7,4.8,163,,249,1437,92,27.1
851.1,3.01,0.3,5.3,159,,259,1488,92,27.1
845.9,2.98,0.6,5.3,162,,268,1537,91,27.0
840.9,2.94,1.9,5.4,173,,277,1586,60,26.9
834.9,3.00,3.7,5.8,188,,287,1643,28,26.9
830.3,3.14,4.6,6.3,197,,295,1687,14,26.8
824.7,3.30,5.0,7.1,201,,306,1742,6,26.8
819.5,3.38,5.2,7.6,201,,316,1795,3,26.8
813.5,3.44,5.3,7.8,205,,326,1854,3,26.7
807.4,3.44,5.3,8.0,211,,336,1916,3,26.7
802.0,3.42,5.1,8.4,214,,346,1971,3,26.7
796.3,3.41,4.9,8.3,212,,356,2028,3,26.7
790.8,3.31,4.7,8.3,210,,366,2085,3,26.7
786.1,3.27,4.7,8.9,209,,375,2134,7,26.7
780.8,3.37,4.8,9.6,206,,385,2189,14,26.7
776.7,3.36,4.8,10.1,202,,393,2232,17,26.7
770.6,3.43,4.9,10.3,198,,405,2296,13,26.6
765.0,3.44,4.7,10.8,197,,415,2355,11,26.6
759.7,3.54,4.3,11.4,198,,425,2412,13,26.5
754.8,3.65,4.0,11.5,202,,435,2465,18,26.5
749.6,3.76,3.7,11.0,206,,445,2520,22,26.5
744.0,3.82,3.3,10.6,209,,455,2581,23,26.5
738.0,3.87,2.8,10.6,209,,465,2647,24,26.5
732.3,3.89,2.3,10.6,207,,475,2709,27,26.4
727.0,3.91,1.8,10.4,205,,485,2768,29,26.4
721.8,3.91,1.4,9.9,205,,495,2825,29,26.4
716.5,3.90,0.9,9.3,206,,505,2884,31,26.4
710.9,3.87,0.4,9.0,207,,515,2948,32,26.4
705.8,3.86,-0.2,9.3,207,,525,3006,33,26.4
701.0,3.80,-0.6,9.9,205,,535,3061,34,26.3
696.0,3.76,-0.9,10.5,202,,545,3117,35,26.2
690.8,3.70,-1.4,10.8,200,,555,3176,35,26.2
685.3,3.67,-1.9,11.1,199,,565,3240,36,26.2
679.7,3.66,-2.4,11.6,199,,575,3305,39,26.1
674.5,3.67,-2.9,12.0,201,,585,3366,41,26.1
669.3,3.68,-3.5,12.4,203,,595,3428,41,26.0
663.7,3.61,-4.1,12.7,205,,605,3494,40,26.0
658.2,3.56,-4.6,12.5,206,,615,3559,43,26.0
652.9,3.57,-5.1,11.5,205,,625,3623,49,25.9
647.8,3.56,-5.5,10.0,205,,635,3684,51,25.8
642.9,3.54,-5.4,8.6,206,,645,3744,46,25.7
638.1,3.48,-5.5,7.9,207,,655,3803,40,25.7
633.5,3.42,-5.9,8.1,208,,664,3859,40,25.6
628.8,3.35,-6.3,8.8,211,,673,3918,40,25.6
623.8,3.31,-6.7,9.8,214,,683,3980,40,25.5
618.7,3.26,-7.2,10.6,217,,693,4044,42,25.5
613.8,3.25,-7.5,11.4,217,,703,4105,43,25.5
608.6,3.24,-7.8,12.4,214,,713,4172,46,25.4
603.7,3.16,-8.0,13.6,212,,723,4236,45,25.3
599.1,3.06,-8.0,14.7,212,,733,4295,43,25.3
594.3,3.05,-8.3,15.5,214,,743,4357,44,25.2
589.2,3.06,-8.9,16.1,216,,753,4424,45,25.1
584.0,3.13,-9.3,16.9,217,,763,4493,47,25.1
578.7,3.21,-9.8,17.8,216,,773,4563,47,25.0
573.5,3.22,-10.2,18.9,214,,783,4633,46,24.9
568.7,3.19,-10.6,19.9,214,,793,4698,43,24.8
563.8,3.21,-11.1,20.3,214,,803,4764,43,24.8
558.8,3.26,-11.6,20.0,215,,813,4833,44,24.8
553.9,3.23,-12.2,19.1,215,,823,4900,45,24.8
549.0,3.17,-12.6,18.4,215,,833,4967,46,24.7
544.3,3.11,-13.1,18.0,215,,843,5033,46,24.6
539.2,3.07,-13.6,18.2,215,,853,5103,45,24.5
534.3,3.10,-14.0,18.4,215,,863,5173,45,24.5
529.4,3.06,-14.6,18.6,216,,873,5244,45,24.4
524.6,3.02,-15.0,18.8,217,,883,5312,44,24.3
519.6,3.02,-15.6,19.1,218,,893,5385,44,24.1
514.4,3.11,-16.0,19.4,218,,903,5460,45,24.0
509.3,3.21,-16.6,20.0,219,,913,5534,47,23.9
504.4,3.36,-17.0,20.7,220,,923,5607,47,23.8
499.7,3.49,-17.3,21.2,222,,933,5678,46,23.8
495.1,3.48,-17.8,21.5,223,,943,5747,47,23.7
490.4,3.39,-18.2,21.5,224,,953,5820,50,23.6
485.8,3.29,-18.8,21.3,224,,963,5890,52,23.5
481.6,3.27,-19.1,20.9,224,,972,5954,50,23.5
477.1,3.25,-19.6,20.8,224,,982,6024,45,23.4
