
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-03-22,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6a25933

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2011-11-02,01:16:42

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
274.4,2,336.2,-0.97,325.8,0,ZS,Dobson (Beck),111

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.022,28.0,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1002.5,0.96,13.1,5.1,200,,0,110,93,27.6
997.6,1.08,12.1,4.4,203,,10,151,92,27.7
993.0,1.25,11.8,6.1,202,,20,190,93,27.7
988.5,1.43,11.6,6.4,198,,30,228,93,27.7
984.1,1.56,11.1,5.7,191,,39,265,94,27.7
979.2,1.61,10.7,5.3,188,,49,306,97,27.7
973.7,1.65,10.5,6.2,194,,59,354,98,27.7
967.3,1.66,10.2,7.8,204,,69,409,99,27.7
962.7,1.72,9.7,8.9,209,,79,448,98,27.7
958.2,1.81,9.6,8.8,210,,89,488,96,27.7
952.6,1.85,9.5,8.3,211,,99,537,95,27.7
947.4,1.85,9.3,7.9,210,,109,581,93,27.7
941.6,1.84,9.0,8.1,210,,119,632,93,27.7
937.1,1.84,8.7,8.5,214,,129,672,93,27.6
932.5,1.85,8.3,8.6,216,,139,713,94,27.6
927.2,1.86,8.0,8.6,216,,149,760,96,27.6
922.2,1.84,7.8,8.8,215,,158,805,97,27.6
917.2,1.85,7.5,9.1,215,,168,850,97,27.6
911.9,1.83,7.2,9.6,220,,178,898,97,27.5
907.3,1.84,7.1,9.9,225,,188,939,95,27.5
902.9,1.89,6.9,9.6,231,,198,979,95,27.5
898.6,1.91,6.6,8.9,236,,208,1019,95,27.5
894.5,1.93,6.3,8.9,237,,218,1056,95,27.4
890.3,1.93,6.1,9.3,234,,228,1095,95,27.4
886.0,1.94,5.8,9.4,226,,238,1134,95,27.4
881.8,1.95,5.6,8.7,222,,248,1173,96,27.3
877.7,1.94,5.4,7.6,223,,258,1211,96,27.3
873.9,1.93,5.2,7.2,224,,268,1247,97,27.3
869.9,1.93,5.0,7.3,221,,278,1284,96,27.2
866.0,1.93,4.8,7.6,218,,288,1321,94,27.2
862.2,1.97,4.7,7.6,218,,298,1357,94,27.2
858.9,1.99,4.5,7.7,218,,307,1388,94,27.2
855.3,2.00,4.3,8.0,220,,317,1422,94,27.2
850.8,2.00,4.0,8.3,223,,327,1465,95,27.1
846.2,1.97,3.8,8.3,226,,337,1510,96,27.1
841.6,1.94,3.6,8.0,228,,347,1553,96,27.1
837.6,1.92,3.4,7.4,230,,357,1592,96,27.1
833.7,1.90,3.2,7.2,231,,367,1630,96,27.1
829.8,1.89,3.0,7.5,232,,377,1669,96,27.0
825.5,1.85,2.8,8.1,231,,387,1711,95,27.0
821.0,1.84,2.5,8.5,231,,397,1755,95,27.0
815.9,1.84,2.3,8.8,230,,407,1806,95,27.0
810.6,1.85,2.0,9.0,229,,417,1858,95,26.9
805.2,1.85,1.7,9.0,227,,427,1911,95,26.9
800.0,1.85,1.5,8.9,225,,437,1964,95,26.8
795.6,1.86,1.3,8.4,224,,446,2009,93,26.8
790.5,1.88,1.0,7.8,224,,456,2061,93,26.8
785.3,1.89,0.8,7.3,226,,466,2113,93,26.7
780.3,1.92,0.6,7.6,227,,476,2165,93,26.7
775.4,2.04,0.4,8.6,225,,486,2216,93,26.7
770.9,2.15,0.2,10.1,223,,496,2263,92,26.6
766.6,2.26,-0.0,11.0,223,,506,2306,91,26.6
761.9,2.32,-0.4,11.1,224,,516,2356,91,26.6
756.7,2.34,-0.7,11.2,225,,526,2410,92,26.5
752.2,2.35,-1.1,11.6,223,,535,2459,92,26.5
746.8,2.39,-0.8,12.6,221,,545,2516,92,26.4
741.3,2.60,-0.3,13.4,220,,555,2575,90,26.4
735.9,2.75,-0.1,13.9,223,,565,2634,86,26.3
730.9,2.75,-0.1,14.4,226,,575,2689,85,26.3
726.2,2.74,-0.5,15.1,229,,585,2740,87,26.3
721.6,2.70,-0.8,15.6,230,,595,2791,88,26.3
717.3,2.66,-0.9,15.6,231,,605,2839,87,26.3
713.0,2.64,-1.0,15.8,232,,615,2887,87,26.2
708.3,2.64,-1.1,16.4,233,,625,2940,88,26.2
703.1,2.64,-1.4,17.1,234,,635,2998,86,26.1
698.3,2.66,-1.5,17.7,233,,644,3053,80,26.1
693.4,2.74,-1.3,18.1,231,,654,3109,73,26.1
689.2,2.79,-1.3,18.6,230,,663,3158,67,26.1
683.6,2.78,-1.4,19.5,230,,674,3223,59,26.0
678.6,2.75,-1.5,20.1,231,,684,3281,57,26.0
673.9,2.69,-1.6,20.1,232,,694,3337,57,26.0
669.2,2.57,-1.7,19.8,231,,704,3391,56,26.0
665.1,2.48,-1.8,19.5,230,,713,3440,54,26.0
660.8,2.42,-1.8,19.2,227,,722,3493,52,26.0
656.0,2.40,-2.2,19.7,225,,732,3550,51,25.9
651.1,2.36,-2.4,21.1,224,,742,3610,50,25.9
646.3,2.33,-2.6,22.5,224,,752,3669,48,25.9
642.3,2.38,-2.9,23.3,224,,761,3718,48,25.9
638.2,2.41,-3.0,23.8,226,,770,3769,48,25.9
633.1,2.45,-3.3,24.6,227,,781,3832,39,25.9
628.6,2.45,-3.6,25.0,229,,791,3889,38,25.9
624.0,2.43,-3.9,24.8,229,,801,3948,35,25.9
619.5,2.48,-4.2,24.7,230,,811,4004,34,25.8
615.5,2.48,-4.5,24.9,229,,821,4054,35,25.8
612.2,2.51,-4.9,25.1,228,,830,4098,37,25.8
607.5,2.49,-5.4,25.2,226,,840,4159,39,25.8
603.4,2.49,-5.9,25.1,224,,850,4211,41,25.7
599.2,2.46,-6.4,24.5,222,,860,4266,42,25.7
595.7,2.46,-6.8,23.8,223,,870,4312,42,25.6
592.2,2.49,-7.0,23.7,226,,880,4357,42,25.6
588.2,2.64,-7.3,24.3,229,,890,4411,34,25.6
584.1,2.84,-7.4,24.6,228,,900,4465,27,25.6
580.1,2.91,-7.8,24.1,227,,910,4518,30,25.5
576.2,2.99,-7.8,23.4,225,,919,4571,25,25.5
571.5,3.13,-8.3,23.0,222,,930,4634,24,25.5
567.5,3.19,-8.5,23.3,219,,940,4689,25,25.4
563.3,3.29,-9.0,24.2,215,,950,4746,26,25.4
559.9,3.35,-9.4,25.2,213,,960,4793,28,25.4
556.3,3.31,-9.5,25.5,214,,970,4843,34,25.4
552.8,3.25,-9.6,25.0,218,,980,4892,34,25.4
549.4,3.23,-9.9,25.0,224,,990,4940,33,25.4
546.3,3.28,-10.0,26.2,227,,1000,4983,29,25.4
543.1,3.45,-10.4,27.5,228,,1010,5028,22,25.3
539.6,3.55,-10.9,28.0,228,,1020,5077,20,25.3
535.7,3.61,-11.4,27.8,228,,1030,5134,20,25.3
531.6,3.64,-11.9,28.0,228,,1040,5193,20,25.3
528.0,3.63,-12.3,28.7,228,,1049,5244,21,25.2
524.6,3.63,-12.8,29.1,228,,1058,5293,24,25.2
520.9,3.61,-13.2,28.8,228,,1068,5347,24,25.2
517.2,3.56,-13.7,28.1,227,,1078,5401,25,25.2
513.5,3.55,-14.3,27.6,227,,1088,5455,29,25.1
509.8,3.48,-14.7,27.4,227,,1098,5511,38,25.1
506.2,3.39,-15.1,27.6,228,,1108,5565,39,25.1
502.5,3.33,-15.7,27.5,227,,1118,5620,41,25.1
499.1,3.28,-16.2,26.8,227,,1128,5672,41,25.0
495.7,3.25,-16.6,26.7,230,,1138,5722,40,25.0
492.3,3.21,-17.0,27.5,233,,1148,5774,44,25.0
488.7,3.18,-17.5,28.3,235,,1158,5828,49,25.0
485.2,3.14,-18.0,28.3,236,,1168,5883,51,25.0
481.9,3.09,-18.5,27.7,237,,1178,5933,53,25.0
478.8,3.05,-18.9,27.6,238,,1188,5982,54,24.9
475.8,3.02,-19.3,27.9,238,,1198,6029,56,24.9
472.7,2.97,-19.7,27.8,237,,1208,6077,59,24.9
470.0,2.92,-20.1,27.4,238,,1217,6120,60,24.9
