
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-07-11,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6A26941

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2012-06-28,02:16:01

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
270.3,2,318.0,-0.94,300,0,DS,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.043,26.5,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1004.9,1.66,13.1,5.7,2,,0,110,62,27.1
1001.0,1.84,11.6,9.0,6,,10,143,67,27.0
996.2,1.91,11.1,11.7,4,,20,183,69,27.0
991.3,1.97,10.8,13.2,4,,30,224,70,27.0
985.5,1.98,10.1,13.9,3,,40,273,73,27.0
979.9,2.05,9.6,14.0,3,,50,320,75,26.9
974.2,2.11,9.1,13.6,2,,60,368,76,26.9
967.8,2.14,8.6,13.4,357,,70,423,79,26.9
961.5,2.14,8.1,13.9,351,,80,478,81,26.9
954.9,2.12,7.6,14.1,350,,89,534,83,26.9
948.9,2.08,7.1,13.9,353,,99,586,85,26.9
943.0,2.09,6.7,14.1,357,,109,637,86,26.8
937.8,2.17,6.3,14.8,357,,119,682,88,26.8
932.5,2.21,6.0,16.0,355,,129,729,89,26.7
927.0,2.26,5.9,17.4,354,,139,778,89,26.7
921.8,2.40,7.3,18.6,355,,148,824,82,26.6
916.1,2.61,7.5,19.7,356,,158,875,76,26.6
909.7,2.75,7.4,20.3,358,,168,933,74,26.5
904.2,2.82,7.1,20.2,360,,178,982,73,26.5
899.2,2.88,6.8,19.5,360,,188,1028,74,26.5
894.1,2.90,6.4,19.6,360,,198,1075,75,26.5
889.2,2.90,6.0,20.7,359,,208,1120,77,26.4
884.4,2.89,5.6,21.8,359,,218,1164,77,26.4
880.0,2.91,5.3,22.2,357,,228,1205,77,26.4
875.4,2.91,5.0,22.2,354,,238,1248,80,26.3
870.6,2.92,4.6,22.0,352,,248,1293,80,26.3
866.7,2.90,4.4,21.6,352,,258,1330,79,26.3
862.9,2.90,4.1,20.9,352,,268,1365,79,26.2
859.0,2.89,3.8,20.1,351,,278,1402,80,26.2
854.9,2.91,3.4,19.7,348,,288,1441,79,26.2
850.8,2.92,3.1,19.5,345,,298,1480,76,26.1
847.2,2.94,3.0,19.6,339,,308,1514,73,26.1
843.5,2.96,2.6,19.8,335,,318,1550,70,26.0
839.3,2.99,2.5,19.9,332,,328,1590,68,26.0
836.1,3.01,2.3,20.2,333,,338,1621,68,26.0
832.5,3.00,1.9,20.6,336,,348,1656,67,26.0
829.0,3.00,1.6,20.9,338,,358,1690,70,25.9
825.4,3.01,1.4,21.3,339,,368,1725,66,25.9
822.2,3.00,1.1,22.0,339,,377,1756,67,25.9
818.6,2.99,1.1,22.8,339,,387,1791,50,25.8
814.8,2.98,1.3,23.1,340,,397,1829,46,25.8
811.4,2.98,1.1,22.7,340,,406,1862,44,25.7
806.7,2.98,1.5,21.4,339,,417,1909,22,25.7
801.8,3.04,1.3,20.6,339,,427,1958,22,25.6
796.8,3.03,1.1,20.2,338,,437,2009,15,25.6
792.3,2.93,0.8,19.9,334,,447,2053,13,25.5
788.2,2.83,1.1,19.8,329,,457,2095,11,25.5
784.0,2.79,0.8,19.5,326,,467,2138,10,25.5
779.6,2.75,0.6,19.2,325,,477,2183,10,25.5
775.3,2.75,0.5,19.7,326,,487,2228,10,25.4
770.2,2.77,0.1,19.8,326,,497,2281,10,25.4
765.3,2.79,-0.3,19.0,325,,507,2331,11,25.4
760.3,2.78,-0.8,17.8,324,,517,2383,12,25.3
755.5,2.74,-1.2,17.3,323,,527,2434,12,25.3
750.7,2.71,-1.6,17.6,322,,537,2485,12,25.3
745.8,2.67,-1.8,17.5,321,,547,2537,11,25.2
741.2,2.63,-1.9,16.6,319,,557,2586,14,25.2
736.4,2.56,-2.3,16.3,316,,567,2638,16,25.1
731.8,2.55,-2.5,16.7,315,,577,2687,13,25.1
726.6,2.56,-2.9,16.4,315,,587,2743,12,25.1
720.6,2.63,-2.9,15.8,316,,597,2810,11,25.1
714.7,2.84,-3.2,16.1,317,,607,2874,13,25.0
709.9,2.89,-3.4,16.8,320,,617,2928,11,25.0
705.2,2.87,-3.7,16.3,323,,627,2981,11,24.9
700.5,2.74,-3.9,15.8,327,,637,3032,10,24.9
695.8,2.64,-4.3,16.4,327,,647,3085,13,24.9
691.1,2.56,-4.7,17.0,324,,657,3139,13,24.8
686.1,2.51,-5.2,16.5,322,,667,3196,11,24.8
680.7,2.46,-5.5,15.4,322,,676,3258,11,24.7
675.6,2.42,-5.9,14.6,321,,686,3318,12,24.7
670.0,2.37,-6.5,14.5,322,,696,3383,11,24.7
665.1,2.37,-6.9,15.2,322,,706,3440,10,24.6
660.1,2.46,-7.3,15.8,320,,716,3498,10,24.6
654.9,2.60,-7.6,15.7,316,,726,3560,10,24.6
649.5,2.64,-8.3,15.1,315,,736,3625,11,24.5
644.3,2.67,-8.6,14.7,317,,746,3686,11,24.5
639.5,2.66,-9.0,14.6,319,,756,3744,11,24.4
634.7,2.55,-9.5,14.8,319,,766,3802,10,24.4
630.1,2.43,-9.9,15.0,321,,776,3859,11,24.3
624.6,2.35,-10.5,15.4,322,,786,3926,10,24.3
620.0,2.28,-10.9,15.6,323,,796,3983,10,24.2
615.8,2.23,-11.3,15.1,325,,806,4035,5,24.1
611.3,2.20,-11.5,14.2,328,,816,4092,6,24.1
606.9,2.18,-11.9,13.8,328,,826,4147,6,24.1
602.5,2.17,-12.4,14.3,326,,836,4202,6,24.0
597.1,2.14,-12.9,14.7,326,,846,4271,6,24.0
592.7,2.12,-13.4,14.6,328,,856,4328,6,23.9
587.9,2.11,-13.9,14.3,330,,866,4388,6,23.9
583.1,2.08,-14.4,14.4,331,,876,4451,8,23.8
578.1,2.07,-14.8,14.4,331,,886,4516,10,23.7
573.6,2.05,-15.4,14.3,332,,896,4575,11,23.6
569.7,2.02,-15.9,13.8,334,,906,4626,10,23.6
