
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2014-08-04,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6A27501

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2013-01-22,23:35:07

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
244.0,2,290.8,-0.94,272.0,0,DS,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.023,27.1,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1005.4,1.75,20.4,6.7,133,,0,110,39,27.8
999.6,1.83,17.4,8.3,127,,10,160,47,27.9
994.5,1.77,16.6,9.8,125,,20,204,50,27.9
988.6,1.73,16.1,9.6,123,,30,254,53,28.0
980.1,1.72,15.4,8.7,122,,40,327,54,28.0
971.6,1.74,14.6,7.7,123,,50,401,56,28.0
961.5,1.74,14.0,6.8,127,,60,489,59,28.1
950.2,1.71,13.1,6.5,135,,70,589,61,28.1
939.9,1.70,12.0,7.0,146,,80,680,65,28.1
929.7,1.69,11.4,7.9,154,,90,771,67,28.2
920.1,1.71,10.4,8.4,157,,100,858,70,28.2
909.8,1.71,9.6,8.1,158,,110,951,73,28.2
900.5,1.67,8.6,7.5,161,,120,1036,75,28.2
894.5,1.67,8.0,7.5,161,,130,1092,79,28.3
888.4,1.63,7.6,8.3,155,,140,1149,80,28.3
882.4,1.63,7.0,9.1,151,,150,1205,84,28.3
876.9,1.63,6.5,9.4,152,,160,1256,86,28.3
871.8,1.64,6.0,9.1,154,,169,1303,87,28.4
866.1,1.63,5.6,8.9,156,,179,1357,84,28.4
860.4,1.61,5.1,9.1,151,,189,1411,85,28.4
855.9,1.62,5.1,9.6,144,,198,1454,77,28.4
