
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2014-08-04,ABM,1.0,Matt Tully
 
* Please contact M.Tully@bom.gov.au for further information

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS,94867

#INSTRUMENT
Name,Model,Number
ECC,6A,6A2749

#LOCATION
Latitude,Longitude,Height
-37.69,144.95,110.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2013-04-11,01:52:29

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
244.9,2,282.7,-0.98,276.8,0,ZS,Dobson (Beck),105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
VaisalaRS92,,0.021,28.5,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
10,1.011
200,1.008
300,1.006
500,1.004
1000,1

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1011.7,1.02,17.4,1.0,286,,0,110,83,30.7
1003.3,1.01,16.1,0.0,0,,10,181,86,30.7
994.7,1.00,15.1,0.0,0,,20,254,88,30.8
987.8,0.98,14.6,1.0,256,,30,313,91,30.8
981.0,1.08,14.0,2.3,259,,40,372,92,30.8
974.9,1.24,13.5,3.2,257,,50,425,95,30.8
969.4,1.57,13.4,3.8,256,,59,472,90,30.9
964.7,1.89,13.1,4.4,257,,69,513,90,30.9
959.9,2.12,13.0,4.4,256,,79,555,89,30.9
954.8,2.31,12.7,3.7,244,,89,600,90,30.9
949.7,2.43,12.5,3.3,214,,99,645,86,31.0
944.9,2.53,12.3,3.8,188,,109,687,80,31.0
940.0,2.58,12.0,4.4,181,,119,730,81,31.0
935.3,2.54,11.9,5.3,185,,129,772,85,31.0
930.8,2.47,11.6,5.9,193,,139,814,87,31.0
926.2,2.44,11.2,6.1,201,,149,855,88,31.1
921.5,2.42,10.8,6.3,207,,159,897,91,31.1
916.8,2.45,10.6,6.4,212,,169,940,94,31.1
911.5,2.50,10.9,6.5,215,,179,988,94,31.1
906.8,2.56,10.6,6.3,217,,189,1031,94,31.1
901.7,2.56,10.4,5.6,225,,199,1079,95,31.2
896.1,2.52,10.1,5.4,239,,209,1131,94,31.2
891.7,2.55,10.0,6.3,250,,219,1172,92,31.2
887.6,2.60,10.4,7.7,252,,228,1210,88,31.2
882.7,2.70,11.3,8.8,251,,238,1257,81,31.2
877.6,2.84,11.6,9.0,249,,248,1305,75,31.3
871.4,2.92,11.9,9.1,250,,258,1365,71,31.3
865.0,2.99,11.8,9.7,257,,268,1426,67,31.3
858.3,2.98,11.4,10.8,261,,278,1491,64,31.3
853.0,2.97,10.8,11.8,258,,287,1543,65,31.3
848.0,2.94,10.5,12.9,254,,297,1592,66,31.3
843.3,2.92,10.1,13.4,253,,307,1638,65,31.4
838.8,2.88,9.9,12.9,255,,317,1682,62,31.4
834.2,2.86,9.5,12.4,261,,327,1728,62,31.4
827.9,2.84,9.0,13.1,268,,337,1791,64,31.4
822.3,2.79,8.5,14.1,271,,347,1847,65,31.4
817.5,2.71,8.1,13.5,270,,357,1896,67,31.4
813.0,2.68,7.8,12.1,270,,367,1942,68,31.5
808.3,2.66,7.4,11.3,270,,377,1988,69,31.5
