* This file was re-written by PREP_CSX to apply WOUDC correction data.

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-03-11,ABM,1.0,Atmosphere Watch

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A1980

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-03-11,02:06:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
262,4,305,,278,0,0,Dobson,115
* Correction factor was 0.911 but not applied
* Residual Ozone was 43

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.03,26.6,constant_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1005,1.63,20,3.6,220
1000,1.67,19
949,1.82,14
916,3.51,16
884,4.98,16
850,4.91,15
795,4.01,11
767,3.06,10
700,2.89,6
638,2.83,1
615,3.14,0
570,2.18,-5
500,2.54,-12
469,2.81,-16
415,2.76,-24
382,3.29,-28
322,3.01,-38
300,2.32,-42
258,2.14,-50
246,1.9,-52
200,2.57,-57
161,2.47,-60
150,3.5,-60
146,3.62,-61
126,3.3,-61
120,3.66,-62
109,2.92,-64
100,3.54,-65
85.2,4.63,-66
81.1,4.2,-66
70,7.51,-62
70.1,7.51,-62
63.6,7.93,-62
57.7,9.5,-61
52.4,8.22,-61
50,8.59,-61
45.3,10.7,-58
41.2,10.4,-58
34.1,11.8,-57
30,12.2,-53
27,12.3,-52
23.5,14.1,-47
20,13.2,-47
17.9,13.1,-46
14.3,11.5,-45
10,8.98,-40
7,6.84,-34
6.5,6.34,-33
