* This file was re-written by PREP_CSX to apply WOUDC correction data.

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-03-18,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4395

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
00:00:00,1999-03-18,01:46:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
263.1,4,298.1,,273,0,0,Dobson,115
* Correction factor was 0.917 but not applied
* Residual Ozone was 35

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.01,27.2,constant_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1007,1.67,19,4.1,150
1000,1.79,18,5,149
850,3.97,13,12,97
824,2.39,12,12,76
766,1.96,8,8,10
712,2.51,3,3,359
700,2.62,2,4,339
661,2.31,0,5,72
636,2.68,-1,4,42
546,2.38,-8,3,307
500,2.29,-14,4,347
448,2.31,-19,5,280
397,2.17,-24,8,260
365,1.71,-29,11,268
350,1.78,-31,9,255
300,1.11,-41
282,1.04,-44
235,1.62,-54
200,1.63,-63
184,1.69,-66
167,2.53,-64
150,2.49,-63
138,3.07,-63
138,3.07,-63
131,2.38,-64
119,2.58,-64
113,3.29,-65
108,3.25,-65
100,3.96,-65
88.4,4.82,-64
84.2,5.53,-64
80.2,5.03,-63
70,7.33,-62
66,7.34,-63
62.8,8.17,-63
59.9,8.71,-62
57,8.49,-61
51.8,8.79,-62
50,9.32,-60
49.3,9.53,-60
47,10.7,-58
42.8,11.3,-58
40.7,11.7,-57
38.9,11.9,-57
37.1,12.3,-57
33.8,12.7,-56
32.2,13,-55
30,12.9,-56
29.3,13,-56
27.9,12.6,-55
26.7,12.7,-54
23.2,14.3,-50
20,13.6,-48
17.7,13.1,-46
16.9,12.7,-46
11.7,10.6,-44
11.3,10.2,-43
10,9.12,-40
7,6.57,-37
6.1,5.7,-35
5.9,5.31,-33
5.6,5.17,-32
