* This file was re-written by PREP_CSX to apply WOUDC correction data.

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-05-20,ABM,1.0,Atmosphere Watch

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,5A,5A4047

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-05-20,01:54:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
250,4,273,,267,0,0,Dobson,115
* Correction factor was 0.981 but not applied
* Residual Ozone was 23

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.04,27.5,constant_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1006,1.89,20,7.2,355
1000,1.97,19,10,355
984,2.22,18,12.5,352
917,3.04,16,15,320
850,2.88,11,12,325
738,2.81,1,18,304
700,2.97,-2,13,298
684,3.15,-3,11,301
610,2.26,-7,13,288
500,1.88,-15,11,277
300,1.45,-44,20,246
219,0.86,-60,41,245
200,1.53,-61,41,236
172,2.24,-66,29,243
156,3.94,-60,22,268
150,4.02,-59,29,266
123,3.42,-59,18,270
117,2.5,-57,19,272
100,2.65,-61,18,276
87.8,4.74,-63,13,286
79.6,5.3,-63,19,268
70,5.8,-61,9,253
65.6,6.64,-61,7,276
59.6,6.16,-61,4,331
50,7.61,-62,11,301
49,7.81,-62,12,291
40.5,12.1,-56,8,238
38.6,12,-57,5,254
36.8,12.3,-58,5,273
33.5,12.5,-57,8,267
33.5,12.5,-57,8,267
32,12.5,-58,7,254
30,11.9,-58,8,287
23,12.5,-51,8.2,281
21,12.5,-50,10,321
20,12.9,-52,11,312
18.3,13.5,-50,19,253
16.7,13.4,-49,22,256
15.9,12.8,-49,23,261
15.2,14.7,-49,22,259
14.5,13.4,-51,21,259
13.9,10.7,-51,22,259
13.2,11.7,-52,22,263
12.6,10.5,-52,23,265
11.5,9.5,-53,23,276
10.5,8.24,-53,27,267
10,7.31,-54,29,271
8.7,5.98,-53,28,273
7,4.82,-50,41,264
5,3.55,-44,41,267
4.6,3.2,-44,42,280
