
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-10-26,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4357

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-10-26,04:57:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
310.2,4,361.2,-0.919,332,0,6,Dobson,115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.021,25.9,constant_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
998,1.28,17,4.1,255
942,2.44,12
850,2.53,4
845,2.52,3
700,2.31,-7
622,2.22,-13
530,2.8,-22
500,2.57,-24
430,2.42,-34
378,2.93,-38
346,5.04,-41
331,5.82,-42
317,4.35,-42
300,4.31,-44
277,5.79,-45
242,7.06,-43
200,6.66,-45
194,6.79,-45
185,6.53,-47
177,5.69,-49
154,5.77,-51
150,5.84,-51
134,6.07,-52
128,5.81,-52
111,7.44,-51
106,8.18,-51
100,8.09,-53
88.2,7.13,-54
80.4,9.26,-54
76.7,9.48,-54
73.2,9.15,-55
70,10.2,-53
66.6,10.3,-54
57.9,12.2,-54
50,15.2,-53
43.8,15.4,-52
39.9,15.2,-53
36.4,15.5,-51
31.7,14.8,-50
30,15,-49
26.4,14.9,-49
23,12.9,-48
21,12.4,-47
20,12.7,-47
16.7,11.7,-48
15.3,10.6,-48
12.8,9.27,-46
12.2,9.38,-46
10,8.26,-43
8.5,7.32,-41
