
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-02-25,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4374

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2000-02-25,01:04:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
211.5,4,254.7,-0.978,249,0,0,Dobson,105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.018,26.0,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1005,2,29,6.7,332
1000,2.12,29,7,337
983,2.55,25,9,350
918,2.71,20,6,350
850,2.27,17,5,315
798,2.19,12,6,314
742,2.62,8,7,312
700,2.46,6,7,307
690,2.52,6,6,304
641,2.21,1,9,309
595,2.76,0,4,326
573,2.24,-2,6,332
551,2.9,-4,7,332
511,3.23,-4,6,281
500,2.98,-5,6,283
473,2.67,-8,7,277
421,2.32,-15,8,266
404,2.87,-16,6,272
389,1.93,-17,6,291
373,1.51,-20,7,290
300,2.57,-31,22,249
291,2.82,-32,24,249
279,2.82,-34,25,251
256,2.42,-37,26,246
234,1.3,-41,28,248
200,0.56,-49,30,257
150,0.77,-62,31,249
121,0.79,-71,29,250
100,1.1,-76,21,251
93.2,1.35,-77,12,256
84,2.76,-76,8,269
79.7,3.19,-76,6,282
71.9,3.3,-74,7,287
70,3.63,-73,7,281
58.8,6.96,-66,2,78
56,7.62,-65,4,84
53.3,7.83,-64,3,75
50,8.8,-62,6,75
48.4,9.19,-61,7,61
46.1,9.26,-60,5,57
43.9,9.58,-60,4,57
41.9,10.2,-60,5,95
36.3,11,-57,6,82
33,11.1,-54,5,66
30,10.4,-53,9,78
26.2,12.5,-51,5,76
23.9,12.6,-50,5,97
22.8,13.6,-49,7,103
21.8,13.8,-47,10,112
20,13,-46,10,93
18.2,13.2,-43,8,73
16.7,12.3,-42,12,90
15.9,11.6,-41,10,67
15.3,11.6,-41,9,66
10,8.22,-37,12,116
8.3,6.77,-33,13,84
7.9,6.43,-32,14,66
