* UPDATE NOTICE: The Ozone Partial Pressure (O3PartialPressure) data contained within this
* file were originally submitted in the units of nbar and have been adjusted by the WOUDC
* into mPa. - WOUDC, January 2002

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-09-21,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A8759

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2000-09-21,02:07:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
318,4,362.4,-0.930,336,0,0,Dobson,105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.017,26.8,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1007,1.9,17
1000,2.21,16
984,2.95,13
950,3.07,10
883,2.78,5
850,2.9,2
790,3.36,4
734,2.57,1
700,2.73,-1
681,3.2,-2
655,3.2,-4
584,2.66,-8
562,2.85,-9
540,3.66,-12
500,2.99,-16
424,3.03,-25
407,3.25,-27
390,3.18,-30
300,2.42,-46
262,2.43,-52
239,2.06,-56
228,1.58,-57
200,2.84,-57
180,3.73,-58
171,4.79,-57
156,5.29,-54
150,5.09,-56
142,5.17,-58
135,4.43,-58
129,4.57,-57
123,6.12,-56
117,5.8,-55
100,7.65,-54
88.6,9.47,-54
84.5,8.84,-56
80.6,8.69,-56
73.4,9.75,-57
70,12,-57
66.7,15.8,-54
63.7,15.4,-54
60.8,13.2,-56
58,13.5,-56
52.8,15.1,-56
50,17,-53
45.9,18,-53
43.8,17.9,-52
41.8,18.5,-51
38.1,18,-52
34.7,16.9,-51
30,15.7,-50
23,14.4,-49
21.9,14,-50
20,13.7,-49
19.1,12.8,-49
17.5,12.3,-48
16.7,12.4,-48
15.2,11.8,-48
13.9,10.8,-48
13.3,10.2,-48
11.1,8.99,-47
10,7.69,-46
8.8,6.9,-46
7.7,6.27,-45
