* UPDATE NOTICE: The Ozone Partial Pressure (O3PartialPressure) data contained within this,,,,,,,,,
* file were originally submitted in the units of nbar and have been adjusted by the WOUDC,,,,,,,,,
* into mPa. - WOUDC, January 2002,,,,,,,,
,,,,,,,,,
#CONTENT,,,,,,,,,
Class,Category,Level,Form,,,,,,
WOUDC,OzoneSonde,1,1,,,,,,
,,,,,,,,,
#DATA_GENERATION,,,,,,,,,
Date,Agency,Version,ScientificAuthority,,,,,,
14/12/00,ABM,1,Atmosphere Watch Section,,,,,,
,,,,,,,,,
#PLATFORM,,,,,,,,,
Type,ID,Name,Country,GAW_ID,,,,,
STN,394,Broadmeadows,AUS,,,,,,
,,,,,,,,,
#INSTRUMENT,,,,,,,,,
Name,Model,Number,,,,,,,
ECC,6A,6A7303,,,,,,,
,,,,,,,,,
#LOCATION,,,,,,,,,
Latitude,Longitude,Height,,,,,,,
-37.68,144.95,110,,,,,,,
,,,,,,,,,
#TIMESTAMP,,,,,,,,,
UTCOffset,Date,Time,,,,,,,
+00:00:00,14/12/00,1:38:00,,,,,,,
,,,,,,,,,
#FLIGHT_SUMMARY,,,,,,,,,
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number,
258.1,4,304.3,-0.917,279,0,0,Dobson,105,
* used sonde,,,,,,,,,
* background correction negative ie -0.057uA,,,,,,,,,
,,,,,,,,,
#AUXILIARY_DATA,,,,,,,,,
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3,,,
SPCECC-VaisalaRSA11-VaisalaRS80,,-0.057,27.1,const_ib2,pump,,,,
,,,,,,,,,
#PROFILE,,,,,,,,,
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1003,1.1,20,5.7,200,,,,,
1000,1.16,19,6,198,,,,,
981,1.54,15,8,188,,,,,
850,1.56,5,4,151,,,,,
760,2.55,6,5,260,,,,,
700,1.43,1,7,267,,,,,
655,0.94,-1,12,267,,,,,
631,1.43,-2,15,277,,,,,
541,1.37,-11,18,288,,,,,
520,1.19,-13,19,289,,,,,
500,1.29,-15,18,286,,,,,
462,2.41,-19,20,278,,,,,
443,2.3,-21,20,281,,,,,
392,1.29,-27,21,274,,,,,
317,1.37,-39,31,281,,,,,
300,1.71,-42,31,283,,,,,
277,2.01,-46,28,279,,,,,
253,1.46,-50,26,283,,,,,
200,2.75,-54,32,270,,,,,
150,3.15,-56,26,292,,,,,
137,3.22,-59,30,284,,,,,
131,2.68,-59,28,278,,,,,
125,3.19,-60,26,283,,,,,
119,2.61,-62,24,285,,,,,
113,3.31,-63,23,283,,,,,
108,2.12,-65,24,284,,,,,
100,2.85,-67,30,278,,,,,
84.3,4.83,-64,21,262,,,,,
80.3,6.37,-62,15,274,,,,,
72.9,7.4,-62,12,302,,,,,
70,7.4,-64,15,297,,,,,
66.1,6.84,-66,19,280,,,,,
57.1,9.44,-60,8,294,,,,,
54.4,9.77,-61,13,299,,,,,
51.8,9.66,-62,14,275,,,,,
50,11.1,-60,10,253,,,,,
47.1,12.7,-58,7,262,,,,,
44.9,11.5,-59,8,243,,,,,
42.8,12,-57,3,231,,,,,
40.8,13.4,-56,3,135,,,,,
37.1,13.6,-56,5,58,,,,,
33.8,12.3,-55,9,42,,,,,
32.2,12.6,-54,9,25,,,,,
30.8,15.9,-55,6,24,,,,,
30,14.4,-54,5,35,,,,,
29.4,13.3,-53,5,40,,,,,
25.6,14.8,-50,8,82,,,,,
24.4,15,-49,10,77,,,,,
23.3,14.9,-49,11,65,,,,,
22.3,13.6,-48,10,73,,,,,
20,14.3,-46,7,75,,,,,
18.6,14.8,-46,11,73,,,,,
10,9.66,-37,21,100,,,,,
