* UPDATE NOTICE: The Ozone Partial Pressure (O3PartialPressure) data contained within this
* file were originally submitted in the units of nbar and have been adjusted by the WOUDC
* into mPa. - WOUDC, January 2002

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2001-02-22,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4390

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2001-02-22,01:33:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
228.5,4,291.8,-0.888,259,0,0,Dobson,105
* Large ozone gradients in area
* Used ozonesonde

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.036,25.6,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1005,1.82,21,2.6,138
1000,1.93,21,3,143
983,2.3,18,5,159
916,2.41,12,4,123
883,3.75,17,7,61
850,3.58,16,10,7
766,2.86,11,11,308
700,3.5,7,5,315
687,3.83,7,5,300
663,2.62,7,3,235
616,1.83,4,9,205
593,2.06,2,9,203
550,1.9,-4,8,198
500,1.81,-9,9,212
435,1.46,-17,7,225
418,1.54,-20,6,224
402,1.38,-22,6,229
370,1.49,-27,7,211
340,2.32,-32,10,182
300,2.35,-39,12,172
250,2.67,-46,21,166
200,2.87,-50,9,224
190,2.98,-50,9,223
165,2.2,-54,11,235
150,2.18,-56,14,226
137,2.04,-60,8,218
118,1.92,-65,9,258
107,2.48,-66,12,268
100,2.53,-66,10,257
87.8,3.18,-68,9,337
83.5,3.89,-69,10,322
71.9,4.32,-69,8,288
70,4.86,-68,7,271
65,6.33,-67,1,238
58.9,7.57,-65,2,144
50,10.2,-62,4,137
46.2,10.3,-62,7,82
38.1,12.2,-59,9,80
30,10.1,-56,9,70
28.7,12,-54,6,78
27.4,13.5,-54,7,108
24.9,14.4,-52,11,100
22.7,14.8,-49,13,81
20,14.1,-47,12,73
19,13.5,-47,11,81
18.1,13.1,-46,12,102
17.3,13.2,-45,14,104
16.6,12.8,-44,12,94
13.2,11.4,-44,12,84
10,9.51,-40,17,99
9.7,9.18,-39,17,98
