#CONTENT,,,,,,,,,
Class,Category,Level,Form,,,,,,
WOUDC,OzoneSonde,1,1,,,,,,
,,,,,,,,,
#DATA_GENERATION,,,,,,,,,
Date,Agency,Version,ScientificAuthority,,,,,,
12/04/01,ABM,1,Atmosphere Watch Section,,,,,,
,,,,,,,,,
#PLATFORM,,,,,,,,,
Type,ID,Name,Country,GAW_ID,,,,,
STN,394,Broadmeadows,AUS,,,,,,
,,,,,,,,,
#INSTRUMENT,,,,,,,,,
Name,Model,Number,,,,,,,
ECC,6A,6A10219,,,,,,,
,,,,,,,,,
#LOCATION,,,,,,,,,
Latitude,Longitude,Height,,,,,,,
-37.68,144.95,110,,,,,,,
,,,,,,,,,
#TIMESTAMP,,,,,,,,,
UTCOffset,Date,Time,,,,,,,
+00:00:00,12/04/01,2:11:00,,,,,,,
,,,,,,,,,
#FLIGHT_SUMMARY,,,,,,,,,
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number,
242,4,285.7,-0.935,267,0,0,Dobson,105,
,,,,,,,,,
#AUXILIARY_DATA,,,,,,,,,
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3,,,
SPCECC-VaisalaRSA11-VaisalaRS80,,0.006,27.7,const_ib2,pump,,,,
,,,,,,,,,
#PROFILE,,,,,,,,,
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1018,1.5,16,5.7,164,,,,,
1000,2.1,13,6,180,,,,,
960,2.3,10,7,185,,,,,
850,2.2,3,10,165,,,,,
829,2.4,4,13,158,,,,,
742,2.2,3,19,163,,,,,
700,2.2,3,17,170,,,,,
640,2.3,1,14,184,,,,,
500,1.9,-9,16,189,,,,,
340,1.7,-31,17,200,,,,,
326,1.9,-33,18,204,,,,,
300,1.7,-38,17,207,,,,,
274,1.4,-43,17,201,,,,,
250,1.2,-48,18,204,,,,,
228,1.3,-53,20,193,,,,,
200,1,-60,22,184,,,,,
180,1.2,-62,18,206,,,,,
150,1.2,-67,16,206,,,,,
134,1.7,-66,12,204,,,,,
121,3,-65,13,219,,,,,
110,2.6,-64,16,209,,,,,
104,2.6,-64,10,204,,,,,
100,3,-64,7,244,,,,,
85.8,4.1,-65,13,216,,,,,
77.8,5.6,-65,8,202,,,,,
70,6.9,-62,6,256,,,,,
67.2,6.8,-62,6,230,,,,,
64,7.7,-61,3,222,,,,,
61,9.4,-62,5,295,,,,,
58.1,10.2,-62,7,262,,,,,
55.4,9.5,-60,9,231,,,,,
50,10.7,-56,5,149,,,,,
48,11.9,-54,3.8,81,,,,,
43.7,10.9,-55,5,52,,,,,
41.7,11.4,-55,3,47,,,,,
39.8,11.6,-55,2,347,,,,,
38,12.3,-54,3,260,,,,,
36.2,12.3,-54,4,218,,,,,
34.6,12.7,-54,3,116,,,,,
31.5,12.8,-54,3,142,,,,,
30,13.2,-53,2,169,,,,,
28.7,13.6,-52,2,205,,,,,
27.4,13.5,-52,4,112,,,,,
26.2,13.3,-51,5,98,,,,,
25,13.4,-51,5,81,,,,,
23.9,14,-50,3,123,,,,,
22.8,13.9,-49,3,140,,,,,
20,13.1,-48,2,117,,,,,
19,12.6,-48,1,156,,,,,
17.3,12.5,-47,2,75,,,,,
10,8.4,-41,6,283,,,,,
8.9,7.5,-43,8,275,,,,,
7.1,6.3,-40,11,260,,,,,
