
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2001-06-15,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A10209

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2001-06-15,04:42:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
274.9,4,307.9,-0.955,294,0,0,Dobson,105
* poor data reception 110 to 60hPa

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.011,27.1,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1013,1.5,10,5.7,208
1000,1.9,9,8,211
955,3,6,16,208
887,3,2,13,209
850,2.8,0,13,203
700,2.5,-3,23,181
519,2.4,-17,22,191
500,2.1,-19,21,192
388,1.6,-35,21,184
300,1.4,-49,24,168
267,1.6,-56,21,187
255,1.7,-57,23,188
221,2.8,-58,24,178
200,3.1,-56,24,193
192,3.4,-55,24,202
174,3.6,-54,26,199
166,2.5,-52,24,202
150,2.5,-52,22,206
132,3,-54,19,218
109,4.7,-57,15,196
104,6.1,-58,13,211
100,6.6,-60,14,216
99.4,6.7,-60,14,216
94.7,6.6,-60,16,218
90.3,6.7,-58,18,219
82,8.3,-58,18,217
70,10.1,-59,14,182
61.6,11.4,-60,4,170
59.5,10.8,-59,5,206
54.3,13.3,-58,4,201
50,13.6,-60,6,231
47,14.3,-60,8,242
42.7,14.3,-60,11,218
40.7,15.3,-59,10,212
38.8,15.7,-58,9,207
35.3,15.7,-57,6,174
30,15,-58,5,201
26.5,14.3,-58,5,246
25.3,13.1,-58,7,257
23,12.7,-58,12,269
20.9,11.8,-60,15,269
20,11.9,-60,16,263
18.1,10.3,-59,18,255
15.7,8.9,-58,19,259
14.9,9.4,-58,19,259
12.9,8.2,-58,24,258
12.3,8.4,-56,23,261
11.8,8.3,-55,23,264
11.2,7.4,-56,25,264
10,6.7,-57,29,265
8.5,6.1,-57,35,271
7,5,-53
6.4,4.6,-52

