
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2002-11-14,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A10754

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2002-11-14,00:27:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
292.8,4,333,-0.907,302,0,0,Dobson,115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.006,26.6,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1008,2.6,19
1000,2.6,17
951,2.7,10
917,2.6,8
852,2.9,5
850,2.8,5
763,1.6,2
700,1.9,-1
682,1.9,-2
656,2.3,-3
608,2,-6
585,1.9,-8
563,1.9,-11
521,3,-13
500,3.1,-15
426,2.5,-25
375,2.3,-33
360,2.5,-35
330,2.7,-40
300,2.6,-44
263,2.2,-51
251,2.7,-51
240,3.1,-51
229,2.6,-51
209,2.1,-52
200,2.6,-53
182,2.9,-52
158,2.2,-57
150,2.2,-59
137,2.2,-61
130,2.5,-62
118,3,-64
113,3.4,-64
100,5,-63
97.2,5.4,-62
92.6,6,-62
88.2,7.8,-63
80,8.4,-63
76.2,7.7,-63
72.6,8.3,-61
70,8,-62
65.9,9.8,-62
62.8,11.5,-59
54.4,12.5,-60
51.8,12.4,-60
50,13,-60
47.1,12.9,-60
44.9,14,-59
42.8,14.4,-58
38.9,14.9,-57
35.4,14.5,-57
33.8,14,-57
32.2,14.2,-56
30,14,-55
29.3,14.1,-55
26.7,13.8,-54
25.5,13.4,-54
23.2,13.9,-53
22.1,13.9,-52
20,13.4,-51
18.4,13,-50
17.6,13,-49
16.8,12.6,-49
16,12.1,-50
15.3,12,-50
14,11.3,-49
13.4,10.9,-48
11.7,10.2,-45
10,9.1,-42
8.5,8,-42
8.2,7.7,-42
7,7,-39
6,6.2,-35
5.8,6,-33
