
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2003-07-03,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,610761

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2003-07-03,01:20:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
306.0,4,332.5,-0.992,330,0,0,Dobson,115
* USED OZONESONDE

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.066,26.8,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1008,.8,9,.5,190
1000,.8,8,1,251
916,2.7,7,4,271
850,2.8,3,3,158
819,2.9,1,2,198
789,2.9,-2,3,262
700,2.7,-9,4,331
500,2,-27,2,207
345,1.5,-49,1,329
330,1.5,-52,2,277
315,1.9,-54,4,237
300,2.1,-56,7,229
273,2.2,-56,10,251
249,4,-54,16,261
237,3.7,-54,18,257
227,5.6,-53,21,259
200,7.6,-51,21,273
197,8.1,-51,21,273
188,8.8,-50,24,272
172,7.8,-51,27,268
164,6.1,-51,29,271
157,4,-52,26,270
150,3.7,-53,25,270
143,4.3,-53,25,277
136,4.3,-53,29,280
130,4.6,-53,26,273
103,8.4,-55,26,288
100,8.9,-54,27,283
89.4,13.4,-54,20,267
85.4,9.7,-54,16,279
77.7,8.3,-56,23,283
70,11.4,-55,21,285
61.5,13.7,-52,15,258
58.7,13.6,-54,13,260
56,13.2,-56,16,265
50.9,13.9,-56,14,271
50.9,13.9,-56,14,271
50,14.2,-56,14,273
46.4,15.6,-56,13,262
44.2,15.5,-56,15,260
38.4,15.9,-56,16,288
36.6,16.2,-55,19,277
34.9,15.9,-54,19,274
31.8,15.1,-55,16,274
30,14.7,-57,16,286
28.9,14.3,-58,19,284
27.6,14.4,-57,21,283
25.1,13.5,-58,24,268
23.9,13.3,-57,26,268
20.7,11.8,-58,27,261
20,11.9,-58,28,261
18.9,11.3,-58,28,270
18,10.3,-58,27,275
16.3,9.1,-57,30,278
14.9,8.1,-56,31,270
13.5,8.1,-55,36,276
12.9,7.4,-56,35,275
11.2,7.2,-56,41,270
10,6.5,-57,41,273
8.8,5.8,-57,42,272
7,4.4,-53,49,276
6.1,3.9,-51,55,274
5.5,3.7,-49
